Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,279.010010,282.690002,278.799988,281.130005,277.925934,2631300
2021-04-06,281.429993,283.049988,279.649994,281.630005,278.420197,1786600
2021-04-07,281.970001,283.630005,281.100006,282.570007,279.349548,2736300
2021-04-08,284.119995,285.350006,283.230011,284.420013,281.178436,1600600
2021-04-09,285.000000,287.820007,283.600006,287.709991,284.430939,1787800
2021-04-12,285.970001,288.100006,285.140015,287.540009,284.262878,1437500
2021-04-13,286.600006,287.059998,284.079987,285.220001,281.969299,2228000
2021-04-14,284.380005,286.799988,283.079987,284.440002,282.068451,1903500
2021-04-15,286.260010,287.179993,284.410004,285.149994,282.772552,2047500
2021-04-16,285.160004,287.459991,285.010010,286.959991,284.567444,2625500
2021-04-19,287.100006,287.230011,284.910004,286.540009,284.151001,1437100
2021-04-20,285.929993,288.899994,285.760010,288.600006,286.193787,1889800
2021-04-21,289.670013,291.149994,287.790009,290.720001,288.296082,1585900
2021-04-22,290.989990,293.279999,289.149994,290.160004,287.740784,1460400
2021-04-23,290.190002,292.890015,289.700012,291.739990,289.307587,1505300
2021-04-26,291.600006,292.369995,288.839996,289.519989,287.106110,1420700
2021-04-27,290.070007,290.890015,288.070007,290.250000,287.830017,1270900
2021-04-28,290.720001,291.450012,289.820007,290.269989,287.849854,1159900
2021-04-29,292.079987,293.279999,290.600006,292.540009,290.100952,1247800
2021-04-30,290.769989,290.920013,288.359985,289.970001,287.552368,1969200
2021-05-03,292.929993,293.420013,291.369995,292.170013,289.734009,1300400
2021-05-04,290.890015,291.940002,289.149994,291.600006,289.168762,1810700
2021-05-05,292.339996,292.829987,289.119995,289.519989,287.106110,1553800
2021-05-06,289.480011,291.179993,287.609985,291.160004,288.732422,1863200
2021-05-07,292.200012,294.089996,291.040009,291.529999,289.099335,1394200
2021-05-10,290.619995,294.100006,290.190002,290.609985,288.187012,1620700
2021-05-11,288.440002,288.459991,284.570007,287.950012,285.549225,1541700
2021-05-12,285.230011,285.309998,279.140015,279.390015,277.060577,2116600
2021-05-13,281.119995,287.250000,281.119995,285.320007,282.941132,1698200
2021-05-14,286.859985,294.500000,286.619995,288.200012,285.797089,1285600
2021-05-17,287.640015,288.549988,286.100006,287.000000,284.607117,1500000
2021-05-18,285.809998,286.700012,282.820007,283.010010,280.650391,1438400
2021-05-19,279.929993,281.070007,276.880005,280.970001,278.627380,1625200
2021-05-20,281.700012,285.130005,281.579987,283.950012,281.582550,2094700
2021-05-21,285.000000,287.140015,282.670013,283.380005,281.017303,2210200
2021-05-24,285.200012,286.040009,284.209991,284.850006,282.475037,1231300
2021-05-25,285.799988,286.200012,283.609985,285.989990,283.605530,1761300
2021-05-26,285.899994,286.829987,283.329987,283.950012,281.582550,1873200
2021-05-27,284.170013,285.279999,279.149994,280.049988,277.715057,7166300
2021-05-28,282.549988,284.920013,282.100006,282.160004,279.807495,2005700
2021-06-01,285.579987,285.579987,280.609985,280.880005,278.538177,1670800
