Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,27.430000,27.530001,26.959999,27.340000,26.670807,6462500
2021-04-06,27.260000,28.020000,27.129999,27.820000,27.139055,5735800
2021-04-07,27.790001,27.860001,26.920000,27.090000,26.426926,6073200
2021-04-08,27.260000,27.750000,27.260000,27.680000,27.002485,4565800
2021-04-09,27.500000,27.780001,26.950001,27.719999,27.041504,5970800
2021-04-12,27.690001,27.850000,27.549999,27.680000,27.002485,3761100
2021-04-13,27.730000,28.270000,27.469999,28.240000,27.548777,4947500
2021-04-14,28.129999,28.590000,28.120001,28.370001,27.675596,3954600
2021-04-15,28.500000,28.709999,28.360001,28.530001,27.831678,4727800
2021-04-16,28.780001,28.850000,28.510000,28.629999,27.929230,5055200
2021-04-19,28.570000,28.700001,28.090000,28.340000,27.646330,5036800
2021-04-20,28.209999,28.549999,28.030001,28.250000,27.558533,5736900
2021-04-21,28.030001,28.430000,27.840000,28.389999,27.695105,3878000
2021-04-22,28.670000,28.860001,28.299999,28.320000,27.626820,4960600
2021-04-23,28.230000,28.500000,28.170000,28.299999,27.607307,3297100
2021-04-26,28.440001,28.440001,27.990000,28.209999,27.519510,3420100
2021-04-27,28.270000,28.290001,27.709999,27.799999,27.119545,2982300
2021-04-28,27.770000,28.020000,27.719999,27.969999,27.285383,3352200
2021-04-29,27.969999,28.309999,27.780001,27.900000,27.364338,5413800
2021-04-30,27.650000,27.940001,27.540001,27.820000,27.285877,5369000
2021-05-03,28.000000,28.080000,27.340000,27.350000,26.824900,5982100
2021-05-04,27.250000,27.250000,26.559999,26.709999,26.197186,8082200
2021-05-05,26.900000,27.180000,26.299999,26.469999,25.961792,8271700
2021-05-06,25.980000,26.370001,24.830000,25.450001,24.961378,16043700
2021-05-07,25.570000,26.000000,24.930000,25.790001,25.294849,10752300
2021-05-10,25.520000,26.160000,25.250000,25.730000,25.236002,7076800
2021-05-11,25.280001,25.459999,24.910000,25.340000,24.853489,5083900
2021-05-12,25.180000,25.530001,24.559999,24.620001,24.147314,4838700
2021-05-13,24.830000,25.040001,24.129999,24.440001,23.970770,5307700
2021-05-14,24.650000,25.700001,24.650000,25.370001,24.882915,4893000
2021-05-17,25.139999,25.430000,24.870001,25.170000,24.686754,5523100
2021-05-18,25.260000,25.260000,24.860001,24.889999,24.412128,4574900
2021-05-19,24.510000,24.969999,24.340000,24.940001,24.461170,7925100
2021-05-20,25.000000,25.570000,24.950001,25.350000,24.863298,8464600
2021-05-21,25.490000,25.690001,25.260000,25.360001,24.873108,7333900
2021-05-24,25.610001,25.860001,25.440001,25.700001,25.206579,6359100
2021-05-25,25.850000,25.850000,25.280001,25.340000,24.853489,7455900
2021-05-26,25.450001,25.650000,25.139999,25.459999,24.971186,5827700
2021-05-27,25.629999,25.660000,25.320000,25.340000,24.853489,5363900
2021-05-28,25.440001,25.540001,25.280001,25.410000,24.922148,3574900
2021-06-01,25.570000,25.799999,25.420000,25.629999,25.137922,4035200
2021-06-02,25.590000,25.590000,25.110001,25.190001,24.706371,5187700
2021-06-03,24.940001,25.340000,24.680000,25.070000,24.588675,3555000
2021-06-04,25.150000,25.290001,24.629999,24.959999,24.480787,6034500
2021-06-07,25.150000,25.340000,24.920000,25.320000,24.833872,3692600
2021-06-08,25.389999,25.580000,25.180000,25.320000,24.833872,3198800
2021-06-09,25.450001,25.500000,25.170000,25.200001,24.716179,3357200
2021-06-10,25.260000,25.480000,25.080000,25.379999,24.892721,3485400
2021-06-11,25.540001,25.900000,25.459999,25.879999,25.383123,3660800
2021-06-14,25.969999,26.250000,25.490000,25.740000,25.245810,2618700
2021-06-15,25.809999,26.290001,25.670000,26.059999,25.559668,4043100
2021-06-16,26.090000,26.209999,25.709999,25.730000,25.236002,4970000
2021-06-17,25.660000,26.139999,25.469999,26.070000,25.569473,4101000
2021-06-18,25.610001,25.799999,25.120001,25.139999,24.657330,6538300
2021-06-21,25.389999,26.209999,25.250000,26.150000,25.647938,4941300
2021-06-22,26.040001,26.110001,25.709999,25.740000,25.245810,3566600
2021-06-23,25.809999,26.059999,25.639999,25.860001,25.363508,3178200
2021-06-24,26.020000,26.049999,25.780001,25.969999,25.471394,2949800
2021-06-25,26.030001,26.260000,26.010000,26.219999,25.716595,3341300
2021-06-28,26.219999,26.629999,26.090000,26.530001,26.020643,3359800
2021-06-29,26.490000,27.000000,26.350000,26.370001,25.863714,4447600
2021-06-30,26.360001,26.450001,25.820000,26.070000,25.569473,6329100
2021-07-01,26.330000,26.450001,26.090000,26.330000,25.824484,4103100
2021-07-02,26.490000,26.490000,26.080000,26.160000,25.657747,3312800
2021-07-06,26.240000,26.280001,25.680000,26.000000,25.500820,3579200
2021-07-07,25.920000,26.170000,25.830000,25.990000,25.491011,2948500
2021-07-08,25.540001,25.930000,25.129999,25.490000,25.000608,5596600
2021-07-09,25.780001,25.870001,25.520000,25.730000,25.236002,6073200
2021-07-12,25.660000,25.969999,25.400000,25.950001,25.451778,6083600
2021-07-13,25.920000,25.980000,24.879999,24.920000,24.441553,6107600
2021-07-14,25.020000,25.400000,24.940001,24.950001,24.470980,3645300
2021-07-15,24.730000,24.900000,24.389999,24.580000,24.108082,5489000
2021-07-16,24.670000,24.830000,24.209999,24.360001,23.892305,6356800
2021-07-19,23.910000,24.049999,23.430000,23.580000,23.127279,7643800
2021-07-20,23.670000,24.280001,23.610001,24.100000,23.637299,6737400
2021-07-21,24.280001,24.520000,24.200001,24.360001,23.892305,4619000
2021-07-22,24.480000,24.490000,23.940001,24.020000,23.558834,5477000
2021-07-23,24.129999,24.260000,23.660000,23.900000,23.441137,5729500
2021-07-26,23.910000,24.180000,23.840000,24.000000,23.539219,4904300
2021-07-27,23.870001,24.309999,23.680000,24.309999,23.843264,5488400
2021-07-28,24.450001,24.490000,24.020000,24.219999,23.754993,2984300
2021-07-29,24.340000,24.469999,24.209999,24.270000,23.804033,3328000
2021-07-30,23.889999,24.219999,23.650000,23.700001,23.390022,5208900
2021-08-02,23.920000,23.920000,23.520000,23.570000,23.261721,5567500
2021-08-03,23.650000,24.120001,23.520000,23.920000,23.607143,10843600
2021-08-04,23.740000,23.900000,23.450001,23.639999,23.330805,4894500
2021-08-05,24.299999,25.260000,23.830000,24.850000,24.524981,10640800
2021-08-06,25.129999,25.480000,24.559999,24.600000,24.278250,7489800
2021-08-09,24.549999,24.590000,24.160000,24.170000,23.853874,5950600
2021-08-10,24.209999,24.740000,24.100000,24.340000,24.021650,4612800
2021-08-11,24.370001,24.930000,24.370001,24.889999,24.564455,4700600
2021-08-12,24.780001,25.200001,24.780001,25.110001,24.781580,4353900
2021-08-13,25.000000,25.190001,24.750000,24.790001,24.465765,3286100
2021-08-16,24.660000,24.780001,24.360001,24.360001,24.041388,2679900
2021-08-17,24.180000,24.240000,23.740000,24.090000,23.774920,3452300
2021-08-18,24.160000,24.200001,23.740000,23.760000,23.449236,4970600
2021-08-19,23.600000,23.940001,23.520000,23.639999,23.330805,5192600
2021-08-20,23.580000,24.360001,23.530001,24.320000,24.001911,5292600
2021-08-23,24.400000,24.480000,24.000000,24.250000,23.932827,5704300
2021-08-24,24.430000,24.430000,24.020000,24.200001,23.883482,5848600
2021-08-25,24.180000,24.520000,24.080000,24.260000,23.942696,6158300
2021-08-26,24.200001,24.260000,23.860001,23.870001,23.557798,3919800
2021-08-27,23.760000,24.190001,23.709999,24.190001,23.873611,4578700
2021-08-30,24.299999,24.330000,24.080000,24.100000,23.784790,2120000
2021-08-31,24.160000,24.230000,23.770000,23.870001,23.557798,6436300
2021-09-01,24.080000,24.440001,24.030001,24.120001,23.804527,3941600
2021-09-02,24.129999,24.540001,24.110001,24.530001,24.209166,3283600
2021-09-03,24.480000,24.730000,24.400000,24.639999,24.317724,7178600
2021-09-07,24.469999,24.590000,24.280001,24.450001,24.130213,7112100
2021-09-08,24.440001,24.559999,24.120001,24.150000,23.834135,4804900
2021-09-09,24.190001,24.290001,23.990000,24.059999,23.745310,4377700
2021-09-10,24.170000,24.190001,23.760000,23.770000,23.459106,3686800
2021-09-13,24.000000,24.040001,23.709999,23.870001,23.557798,5941400
2021-09-14,24.030001,24.139999,23.700001,23.820000,23.508451,4703200
2021-09-15,23.780001,24.180000,23.660000,24.110001,23.794659,4909500
2021-09-16,24.150000,24.360001,24.010000,24.280001,23.962437,5230700
2021-09-17,24.520000,24.850000,24.480000,24.600000,24.278250,10357800
2021-09-20,24.200001,24.430000,23.530001,23.920000,23.607143,5734000
2021-09-21,24.070000,24.160000,23.850000,23.920000,23.607143,4272000
2021-09-22,24.030001,24.170000,23.620001,23.670000,23.360413,3426600
2021-09-23,23.830000,24.059999,23.469999,23.540001,23.232115,3411200
2021-09-24,23.540001,23.690001,23.370001,23.440001,23.133421,5970300
2021-09-27,23.360001,23.930000,23.330000,23.450001,23.143291,3741900
2021-09-28,23.520000,23.730000,23.030001,23.059999,22.758390,5135500
2021-09-29,23.129999,23.160000,22.830000,22.940001,22.639961,3551000
2021-09-30,22.990000,23.030001,22.600000,22.830000,22.531399,5642000
2021-10-01,23.040001,23.209999,22.709999,22.900000,22.600485,4779600
2021-10-04,22.809999,23.010000,22.670000,22.840000,22.541269,4485700
2021-10-05,22.930000,23.440001,22.700001,23.379999,23.074203,5162200
2021-10-06,23.160000,23.440001,22.830000,23.420000,23.113684,4515300
2021-10-07,23.510000,24.340000,23.430000,24.090000,23.774920,10589200
2021-10-08,24.049999,24.459999,23.920000,24.070000,23.755180,9921100
2021-10-11,24.020000,24.190001,23.840000,24.000000,23.686098,7662500
2021-10-12,24.020000,24.200001,23.900000,24.020000,23.705835,6733400
2021-10-13,24.090000,24.219999,23.820000,23.950001,23.636751,5890200
2021-10-14,24.129999,24.309999,23.920000,24.280001,23.962437,3200600
2021-10-15,24.490000,24.660000,24.309999,24.410000,24.090733,3537800
2021-10-18,24.090000,24.230000,23.799999,23.850000,23.538059,3269100
2021-10-19,24.040001,24.290001,23.920000,24.150000,23.834135,3291600
2021-10-20,24.180000,25.090000,24.180000,25.030001,24.702627,6982600
2021-10-21,24.920000,25.040001,24.540001,24.790001,24.465765,4068600
2021-10-22,24.940001,25.129999,24.799999,24.930000,24.603933,3740200
2021-10-25,24.879999,25.260000,24.840000,25.170000,24.840794,3834200
2021-10-26,25.350000,25.700001,25.170000,25.370001,25.038179,6284900
2021-10-27,25.410000,25.910000,25.340000,25.660000,25.324387,5546200
2021-10-28,25.760000,26.299999,25.469999,25.570000,25.235561,5746400
2021-10-29,25.430000,25.559999,24.930000,25.129999,24.801317,5021400
2021-11-01,25.049999,25.559999,24.940001,25.370001,25.189032,3070500
2021-11-02,25.370001,25.490000,25.129999,25.370001,25.189032,4968700
2021-11-03,25.420000,25.540001,24.980000,25.299999,25.119530,5918100
2021-11-04,25.850000,25.950001,24.719999,25.120001,24.940815,5778400
2021-11-05,25.240000,25.379999,24.940001,24.990000,24.811741,6858600
2021-11-08,25.010000,25.100000,23.770000,23.910000,23.739445,7360300
2021-11-09,24.030001,24.129999,23.670000,23.889999,23.719587,5107700
2021-11-10,23.820000,24.250000,23.820000,24.100000,23.928091,3500000
2021-11-11,24.260000,25.020000,24.200001,24.879999,24.702526,7503900
2021-11-12,24.840000,24.860001,24.370001,24.719999,24.543667,4154500
2021-11-15,25.000000,25.090000,24.670000,25.030001,24.851458,3207600
2021-11-16,25.000000,25.070000,24.740000,25.059999,24.881243,2730000
2021-11-17,24.700001,24.900000,24.389999,24.750000,24.573454,4116100
2021-11-18,24.709999,24.830000,24.120001,24.469999,24.295450,2918700
2021-11-19,24.350000,24.629999,24.260000,24.580000,24.404667,4313600
2021-11-22,24.690001,25.150000,24.520000,24.940001,24.762098,4611800
2021-11-23,24.980000,24.990000,24.570000,24.610001,24.434452,2536800
2021-11-24,24.530001,24.920000,24.260000,24.719999,24.543667,4134900
2021-11-26,24.230000,24.270000,23.750000,23.830000,23.660017,2500100
2021-11-29,24.100000,24.110001,23.540001,23.620001,23.451515,4307000
2021-11-30,23.600000,23.860001,23.100000,23.379999,23.213224,10330900
2021-12-01,23.719999,24.459999,23.530001,23.580000,23.411798,9058000
2021-12-02,23.510000,24.280001,23.150000,24.080000,23.908234,5494800
2021-12-03,24.200001,24.340000,23.540001,23.760000,23.590515,6167800
2021-12-06,24.049999,24.660000,23.850000,24.360001,24.186235,5585100
2021-12-07,24.629999,25.040001,24.570000,24.820000,24.642954,3693500
2021-12-08,24.850000,25.049999,24.650000,24.879999,24.702526,3044100
2021-12-09,24.870001,24.980000,24.530001,24.549999,24.374880,4454000
2021-12-10,24.709999,24.799999,24.270000,24.420000,24.245808,3414800
2021-12-13,24.350000,24.350000,23.780001,23.920000,23.749374,5358800
2021-12-14,23.799999,24.040001,23.510000,23.610001,23.441586,5302500
2021-12-15,23.549999,24.160000,23.490000,24.129999,23.957876,3671000
2021-12-16,24.150000,24.700001,24.059999,24.059999,23.888374,4556000
2021-12-17,23.870001,24.309999,23.590000,24.090000,23.918161,6214300
2021-12-20,23.700001,23.760000,22.740000,23.219999,23.054367,5578900
2021-12-21,23.410000,24.000000,23.379999,23.709999,23.540871,4944800
2021-12-22,23.580000,23.760000,23.469999,23.570000,23.401871,3587000
2021-12-23,23.660000,23.730000,23.510000,23.549999,23.382013,3790700
2021-12-27,23.540001,23.740000,23.440001,23.670000,23.501158,2798500
2021-12-28,23.750000,24.010000,23.650000,23.740000,23.570658,1908700
2021-12-29,23.680000,23.910000,23.620001,23.780001,23.610374,2611100
2021-12-30,23.900000,24.290001,23.820000,24.170000,23.997591,3201700
2021-12-31,24.080000,24.430000,24.010000,24.299999,24.126663,2491100
2022-01-03,24.410000,24.700001,24.040001,24.379999,24.206093,2741200
2022-01-04,24.430000,24.660000,24.270000,24.450001,24.275595,4105000
2022-01-05,24.350000,24.480000,23.320000,23.330000,23.163582,6392500
2022-01-06,23.340000,23.700001,23.160000,23.240000,23.074224,6035900
2022-01-07,23.240000,23.469999,22.980000,23.100000,22.935225,4655400
2022-01-10,23.150000,23.309999,22.680000,22.959999,22.796221,7277100
2022-01-11,23.000000,23.389999,23.000000,23.340000,23.173512,3959500
2022-01-12,23.440001,23.700001,23.250000,23.430000,23.262869,3596600
2022-01-13,23.440001,23.680000,23.219999,23.270000,23.104012,3049000
2022-01-14,23.180000,23.250000,22.830000,23.059999,22.895508,4467700
2022-01-18,22.799999,22.950001,22.459999,22.590000,22.428862,4523800
2022-01-19,22.600000,23.240000,22.570000,23.070000,22.905437,5725900
2022-01-20,23.260000,24.049999,23.200001,23.389999,23.223154,7856900
2022-01-21,23.309999,23.480000,22.889999,22.950001,22.786295,5997300
2022-01-24,22.500000,22.629999,21.540001,22.590000,22.428862,10357800
2022-01-25,22.110001,22.320000,21.770000,22.170000,22.011858,9369900
2022-01-26,22.540001,23.080000,22.190001,22.420000,22.260075,7061000
2022-01-27,22.809999,23.030001,22.040001,22.070000,21.912571,6652600
2022-01-28,21.900000,22.170000,21.620001,22.150000,21.991999,4187800
2022-01-31,21.750000,22.219999,21.600000,22.180000,22.180000,9913700
2022-02-01,22.219999,22.320000,21.910000,22.160000,22.160000,6924800
2022-02-02,22.090000,22.360001,21.850000,22.309999,22.309999,5703500
2022-02-03,22.040001,22.260000,21.709999,21.760000,21.760000,5251400
2022-02-04,21.629999,22.090000,21.510000,21.910000,21.910000,6201000
2022-02-07,21.860001,22.070000,21.600000,21.799999,21.799999,5478400
2022-02-08,21.900000,22.559999,21.820000,22.490000,22.490000,8517400
2022-02-09,22.770000,23.070000,22.719999,22.980000,22.980000,4202100
2022-02-10,22.639999,23.059999,22.219999,22.350000,22.350000,7026300
2022-02-11,22.350000,22.629999,21.520000,21.549999,21.549999,8335400
2022-02-14,21.650000,21.700001,21.139999,21.459999,21.459999,7996200
2022-02-15,21.750000,21.879999,21.520000,21.559999,21.559999,6016400
2022-02-16,21.549999,22.080000,21.530001,21.889999,21.889999,5071100
2022-02-17,21.760000,21.820000,21.330000,21.469999,21.469999,4914400
2022-02-18,21.430000,21.660000,21.139999,21.260000,21.260000,3115500
2022-02-22,21.230000,21.340000,20.780001,21.010000,21.010000,5021200
2022-02-23,21.040001,21.260000,20.450001,20.549999,20.549999,6087900
2022-02-24,20.030001,21.030001,19.760000,20.920000,20.920000,10375600
2022-02-25,21.120001,21.270000,20.350000,21.110001,21.110001,5580600
2022-02-28,21.000000,21.510000,20.889999,21.230000,21.230000,8264600
2022-03-01,21.139999,21.250000,20.500000,20.670000,20.670000,5071600
2022-03-02,20.790001,21.540001,20.639999,21.410000,21.410000,6606400
2022-03-03,21.469999,21.740000,21.370001,21.459999,21.459999,12627400
2022-03-04,21.270000,21.879999,21.200001,21.820000,21.820000,8911400
2022-03-07,22.030001,22.230000,21.719999,21.870001,21.870001,7689600
2022-03-08,22.000000,22.190001,21.559999,21.559999,21.559999,8533300
2022-03-09,21.959999,22.230000,21.750000,21.959999,21.959999,6540500
2022-03-10,21.820000,22.410000,21.700001,22.350000,22.350000,3953100
2022-03-11,22.389999,22.740000,22.190001,22.200001,22.200001,4679500
2022-03-14,22.320000,22.510000,21.590000,21.719999,21.719999,5516900
2022-03-15,21.889999,22.420000,21.840000,22.340000,22.340000,4247700
2022-03-16,22.400000,22.930000,22.370001,22.650000,22.650000,5490400
2022-03-17,22.590000,23.590000,22.520000,23.410000,23.410000,5810700
2022-03-18,23.410000,23.809999,23.290001,23.690001,23.690001,8957700
2022-03-21,23.629999,23.840000,23.280001,23.480000,23.480000,6253600
2022-03-22,23.680000,23.950001,23.590000,23.719999,23.719999,4527200
2022-03-23,23.639999,23.750000,23.350000,23.400000,23.400000,5353100
2022-03-24,23.559999,24.250000,23.379999,24.240000,24.240000,6925100
2022-03-25,24.370001,24.400000,24.090000,24.370001,24.370001,5146800
2022-03-28,24.280001,24.670000,24.250000,24.650000,24.650000,3714200
2022-03-29,25.040001,25.549999,24.780001,25.450001,25.450001,5255100
2022-03-30,25.379999,25.549999,25.260000,25.450001,25.450001,6506800
2022-03-31,25.430000,26.010000,25.330000,25.730000,25.730000,5997800
2022-04-01,25.799999,26.250000,25.690001,26.219999,26.219999,4588900
2022-04-04,26.100000,26.250000,25.790001,26.160000,26.160000,3340977
