Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,46.950001,47.160000,46.500000,46.750000,45.667885,3437700
2021-04-06,46.700001,47.040001,46.240002,46.660000,45.579971,3753100
2021-04-07,46.680000,47.099998,46.470001,47.080002,45.990253,2719700
2021-04-08,46.500000,46.549999,45.790001,46.060001,44.993862,3474900
2021-04-09,46.450001,46.650002,46.040001,46.599998,45.521358,3141600
2021-04-12,46.700001,47.230000,46.610001,47.160000,46.068398,3095300
2021-04-13,46.720001,47.090000,46.250000,46.689999,45.609276,2958100
2021-04-14,46.599998,47.810001,46.599998,47.490002,46.390762,3391100
2021-04-15,47.480000,47.480000,46.430000,46.660000,45.579971,4451900
2021-04-16,47.110001,47.689999,46.860001,47.099998,46.009789,4369100
2021-04-19,47.139999,47.279999,46.389999,46.730000,45.648350,2809200
2021-04-20,46.470001,46.650002,45.230000,45.529999,44.476124,4262000
2021-04-21,45.389999,46.799999,45.189999,46.759998,45.677654,3682500
2021-04-22,46.680000,47.200001,46.290001,46.459999,45.384602,4388500
2021-04-23,46.619999,47.549999,46.349998,47.340000,46.244232,3242100
2021-04-26,47.669998,48.549999,47.450001,47.529999,46.429832,3203500
2021-04-27,47.380001,48.520000,47.380001,48.439999,47.318768,3580400
2021-04-28,48.470001,48.730000,48.029999,48.209999,47.094097,2703400
2021-04-29,48.750000,49.419998,48.570000,48.939999,47.807194,3800600
2021-04-30,48.660000,49.090000,48.310001,48.450001,47.328541,3201200
2021-05-03,48.980000,49.459999,48.650002,49.049999,47.914646,2585600
2021-05-04,48.900002,49.299999,48.389999,48.400002,47.279694,6640800
2021-05-05,48.459999,49.080002,48.070000,48.869999,47.738811,8786400
2021-05-06,49.000000,50.349998,48.669998,50.169998,49.008724,5557800
2021-05-07,50.169998,51.500000,49.689999,51.189999,50.005112,5582200
2021-05-10,51.320000,52.700001,51.299999,51.919998,50.718216,6870100
2021-05-11,51.720001,51.860001,49.919998,50.380001,49.213863,4646600
2021-05-12,51.009998,51.040001,49.919998,50.080002,48.920811,5970600
2021-05-13,49.709999,51.259998,49.709999,50.849998,49.672981,5064400
2021-05-14,51.000000,51.900002,50.849998,51.900002,50.698681,4844800
2021-05-17,51.750000,51.900002,51.060001,51.570000,50.376316,3247900
2021-05-18,51.419998,51.709999,51.080002,51.110001,49.926964,3856100
2021-05-19,50.470001,50.759998,49.549999,50.669998,49.497150,4145500
2021-05-20,50.700001,50.919998,50.029999,50.529999,49.360390,3123500
2021-05-21,50.750000,51.689999,50.750000,51.310001,50.122337,4198800
2021-05-24,51.500000,51.990002,51.299999,51.880001,50.679142,2600700
2021-05-25,51.990002,52.540001,50.689999,50.799999,49.624142,3569600
2021-05-26,51.270000,51.520000,50.720001,51.369999,50.180946,2516500
2021-05-27,52.020000,52.799999,51.820000,52.709999,51.489933,6287700
2021-05-28,52.820000,52.930000,51.939999,52.840000,51.616924,3116300
2021-06-01,53.330002,53.830002,53.119999,53.549999,52.310486,5278200
2021-06-02,53.970001,54.080002,53.020000,53.040001,51.812294,4146700
2021-06-03,52.950001,53.680000,52.740002,53.540001,52.300720,4030000
2021-06-04,53.490002,53.490002,52.830002,53.419998,52.183495,2851700
2021-06-07,53.459999,53.529999,52.869999,53.070000,51.841595,2460700
2021-06-08,52.669998,53.380001,52.290001,53.230000,51.997898,2227500
2021-06-09,52.799999,52.880001,52.139999,52.160000,50.952663,2946900
2021-06-10,52.910000,53.099998,51.520000,51.570000,50.376316,2213500
2021-06-11,51.830002,52.150002,51.700001,52.020000,50.815903,3521800
2021-06-14,51.560001,51.889999,50.849998,51.099998,50.226166,3130900
2021-06-15,51.150002,51.910000,50.990002,51.529999,50.648808,3705300
2021-06-16,51.360001,51.980000,50.849998,51.680000,50.796249,4259200
2021-06-17,51.869999,51.919998,48.709999,48.770000,47.936008,5797500
2021-06-18,47.849998,48.080002,46.830002,46.849998,46.048840,10722200
2021-06-21,47.259998,47.759998,47.230000,47.750000,46.933453,7422800
2021-06-22,47.730000,47.840000,47.020000,47.549999,46.736870,3181400
2021-06-23,47.560001,48.060001,47.439999,47.730000,46.913792,2896400
2021-06-24,47.799999,48.439999,47.570000,48.209999,47.385586,2818000
2021-06-25,48.470001,49.230000,48.299999,49.020000,48.181736,3276300
2021-06-28,48.830002,48.959999,47.590000,47.959999,47.139858,2961600
2021-06-29,48.349998,48.709999,47.180000,47.400002,46.589439,2742500
2021-06-30,47.189999,47.740002,47.189999,47.599998,46.786015,2586800
2021-07-01,48.029999,48.560001,47.770000,48.270000,47.444561,2888400
2021-07-02,48.330002,48.389999,47.810001,48.049999,47.228317,1995000
2021-07-06,47.520000,47.689999,46.320000,46.610001,45.812946,3598600
2021-07-07,46.200001,47.049999,46.020000,46.790001,45.989868,4108200
2021-07-08,45.869999,46.000000,44.599998,44.860001,44.092873,5412000
2021-07-09,45.869999,47.080002,45.529999,46.869999,46.068497,5044800
2021-07-12,46.349998,47.730000,45.970001,47.439999,46.628750,3450700
2021-07-13,47.400002,47.549999,46.680000,46.730000,45.930893,2983400
2021-07-14,46.889999,47.349998,46.020000,46.410000,45.616367,2792200
2021-07-15,47.500000,48.200001,47.020000,48.070000,47.247978,7698900
2021-07-16,48.200001,48.250000,46.639999,46.900002,46.097984,4384800
2021-07-19,45.500000,45.779999,44.540001,44.930000,44.161678,5465300
2021-07-20,44.970001,47.529999,44.869999,47.230000,46.422344,5131200
2021-07-21,47.650002,48.970001,47.650002,48.290001,47.464218,3970900
2021-07-22,48.099998,48.099998,47.240002,47.560001,46.746700,2815300
2021-07-23,47.970001,48.349998,47.130001,47.310001,46.500977,3029600
2021-07-26,47.279999,48.009998,47.180000,47.709999,46.894135,3026800
2021-07-27,47.080002,47.810001,46.779999,47.419998,46.609089,2347700
2021-07-28,47.570000,47.750000,46.180000,46.950001,46.147133,2956000
2021-07-29,47.570000,47.990002,47.009998,47.869999,47.051399,3492500
2021-07-30,47.500000,48.279999,47.139999,47.349998,46.540291,4695600
2021-08-02,47.869999,48.840000,47.279999,47.369999,46.559948,2779100
2021-08-03,47.709999,47.799999,46.439999,47.740002,46.923626,2346500
2021-08-04,47.040001,47.639999,46.770000,47.090000,46.284737,3592100
2021-08-05,47.599998,48.750000,47.599998,48.660000,47.827888,4686400
2021-08-06,50.250000,51.380001,50.000000,50.950001,50.078728,4807600
2021-08-09,50.669998,52.150002,50.389999,51.849998,50.963341,4388700
2021-08-10,51.860001,53.410000,51.860001,53.139999,52.231277,7491300
2021-08-11,53.430000,54.119999,52.779999,54.080002,53.155209,5623200
2021-08-12,54.250000,54.580002,53.630001,53.880001,52.958622,3647700
2021-08-13,54.180000,54.930000,53.889999,54.610001,53.676144,4675500
2021-08-16,54.240002,54.830002,53.730000,54.610001,53.676144,4648600
2021-08-17,54.250000,54.959999,53.810001,54.009998,53.086399,4490900
2021-08-18,53.750000,54.900002,53.529999,53.759998,52.840675,5002900
2021-08-19,52.939999,53.900002,52.540001,52.959999,52.054356,7291400
2021-08-20,53.040001,53.830002,52.720001,53.570000,52.653927,4040800
2021-08-23,54.070000,54.759998,54.000000,54.160000,53.233837,3738400
2021-08-24,54.160000,54.689999,53.889999,54.360001,53.430416,3797600
2021-08-25,54.540001,55.500000,54.220001,54.930000,53.990669,4019300
2021-08-26,55.080002,55.130001,53.990002,54.020000,53.096233,3308100
2021-08-27,54.340000,55.110001,54.150002,55.009998,54.069298,3485500
2021-08-30,55.049999,55.049999,54.000000,54.020000,53.096233,3711400
2021-08-31,53.849998,54.820000,53.849998,54.560001,53.626999,5703900
2021-09-01,54.689999,54.820000,54.209999,54.580002,53.646656,4014300
2021-09-02,54.770000,55.389999,54.650002,55.230000,54.285538,5228000
2021-09-03,55.150002,55.419998,54.590000,55.099998,54.157761,4556800
2021-09-07,55.209999,55.779999,54.650002,54.669998,53.735115,4783000
2021-09-08,54.500000,55.009998,54.299999,54.810001,53.872723,3349300
2021-09-09,54.799999,55.790001,54.599998,54.689999,53.754772,4669900
2021-09-10,55.169998,55.380001,54.400002,54.439999,53.509048,3221700
2021-09-13,55.110001,55.330002,54.610001,55.119999,54.177422,4962000
2021-09-14,55.340000,55.389999,54.270000,54.430000,53.499218,5109600
2021-09-15,54.200001,54.759998,53.869999,54.450001,53.835381,4194300
2021-09-16,54.470001,55.060001,54.049999,54.349998,53.736511,3423200
2021-09-17,54.090000,55.040001,53.590000,53.810001,53.202606,7278400
2021-09-20,52.230000,53.310001,52.000000,53.230000,52.629150,7959300
2021-09-21,53.709999,53.830002,52.900002,52.959999,52.362198,5580500
2021-09-22,53.830002,54.139999,53.459999,53.709999,53.103733,4876600
2021-09-23,53.970001,55.029999,53.970001,54.520000,53.904591,4444700
2021-09-24,54.619999,55.209999,54.320000,54.810001,54.191322,5669300
2021-09-27,55.369999,57.209999,55.369999,57.029999,56.386257,5232800
2021-09-28,57.080002,57.540001,55.869999,55.990002,55.357998,5511600
2021-09-29,56.220001,56.459999,55.779999,55.840000,55.209690,3289600
2021-09-30,55.980000,56.119999,54.880001,54.889999,54.270412,4202000
2021-10-01,55.150002,55.889999,54.810001,55.480000,54.853756,5871800
2021-10-04,55.380001,56.700001,55.330002,55.820000,55.189919,5557000
2021-10-05,56.279999,57.740002,55.639999,57.450001,56.801517,4845500
2021-10-06,56.930000,57.450001,56.070000,57.320000,56.672985,3484300
2021-10-07,57.630001,58.110001,57.160000,57.200001,56.554340,3749900
2021-10-08,57.110001,57.990002,57.110001,57.610001,56.959713,2217200
2021-10-11,57.750000,58.860001,57.580002,57.889999,57.236553,3104700
2021-10-12,57.799999,58.430000,57.270000,57.400002,56.752083,2678600
2021-10-13,57.220001,57.279999,55.480000,56.209999,55.575516,4125000
2021-10-14,57.040001,57.779999,56.470001,57.770000,57.117908,4857000
2021-10-15,58.310001,58.820000,58.080002,58.279999,57.622147,3931900
2021-10-18,58.230000,58.500000,57.610001,57.889999,57.236553,3299000
2021-10-19,58.540001,59.180000,58.330002,58.639999,57.978085,3217200
2021-10-20,58.360001,59.759998,58.130001,59.610001,58.937138,3205000
2021-10-21,59.360001,59.950001,58.910000,59.259998,58.591084,2794600
2021-10-22,59.639999,60.160000,59.320000,60.009998,59.332623,3734100
2021-10-25,60.000000,60.349998,59.200001,59.639999,58.966797,3157100
2021-10-26,59.720001,60.000000,59.169998,59.230000,58.561424,2497400
2021-10-27,59.029999,60.020000,58.430000,58.549999,57.889099,3984800
2021-10-28,58.820000,59.950001,58.820000,59.900002,59.223866,2668200
2021-10-29,60.000000,60.919998,59.060001,59.090000,58.423008,4668700
2021-11-01,59.709999,60.369999,59.619999,60.189999,59.510590,2732100
2021-11-02,60.000000,60.369999,59.799999,59.980000,59.302963,3318100
2021-11-03,59.700001,61.799999,59.669998,61.080002,60.390549,4537700
2021-11-04,60.700001,60.830002,59.650002,60.389999,59.708332,4685900
2021-11-05,62.000000,62.540001,58.709999,58.959999,58.294472,6787500
2021-11-08,59.060001,59.869999,58.599998,59.160000,58.492214,5118300
