Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,102.110001,104.529999,102.110001,103.860001,103.860001,1256500
2021-04-06,102.769997,104.099998,102.440002,103.739998,103.739998,1376300
2021-04-07,102.839996,103.470001,102.239998,102.489998,102.489998,1113800
2021-04-08,103.669998,104.639999,103.059998,104.389999,104.389999,1797600
2021-04-09,104.269997,104.370003,102.980003,103.870003,103.870003,1045400
2021-04-12,103.239998,104.709999,103.169998,104.230003,104.230003,1053600
2021-04-13,103.629997,105.309998,103.629997,104.540001,104.540001,1079800
2021-04-14,104.529999,104.699997,103.470001,103.570000,103.570000,1351300
2021-04-15,104.029999,106.040001,103.720001,105.830002,105.830002,1956500
2021-04-16,105.980003,106.150002,104.910004,105.959999,105.959999,1116300
2021-04-19,105.980003,107.110001,105.529999,105.739998,105.739998,1340800
2021-04-20,105.500000,106.930000,105.050003,105.379997,105.379997,1233100
2021-04-21,105.430000,106.660004,105.250000,105.550003,105.550003,1092800
2021-04-22,105.290001,106.620003,104.620003,106.360001,106.360001,2444000
2021-04-23,105.680000,108.019997,105.220001,107.010002,107.010002,2218400
2021-04-26,106.860001,113.989998,106.190002,109.750000,109.750000,4039400
2021-04-27,110.050003,111.760002,110.050003,111.620003,111.620003,2197300
2021-04-28,111.309998,112.099998,108.870003,108.980003,108.980003,1621700
2021-04-29,110.480003,110.889999,108.169998,110.000000,110.000000,1430000
2021-04-30,108.720001,109.529999,108.220001,108.699997,108.699997,1667600
2021-05-03,108.980003,108.980003,106.129997,107.019997,107.019997,1678400
2021-05-04,106.309998,107.099998,104.099998,105.190002,105.190002,2160700
2021-05-05,108.500000,110.389999,107.330002,108.510002,108.510002,2916600
2021-05-06,107.779999,110.190002,107.129997,110.180000,110.180000,1440700
2021-05-07,110.879997,110.989998,109.449997,110.809998,110.809998,1411100
2021-05-10,110.790001,112.419998,110.059998,111.230003,111.230003,1043200
2021-05-11,109.339996,111.949997,108.910004,111.169998,111.169998,1354300
2021-05-12,110.720001,112.269997,109.790001,111.300003,111.300003,2000000
2021-05-13,111.589996,112.290001,110.589996,111.040001,111.040001,1199600
2021-05-14,111.500000,113.580002,111.500000,113.160004,113.160004,1257900
