Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,550.330017,554.489990,544.510010,547.940002,547.940002,366100
2021-04-06,551.539978,563.960022,547.559998,553.840027,553.840027,650200
2021-04-07,556.010010,559.380005,545.950012,552.559998,552.559998,453900
2021-04-08,558.869995,577.919983,556.820007,575.750000,575.750000,826800
2021-04-09,576.520020,592.989990,575.000000,592.559998,592.559998,951200
2021-04-12,593.590027,602.070007,585.659973,601.109985,601.109985,524300
2021-04-13,602.489990,608.020020,591.630005,595.630005,595.630005,390800
2021-04-14,595.700012,604.169983,589.260010,594.929993,594.929993,395600
2021-04-15,598.570007,608.200012,598.570007,606.229980,606.229980,443800
2021-04-16,607.140015,608.000000,599.020020,606.330017,606.330017,428800
2021-04-19,608.309998,610.000000,593.669983,603.719971,603.719971,406300
2021-04-20,603.849976,604.500000,588.289978,596.200012,596.200012,371600
2021-04-21,595.630005,618.000000,593.179993,616.080017,616.080017,400900
2021-04-22,621.520020,627.530029,609.750000,615.309998,615.309998,447500
2021-04-23,616.000000,624.789978,616.000000,620.119995,620.119995,537900
2021-04-26,620.979980,625.609985,613.549988,617.239990,617.239990,418900
2021-04-27,620.409973,625.789978,613.729980,621.760010,621.760010,365400
2021-04-28,616.119995,623.109985,611.650024,613.359985,613.359985,549200
2021-04-29,643.159973,647.200012,590.440002,604.340027,604.340027,1263500
2021-04-30,597.760010,615.750000,594.219971,595.530029,595.530029,660200
2021-05-03,599.140015,610.119995,595.599976,599.770020,599.770020,633200
2021-05-04,594.179993,594.179993,560.500000,582.150024,582.150024,1100900
2021-05-05,587.000000,587.239990,568.260010,569.250000,569.250000,609000
2021-05-06,568.690002,584.950012,560.580017,584.719971,584.719971,705600
2021-05-07,586.080017,604.000000,586.080017,598.340027,598.340027,694700
2021-05-10,596.159973,596.159973,551.280029,554.500000,554.500000,866500
2021-05-11,539.909973,570.119995,536.229980,566.260010,566.260010,824000
2021-05-12,553.419983,557.580017,547.510010,548.640015,548.640015,651000
2021-05-13,557.580017,559.950012,546.020020,553.619995,553.619995,421000
2021-05-14,562.549988,572.500000,555.979980,569.039978,569.039978,367000
2021-05-17,562.099976,567.530029,554.969971,559.520020,559.520020,369700
2021-05-18,567.099976,582.710022,565.510010,569.500000,569.500000,653300
2021-05-19,557.419983,572.309998,551.010010,571.489990,571.489990,502400
2021-05-20,575.000000,590.530029,574.190002,587.900024,587.900024,444500
2021-05-21,594.099976,601.390015,587.809998,591.750000,591.750000,544000
2021-05-24,596.900024,611.000000,594.099976,604.450012,604.450012,514200
2021-05-25,605.150024,610.489990,592.950012,594.950012,594.950012,449100
2021-05-26,593.000000,599.489990,591.260010,596.690002,596.690002,455800
2021-05-27,595.000000,603.169983,586.510010,599.770020,599.770020,878200
2021-05-28,605.000000,609.140015,589.729980,590.150024,590.150024,358400
2021-06-01,592.440002,596.760010,585.109985,593.479980,593.479980,611900
2021-06-02,592.820007,592.820007,573.849976,575.489990,575.489990,463000
2021-06-03,567.280029,576.559998,563.869995,566.960022,566.960022,517800
2021-06-04,574.450012,586.000000,572.530029,582.349976,582.349976,511300
2021-06-07,579.440002,585.950012,575.289978,580.270020,580.270020,438300
2021-06-08,582.080017,591.940002,579.150024,589.760010,589.760010,337000
2021-06-09,593.000000,595.650024,583.669983,585.500000,585.500000,326400
2021-06-10,585.809998,612.559998,582.549988,612.150024,612.150024,585400
2021-06-11,611.989990,615.799988,605.640015,611.539978,611.539978,345000
2021-06-14,613.590027,614.950012,601.200012,605.770020,605.770020,381700
2021-06-15,609.380005,613.150024,596.119995,600.049988,600.049988,398500
2021-06-16,599.200012,601.880005,587.590027,599.599976,599.599976,414400
2021-06-17,596.799988,616.659973,595.820007,613.330017,613.330017,600000
2021-06-18,609.780029,617.109985,599.340027,601.640015,601.640015,993800
2021-06-21,604.940002,615.179993,597.840027,611.539978,611.539978,549400
2021-06-22,611.510010,611.809998,598.109985,604.710022,604.710022,618200
