Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,77.815002,78.349998,77.012497,77.904999,77.904999,1583600
2021-04-06,77.502502,77.614998,76.839996,76.967499,76.967499,1652000
2021-04-07,77.084999,77.334999,76.302498,76.955002,76.955002,1090800
2021-04-08,77.720001,77.892502,76.464996,77.812500,77.812500,1070000
2021-04-09,78.027496,78.910004,77.703751,78.887497,78.887497,1223200
2021-04-12,78.750000,79.114998,77.841248,78.502502,78.502502,1282400
2021-04-13,79.160004,80.247498,78.422501,78.582497,78.582497,1445600
2021-04-14,78.472504,79.035004,77.863747,78.117500,78.117500,907600
2021-04-15,78.557503,78.739998,77.620003,78.709999,78.709999,1140000
2021-04-16,78.959999,79.440002,78.557503,79.167503,79.167503,845200
2021-04-19,79.212502,79.512497,78.596252,78.702499,78.702499,1014800
2021-04-20,78.242500,78.379997,77.042503,77.382500,77.382500,1329200
2021-04-21,77.845001,79.117500,77.402496,79.105003,79.105003,820800
2021-04-22,78.930000,79.082497,77.800003,78.207497,78.207497,1732800
2021-04-23,78.750000,79.904999,78.608749,79.660004,79.660004,1035200
2021-04-26,79.652496,80.686752,79.552498,80.267502,80.267502,1350000
2021-04-27,80.567497,80.567497,79.324997,79.754997,79.754997,1202800
2021-04-28,79.995003,80.217499,79.324997,80.190002,80.190002,1053200
2021-04-29,80.012497,80.847504,79.165001,80.627502,80.627502,1653600
2021-04-30,80.070000,80.279999,78.629997,78.792503,78.792503,2153600
2021-05-03,78.955002,79.620003,77.849998,78.677498,78.677498,1485600
2021-05-04,77.577499,77.870003,75.650002,76.385002,76.385002,2336000
2021-05-05,79.102501,80.614998,77.300003,79.184998,79.184998,3065600
2021-05-06,79.000000,81.879997,79.000000,81.815002,81.815002,2795200
2021-05-07,82.372498,82.750000,81.387497,82.129997,82.129997,1881200
2021-05-10,82.500000,82.962502,81.050003,81.550003,81.550003,1875600
2021-05-11,80.099998,82.190002,79.807503,81.684998,81.684998,2459200
2021-05-12,80.684998,80.916252,78.660004,78.942497,78.942497,1504400
2021-05-13,79.642502,80.262497,78.332497,79.470001,79.470001,1660800
2021-05-14,80.412498,82.187500,79.934998,81.595001,81.595001,1497600
2021-05-17,81.142502,81.805000,80.852501,81.447502,81.447502,850400
2021-05-18,81.807503,82.330002,81.213753,81.419998,81.419998,1068400
2021-05-19,80.320000,81.397499,79.625000,80.892502,80.892502,1244800
2021-05-20,81.120003,84.650002,80.430000,83.982498,83.982498,2140000
2021-05-21,83.202499,84.272499,81.910004,83.032501,83.032501,1764000
2021-05-24,83.750000,84.897499,83.540001,84.114998,84.114998,1048000
2021-05-25,84.222504,85.099998,84.172501,84.574997,84.574997,1142400
2021-05-26,84.500000,85.147499,83.962502,84.614998,84.614998,1051600
2021-05-27,84.820000,85.057503,84.217499,84.279999,84.279999,1624800
2021-05-28,85.000000,85.397499,84.642502,84.845001,84.845001,1131600
2021-06-01,84.657501,84.881248,83.672501,83.717499,83.717499,1200400
2021-06-02,84.017502,84.017502,82.940002,83.542503,83.542503,1976800
2021-06-03,83.525002,86.372498,83.415001,85.967499,85.967499,2550000
2021-06-04,86.250000,88.050003,86.250000,87.580002,87.580002,1940400
2021-06-07,87.580002,88.139999,87.152496,88.127502,88.127502,1360400
2021-06-08,88.199997,89.330002,87.820000,88.680000,88.680000,1546400
2021-06-09,88.985001,90.117500,88.841248,89.932503,89.932503,1924400
2021-06-10,89.927498,92.352501,89.375000,92.290001,92.290001,2504800
2021-06-11,92.500000,92.512497,90.334999,90.997498,90.997498,2088800
2021-06-14,90.742500,91.272499,90.294998,91.224998,91.224998,1458000
2021-06-15,91.410004,91.455002,90.142502,90.434998,90.434998,1176800
2021-06-16,90.687500,92.120003,90.105003,91.964996,91.964996,1676400
2021-06-17,92.052498,93.622498,91.927498,92.510002,92.510002,2798800
2021-06-18,91.930000,92.415001,90.415001,90.727501,90.727501,4634000
2021-06-21,91.440002,93.375000,90.727501,92.375000,92.375000,1708000
2021-06-22,92.150002,92.288750,90.629997,91.087502,91.087502,2278000
2021-06-23,91.199997,91.654999,90.175003,91.152496,91.152496,2190000
2021-06-24,92.000000,92.102501,90.297501,90.875000,90.875000,1283600
2021-06-25,90.842499,91.040001,90.347504,90.555000,90.555000,2419600
2021-06-28,90.627502,90.995003,90.178497,90.705002,90.705002,1820000
2021-06-29,90.705002,91.056252,90.377502,90.940002,90.940002,1412400
2021-06-30,90.782501,90.849998,89.357498,90.577499,90.577499,1504000
2021-07-01,90.847504,91.705002,90.277496,90.847504,90.847504,1308000
2021-07-02,91.160004,91.842499,90.337502,91.397499,91.397499,1164400
2021-07-06,92.292503,93.750000,91.955002,93.732498,93.732498,2226000
2021-07-07,93.752502,94.056252,91.117500,93.637497,93.637497,2454400
2021-07-08,92.474998,93.264999,91.562500,92.540001,92.540001,2302000
2021-07-09,93.070000,94.675003,92.750000,94.507500,94.507500,2066800
2021-07-12,94.362503,94.401001,92.423752,92.724998,92.724998,1001600
2021-07-13,93.292503,93.708748,92.224998,92.495003,92.495003,1454000
2021-07-14,92.955002,93.102501,91.376251,92.312500,92.312500,1115200
2021-07-15,91.941254,92.622498,91.375000,92.012497,92.012497,999600
2021-07-16,92.012497,92.562500,90.762497,90.862503,90.862503,1262000
2021-07-19,89.745003,91.312500,89.327499,90.529999,90.529999,1870400
2021-07-20,91.245003,91.245003,90.440002,90.922501,90.922501,2528000
2021-07-21,91.252502,91.847504,90.360001,91.792503,91.792503,1725200
2021-07-22,92.597504,93.699997,92.432503,93.342499,93.342499,2256400
2021-07-23,93.925003,95.264999,93.706253,95.245003,95.245003,1589600
2021-07-26,95.264999,95.264999,93.474998,94.342499,94.342499,859200
2021-07-27,94.150002,94.230003,92.327499,93.657501,93.657501,1147200
2021-07-28,93.750000,94.402496,93.333000,94.262497,94.262497,896800
2021-07-29,94.577499,95.852501,94.537498,95.252502,95.252502,941600
2021-07-30,94.500000,95.886253,94.445000,95.097504,95.097504,1438000
2021-08-02,95.250000,95.497498,93.904999,94.294998,94.294998,2573600
2021-08-03,91.120003,95.447502,89.500000,94.792503,94.792503,2964000
2021-08-04,94.900002,96.000000,93.089996,95.529999,95.529999,1891200
2021-08-05,95.375000,95.747498,94.665001,95.150002,95.150002,1304400
2021-08-06,95.102501,95.102501,94.184998,94.400002,94.400002,1259600
2021-08-09,94.235001,94.547501,93.425003,93.875000,93.875000,1350400
