Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,150.270004,152.369995,150.250000,152.029999,149.795609,577400
2021-04-06,151.839996,153.190002,150.889999,152.800003,150.554291,848200
2021-04-07,153.050003,153.860001,151.860001,152.929993,150.682373,611600
2021-04-08,153.630005,153.779999,151.179993,151.690002,149.460602,657300
2021-04-09,152.059998,152.649994,150.960007,151.679993,149.450729,609700
2021-04-12,151.649994,153.389999,151.360001,152.250000,150.012390,742100
2021-04-13,151.339996,155.839996,151.279999,155.410004,153.125931,738700
2021-04-14,154.710007,157.190002,153.949997,157.130005,154.820663,929100
2021-04-15,157.149994,159.309998,157.149994,159.160004,156.820816,1069200
2021-04-16,160.000000,160.320007,158.820007,160.119995,157.766678,1341700
2021-04-19,160.240005,160.559998,157.979996,158.720001,156.387283,835100
2021-04-20,159.000000,162.399994,158.860001,161.309998,158.939209,850100
2021-04-21,162.289993,162.500000,159.830002,161.000000,158.633759,623200
2021-04-22,161.000000,162.380005,160.470001,161.429993,159.057434,653700
2021-04-23,161.500000,161.850006,159.289993,159.360001,157.017868,1044900
2021-04-26,159.470001,159.679993,156.440002,157.710007,155.392136,938500
2021-04-27,157.940002,158.080002,154.550003,155.100006,152.820496,1373100
2021-04-28,155.289993,155.490005,153.529999,154.339996,152.071640,699300
2021-04-29,154.500000,156.690002,154.009995,154.440002,152.170197,752600
2021-04-30,154.669998,156.020004,154.130005,155.990005,153.697403,1012100
2021-05-03,156.160004,156.809998,154.740005,155.500000,153.214615,598000
2021-05-04,154.520004,156.729996,153.309998,155.289993,153.007675,956300
2021-05-05,154.410004,155.149994,151.179993,153.059998,150.810455,714100
2021-05-06,152.919998,154.139999,152.139999,153.199997,150.948425,751300
2021-05-07,153.199997,155.820007,152.610001,152.770004,150.524750,795900
2021-05-10,152.309998,156.550003,152.130005,156.000000,154.315857,2008300
2021-05-11,155.800003,155.800003,152.570007,153.699997,152.040680,667600
2021-05-12,152.800003,152.979996,149.149994,149.589996,147.975052,837100
2021-05-13,149.600006,152.660004,149.300003,152.000000,150.359039,560700
2021-05-14,152.160004,153.839996,152.000000,152.830002,151.180084,830800
2021-05-17,152.649994,153.830002,150.800003,150.850006,149.221466,540400
2021-05-18,150.899994,151.940002,149.850006,151.089996,149.458862,515500
2021-05-19,150.570007,152.119995,150.110001,152.070007,150.428299,605600
2021-05-20,152.139999,154.910004,152.139999,154.419998,152.752914,703400
2021-05-21,154.660004,156.350006,154.160004,155.119995,153.445358,1605300
2021-05-24,155.600006,156.490005,154.740005,154.839996,153.168381,450100
2021-05-25,154.839996,155.729996,153.589996,154.919998,153.247513,581500
2021-05-26,155.289993,155.779999,153.960007,154.970001,153.296982,485100
2021-05-27,156.000000,156.050003,153.100006,153.419998,151.763718,1029500
2021-05-28,154.669998,155.949997,153.889999,155.020004,153.346436,562200
2021-06-01,155.880005,156.169998,154.130005,154.259995,152.594635,619300
2021-06-02,154.229996,156.130005,153.770004,155.429993,153.751999,504100
2021-06-03,154.009995,156.679993,154.009995,156.039993,154.355408,720800
2021-06-04,156.210007,157.199997,156.009995,156.429993,154.741196,403200
2021-06-07,156.550003,157.649994,156.229996,157.470001,155.769989,487600
2021-06-08,157.800003,158.020004,156.029999,156.809998,155.117111,479800
2021-06-09,157.380005,158.389999,156.589996,157.600006,155.898590,644500
2021-06-10,157.770004,160.000000,157.210007,159.729996,158.005585,541500
2021-06-11,159.800003,160.440002,159.259995,160.360001,158.628769,745500
2021-06-14,160.529999,161.500000,158.449997,160.479996,158.747498,735400
2021-06-15,160.500000,162.520004,160.020004,161.789993,160.043350,640700
2021-06-16,162.559998,163.000000,158.360001,158.470001,156.759186,795500
2021-06-17,158.130005,162.429993,157.869995,162.199997,160.448914,619700
2021-06-18,161.110001,161.809998,157.369995,157.539993,155.839233,1741100
2021-06-21,157.929993,161.639999,156.360001,161.300003,159.558655,808800
2021-06-22,161.809998,162.559998,159.639999,159.699997,157.975906,581800
2021-06-23,159.830002,160.000000,155.949997,156.369995,154.681870,855100
2021-06-24,157.490005,157.539993,153.669998,154.759995,153.089233,867500
2021-06-25,154.759995,155.380005,153.389999,155.229996,153.554153,1041300
2021-06-28,155.610001,158.850006,155.610001,157.330002,155.631516,742900
2021-06-29,156.440002,158.250000,155.410004,155.479996,153.801468,655300
2021-06-30,155.759995,156.539993,153.330002,154.130005,152.466034,627700
2021-07-01,154.220001,155.899994,153.449997,155.570007,153.890503,497200
2021-07-02,155.929993,156.940002,155.490005,156.880005,155.186356,397700
2021-07-06,157.800003,159.979996,156.559998,159.880005,158.153961,761300
2021-07-07,160.000000,163.600006,159.360001,163.380005,161.616196,871300
2021-07-08,162.570007,163.990005,161.070007,161.580002,159.835632,569900
2021-07-09,161.649994,162.490005,160.460007,162.279999,160.528061,519800
2021-07-12,162.250000,163.220001,161.559998,162.979996,161.220505,414500
2021-07-13,162.839996,163.899994,161.610001,162.250000,160.498398,473900
2021-07-14,162.210007,164.089996,161.259995,163.240005,161.477692,363800
2021-07-15,162.399994,166.500000,162.220001,166.110001,164.316696,627000
2021-07-16,166.539993,169.770004,166.199997,168.309998,166.492950,629800
2021-07-19,167.360001,168.949997,164.789993,167.360001,165.553207,768500
2021-07-20,167.970001,169.449997,165.710007,166.699997,164.900345,955100
2021-07-21,166.419998,166.419998,162.720001,163.490005,161.725006,749200
2021-07-22,163.589996,164.850006,163.169998,164.419998,162.644974,535900
2021-07-23,164.770004,167.360001,164.509995,167.270004,165.464188,603100
2021-07-26,166.500000,167.039993,164.960007,166.179993,164.385956,556300
2021-07-27,166.380005,170.740005,165.559998,170.199997,168.362549,584200
2021-07-28,170.149994,170.860001,168.600006,170.350006,168.510956,484800
2021-07-29,170.509995,171.309998,169.660004,170.729996,168.886826,406100
2021-07-30,170.570007,172.100006,169.940002,170.110001,168.273529,631200
2021-08-02,169.979996,172.270004,169.830002,172.250000,170.390411,621800
2021-08-03,173.250000,176.839996,172.100006,175.300003,173.407516,912800
2021-08-04,172.139999,177.149994,172.059998,176.470001,174.564865,1084800
2021-08-05,177.000000,180.080002,176.000000,179.669998,177.730316,525200
2021-08-06,179.929993,180.419998,177.360001,177.449997,175.534286,1000300
2021-08-09,178.100006,178.520004,175.500000,177.119995,175.804764,985600
2021-08-10,177.199997,177.320007,175.509995,176.009995,174.703003,624000
2021-08-11,176.460007,177.050003,174.529999,175.559998,174.256348,728800
2021-08-12,175.699997,177.940002,175.309998,177.449997,176.132309,789000
2021-08-13,177.679993,179.089996,176.850006,178.919998,177.591400,649900
2021-08-16,178.990005,181.750000,178.740005,181.500000,180.152237,617600
2021-08-17,181.330002,181.600006,179.539993,181.389999,180.043045,579100
2021-08-18,181.179993,181.330002,178.979996,179.880005,178.544281,583100
2021-08-19,180.259995,182.419998,179.429993,181.770004,180.420242,549100
2021-08-20,181.449997,184.639999,180.500000,184.100006,182.732941,666600
2021-08-23,184.100006,185.240005,181.339996,182.199997,180.847046,993500
2021-08-24,181.740005,181.960007,179.000000,180.600006,179.258926,745800
2021-08-25,180.600006,181.429993,179.559998,180.880005,179.536850,502400
2021-08-26,180.509995,181.669998,179.759995,181.220001,179.874329,520800
2021-08-27,181.610001,182.320007,180.009995,180.309998,178.971085,748700
2021-08-30,181.169998,183.309998,180.789993,182.580002,181.224213,520100
2021-08-31,182.580002,183.720001,181.809998,182.250000,180.896667,918100
2021-09-01,180.679993,185.179993,180.679993,184.429993,183.060471,751700
2021-09-02,185.000000,186.919998,184.500000,186.850006,185.462524,460000
2021-09-03,186.100006,187.020004,184.580002,185.149994,183.775131,466300
2021-09-07,185.240005,185.789993,182.889999,184.000000,182.633682,608700
2021-09-08,184.009995,189.350006,183.509995,188.750000,187.348404,590000
2021-09-09,187.759995,188.880005,186.539993,187.539993,186.147385,987900
2021-09-10,188.259995,188.259995,184.699997,184.789993,183.417801,518600
2021-09-13,186.039993,186.529999,182.449997,183.139999,181.780060,690200
2021-09-14,184.059998,185.160004,183.149994,184.880005,183.507141,483300
2021-09-15,184.750000,185.520004,182.899994,183.649994,182.286270,738000
2021-09-16,184.240005,184.949997,181.130005,181.699997,180.350754,724000
2021-09-17,179.690002,181.410004,177.539993,178.039993,176.717926,1961900
2021-09-20,177.270004,180.750000,176.039993,179.250000,177.918945,645200
2021-09-21,179.479996,181.139999,178.330002,178.460007,177.134811,604700
2021-09-22,179.000000,179.479996,176.320007,177.720001,176.400299,619900
2021-09-23,177.619995,179.610001,177.210007,177.830002,176.509491,665800
2021-09-24,177.830002,178.960007,176.000000,176.789993,175.477203,470400
2021-09-27,174.289993,174.759995,170.550003,170.710007,169.442368,922400
2021-09-28,170.110001,170.199997,167.979996,168.190002,166.941071,725000
2021-09-29,168.570007,172.000000,167.869995,170.300003,169.035400,689700
2021-09-30,171.169998,171.479996,168.899994,169.039993,167.784744,863900
2021-10-01,168.699997,170.389999,167.500000,168.339996,167.089951,662600
2021-10-04,168.589996,171.729996,168.229996,170.910004,169.640884,730500
2021-10-05,171.389999,172.440002,170.630005,171.600006,170.325760,577500
2021-10-06,171.160004,174.199997,170.080002,174.179993,172.886581,488000
2021-10-07,174.520004,175.880005,172.210007,172.470001,171.189285,497800
2021-10-08,172.289993,173.399994,169.699997,170.830002,169.561478,442600
2021-10-11,170.100006,170.929993,168.380005,168.860001,167.606094,746000
2021-10-12,168.800003,170.279999,167.910004,169.539993,168.281036,499400
2021-10-13,169.839996,170.460007,168.259995,169.399994,168.142090,773700
2021-10-14,169.910004,171.729996,169.910004,171.179993,169.908859,547200
2021-10-15,171.309998,171.860001,170.210007,171.419998,170.147095,659200
2021-10-18,170.720001,171.380005,169.360001,170.389999,169.124741,531900
2021-10-19,171.660004,173.410004,171.229996,172.649994,171.367950,594500
2021-10-20,174.059998,175.630005,173.270004,173.970001,172.678162,556800
2021-10-21,174.259995,176.289993,173.130005,173.550003,172.261276,743000
2021-10-22,173.929993,176.470001,173.839996,175.809998,174.504486,537700
2021-10-25,174.479996,176.990005,174.009995,174.850006,173.551620,585000
2021-10-26,174.940002,176.660004,174.470001,174.949997,173.650879,540400
2021-10-27,175.949997,176.100006,173.039993,173.220001,171.933731,519900
2021-10-28,173.139999,175.440002,173.050003,175.309998,174.008194,472100
2021-10-29,175.000000,176.320007,173.350006,174.179993,172.886581,779900
2021-11-01,174.289993,174.839996,170.990005,173.690002,172.400238,726500
2021-11-02,174.779999,176.839996,173.919998,176.800003,175.487137,962000
2021-11-03,172.000000,174.000000,166.210007,168.009995,166.762405,1637900
2021-11-04,165.669998,169.169998,165.669998,168.770004,167.516769,1145800
2021-11-05,168.759995,170.610001,167.850006,169.660004,168.400162,657200
2021-11-08,169.220001,169.809998,166.580002,169.009995,167.754974,953000
2021-11-09,169.520004,170.389999,168.410004,169.520004,168.863190,528300
2021-11-10,169.080002,172.029999,168.990005,172.000000,171.333572,779200
2021-11-11,172.199997,172.240005,169.410004,170.649994,169.988800,525900
2021-11-12,171.080002,171.080002,169.059998,170.740005,170.078461,393300
2021-11-15,171.220001,173.119995,170.880005,172.679993,172.010925,491700
2021-11-16,172.889999,173.000000,170.229996,170.740005,170.078461,636400
2021-11-17,170.539993,170.809998,168.050003,170.750000,170.088409,709000
2021-11-18,171.050003,172.830002,170.830002,171.490005,170.825546,606500
2021-11-19,172.429993,173.910004,171.199997,173.380005,172.708221,746300
2021-11-22,172.990005,175.960007,171.470001,174.570007,173.893616,650700
2021-11-23,174.429993,175.770004,172.520004,173.080002,172.409393,571500
2021-11-24,173.000000,173.839996,171.350006,173.410004,172.738113,404200
2021-11-26,172.399994,174.589996,170.009995,170.309998,169.650116,399300
2021-11-29,171.509995,173.899994,169.869995,173.320007,172.648468,623800
2021-11-30,172.539993,174.279999,168.500000,168.570007,167.916870,1561900
2021-12-01,168.080002,171.889999,166.559998,167.800003,167.149841,937500
2021-12-02,168.690002,171.470001,168.449997,170.369995,169.709885,835900
2021-12-03,171.570007,171.820007,167.639999,171.630005,170.965012,831100
2021-12-06,172.279999,174.869995,171.850006,173.919998,173.246124,611200
2021-12-07,174.259995,177.429993,173.610001,176.520004,175.836060,663900
2021-12-08,176.889999,178.110001,175.509995,176.759995,176.075119,636900
2021-12-09,176.500000,176.639999,174.839996,175.820007,175.138779,870300
2021-12-10,176.630005,178.360001,175.449997,176.139999,175.457535,593800
2021-12-13,175.910004,182.050003,175.910004,180.899994,180.199081,830500
2021-12-14,180.740005,181.220001,178.089996,179.300003,178.605286,632400
2021-12-15,180.160004,182.339996,180.149994,182.270004,181.563782,622200
2021-12-16,181.830002,183.949997,181.389999,182.929993,182.221207,750900
2021-12-17,182.660004,184.850006,182.250000,183.110001,182.400528,2131400
2021-12-20,181.539993,183.259995,179.550003,182.619995,181.912415,715700
2021-12-21,183.589996,184.110001,179.169998,181.270004,180.567657,952800
2021-12-22,180.649994,183.500000,180.149994,183.369995,182.659515,457700
2021-12-23,183.550003,183.750000,181.800003,182.080002,181.374512,322800
2021-12-27,183.229996,184.250000,181.949997,183.580002,182.868698,428600
2021-12-28,183.740005,186.160004,183.289993,186.139999,185.418777,375000
2021-12-29,186.500000,187.720001,185.270004,187.389999,186.663940,373700
2021-12-30,187.119995,188.729996,186.270004,188.029999,187.301453,373700
2021-12-31,188.000000,189.649994,187.490005,188.860001,188.128250,382200
2022-01-03,188.970001,189.250000,182.199997,184.139999,183.426529,712600
2022-01-04,184.020004,184.779999,179.399994,179.419998,178.724823,1139700
2022-01-05,177.300003,180.289993,177.250000,178.100006,177.409943,1133500
2022-01-06,177.619995,178.899994,174.789993,175.300003,174.620789,1057500
2022-01-07,172.839996,174.460007,171.039993,173.500000,172.827759,1199700
2022-01-10,172.679993,172.949997,167.149994,170.029999,169.371201,1082000
2022-01-11,170.179993,171.089996,165.919998,168.309998,167.657867,759500
2022-01-12,167.460007,169.610001,165.500000,169.179993,168.524490,863900
2022-01-13,169.139999,170.330002,167.529999,168.089996,167.438721,858800
2022-01-14,167.830002,167.970001,160.649994,163.570007,162.936234,1568600
2022-01-18,161.039993,163.729996,159.710007,162.009995,161.382263,1166900
2022-01-19,161.589996,164.330002,160.770004,161.020004,160.396118,940900
2022-01-20,161.559998,164.699997,159.529999,162.699997,162.069595,1067300
2022-01-21,164.080002,165.339996,161.179993,161.389999,160.764679,910200
2022-01-24,160.800003,162.639999,155.250000,159.789993,159.170868,1417600
2022-01-25,157.779999,159.880005,155.440002,157.000000,156.391693,1147000
2022-01-26,157.449997,159.470001,154.570007,155.550003,154.947311,1090300
2022-01-27,156.880005,159.410004,155.660004,156.149994,155.544968,921300
2022-01-28,156.270004,157.839996,153.360001,157.839996,157.228424,903300
2022-01-31,157.119995,161.119995,156.679993,160.800003,160.176971,966500
2022-02-01,161.000000,161.440002,156.570007,158.710007,158.095062,904800
2022-02-02,158.389999,160.979996,157.240005,160.820007,160.196899,863100
2022-02-03,159.250000,159.740005,157.300003,157.509995,156.899704,732500
2022-02-04,156.570007,157.309998,153.770004,155.500000,154.897507,895600
2022-02-07,155.699997,156.210007,153.529999,155.419998,155.419998,942400
2022-02-08,155.500000,157.830002,155.059998,155.660004,155.660004,912000
2022-02-09,156.990005,157.149994,154.429993,155.729996,155.729996,904800
2022-02-10,152.750000,154.259995,150.050003,150.410004,150.410004,854100
2022-02-11,151.339996,152.270004,148.380005,149.460007,149.460007,950200
2022-02-14,149.470001,150.910004,146.190002,148.029999,148.029999,1232400
2022-02-15,149.399994,149.619995,145.389999,146.770004,146.770004,1849100
2022-02-16,147.059998,147.100006,144.339996,146.289993,146.289993,1870200
2022-02-17,147.919998,149.149994,144.199997,148.059998,148.059998,1407700
2022-02-18,147.000000,149.470001,146.240005,148.259995,148.259995,2489500
2022-02-22,147.160004,149.449997,145.289993,147.830002,147.830002,1098300
2022-02-23,149.300003,150.059998,146.580002,146.729996,146.729996,997800
2022-02-24,144.949997,149.039993,144.660004,148.600006,148.600006,1234100
2022-02-25,149.500000,152.770004,148.919998,152.690002,152.690002,1150000
2022-02-28,152.369995,152.970001,149.279999,151.089996,151.089996,3606100
2022-03-01,151.289993,153.210007,148.679993,151.020004,151.020004,1356600
2022-03-02,150.630005,152.529999,150.580002,152.100006,152.100006,821700
2022-03-03,152.500000,155.660004,152.500000,154.940002,154.940002,1084600
2022-03-04,155.039993,161.440002,154.940002,161.039993,161.039993,1597000
2022-03-07,161.720001,161.990005,158.100006,159.220001,159.220001,1244400
2022-03-08,157.410004,159.320007,153.520004,154.250000,154.250000,1363200
2022-03-09,155.960007,156.770004,152.610001,153.789993,153.789993,881200
2022-03-10,153.240005,153.289993,151.149994,153.130005,153.130005,958700
2022-03-11,153.330002,154.929993,151.259995,152.080002,152.080002,964500
2022-03-14,153.610001,154.949997,151.639999,152.619995,152.619995,1013400
2022-03-15,154.960007,156.330002,153.289993,155.949997,155.949997,677100
2022-03-16,156.059998,156.949997,154.130005,156.149994,156.149994,985400
2022-03-17,156.119995,158.740005,155.770004,157.429993,157.429993,638400
2022-03-18,157.970001,160.759995,157.500000,158.720001,158.720001,1798300
2022-03-21,158.100006,159.940002,156.380005,157.009995,157.009995,657300
2022-03-22,157.110001,157.669998,155.270004,156.580002,156.580002,876800
2022-03-23,156.669998,157.289993,155.330002,155.600006,155.600006,760200
2022-03-24,156.039993,158.250000,155.610001,158.149994,158.149994,520800
2022-03-25,158.570007,159.630005,157.830002,159.550003,159.550003,507100
2022-03-28,160.490005,161.419998,159.460007,161.419998,161.419998,512700
2022-03-29,163.539993,164.539993,162.690002,164.440002,164.440002,678500
2022-03-30,164.410004,166.089996,163.020004,165.850006,165.850006,715200
2022-03-31,165.779999,167.470001,165.520004,165.529999,165.529999,986900
2022-04-01,165.729996,168.970001,164.339996,168.839996,168.839996,590500
2022-04-04,168.320007,168.639999,164.649994,166.250000,166.250000,459706
