Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,84.750000,85.699997,84.339996,85.279999,84.089401,1893900
2021-04-06,84.660004,85.260002,84.430000,84.919998,83.734428,1885800
2021-04-07,85.040001,85.230003,84.300003,84.690002,83.507645,1017000
2021-04-08,84.839996,85.290001,83.949997,84.000000,82.827271,2174700
2021-04-09,84.309998,84.930000,83.800003,84.919998,83.734428,2781300
2021-04-12,85.000000,85.489998,84.379997,84.540001,83.359734,1726300
2021-04-13,83.779999,85.250000,83.730003,84.790001,83.606247,1504700
2021-04-14,84.800003,84.940002,84.169998,84.639999,83.458336,1576500
2021-04-15,84.699997,86.419998,84.650002,85.800003,84.602150,2879700
2021-04-16,86.260002,86.849998,85.900002,86.559998,85.351532,2884600
2021-04-19,86.430000,86.720001,85.739998,86.519997,85.312088,2706600
2021-04-20,86.660004,87.959999,86.570000,87.070000,85.854424,2041400
2021-04-21,87.739998,88.110001,87.370003,87.900002,86.672829,1839800
2021-04-22,87.889999,88.300003,87.290001,88.010002,86.781296,2423000
2021-04-23,87.860001,88.320000,87.480003,87.870003,86.643257,2377300
2021-04-26,88.000000,88.000000,87.010002,87.360001,86.140366,1644300
2021-04-27,86.970001,87.209999,86.169998,86.760002,85.548744,1657200
2021-04-28,86.889999,87.230003,86.440002,86.989998,85.775536,1999600
2021-04-29,87.559998,87.559998,83.830002,85.349998,84.158424,2486900
2021-04-30,85.599998,85.959999,84.910004,85.690002,84.493683,2805500
2021-05-03,86.019997,86.860001,85.699997,86.540001,85.331818,2004800
2021-05-04,86.930000,87.660004,86.269997,87.440002,86.219246,2732700
2021-05-05,87.379997,87.379997,86.139999,86.699997,85.489578,2424000
2021-05-06,86.540001,87.580002,86.349998,87.529999,86.307999,1989100
2021-05-07,87.470001,87.919998,86.400002,86.620003,85.410706,2486500
2021-05-10,87.180000,87.570000,86.459999,86.489998,85.282509,3584400
2021-05-11,86.459999,86.760002,83.540001,83.580002,82.413147,4241200
2021-05-12,83.449997,83.919998,83.029999,83.099998,81.939842,2426100
2021-05-13,83.050003,83.830002,82.849998,83.400002,82.235649,2955300
2021-05-14,83.720001,84.379997,83.510002,83.860001,82.689232,2193500
2021-05-17,83.849998,84.180000,82.779999,82.849998,81.693336,2372700
2021-05-18,82.510002,83.400002,82.080002,82.930000,81.772217,2110800
2021-05-19,82.699997,82.879997,82.029999,82.480003,81.328499,1765600
2021-05-20,82.510002,83.419998,82.440002,82.959999,81.801796,1950300
2021-05-21,83.070000,83.889999,83.040001,83.059998,81.900398,1596200
2021-05-24,83.230003,83.529999,82.739998,82.769997,81.614449,1676400
2021-05-25,82.550003,82.849998,82.239998,82.349998,81.200310,2330500
2021-05-26,81.730003,82.720001,81.480003,82.419998,81.269333,2994800
2021-05-27,82.519997,82.529999,81.190002,81.809998,80.667847,5048600
2021-05-28,82.290001,82.639999,81.879997,82.120003,80.973526,3617300
2021-06-01,82.459999,82.779999,82.019997,82.139999,80.993240,3355600
2021-06-02,82.290001,82.430000,81.300003,81.599998,80.460785,2461100
2021-06-03,81.129997,81.870003,80.660004,81.690002,80.826881,2397200
2021-06-04,82.129997,82.440002,81.930000,82.250000,81.380959,1938300
2021-06-07,82.309998,82.410004,81.150002,81.260002,80.401421,2753000
2021-06-08,81.620003,81.690002,80.260002,81.089996,80.233208,2489500
2021-06-09,81.370003,82.379997,81.169998,82.349998,81.479904,1707200
2021-06-10,82.339996,84.169998,82.290001,84.089996,83.201515,3455700
2021-06-11,84.250000,84.500000,82.120003,82.239998,81.371063,6107100
2021-06-14,82.300003,82.820000,81.620003,82.769997,81.895462,2994500
2021-06-15,82.769997,82.900002,81.550003,81.949997,81.084129,2286300
2021-06-16,82.070000,82.480003,81.559998,81.769997,80.906029,1911200
2021-06-17,81.500000,81.959999,80.769997,81.150002,80.292580,2668300
2021-06-18,80.610001,81.449997,80.279999,80.820000,79.966064,4311300
2021-06-21,81.139999,81.720001,80.410004,81.510002,80.648773,2042300
2021-06-22,81.519997,81.680000,81.139999,81.330002,80.470680,1937300
2021-06-23,81.290001,81.629997,80.910004,80.930000,80.074905,3107200
2021-06-24,81.239998,81.779999,80.980003,81.400002,80.539940,1972700
2021-06-25,81.599998,82.529999,81.570000,82.190002,81.321587,6398300
2021-06-28,82.430000,82.430000,81.220001,81.650002,80.787300,2290300
2021-06-29,81.589996,82.040001,81.290001,81.860001,80.995071,1740600
2021-06-30,81.940002,81.989998,80.279999,80.500000,79.649452,3139000
2021-07-01,80.449997,81.620003,80.349998,81.470001,80.609200,4813200
2021-07-02,81.470001,81.820000,81.279999,81.760002,80.896141,2826400
2021-07-06,81.500000,81.720001,80.220001,81.070000,80.213425,3312600
2021-07-07,81.160004,81.870003,80.739998,81.849998,80.985176,1676300
2021-07-08,81.500000,81.769997,80.809998,81.330002,80.470680,1900500
2021-07-09,81.500000,81.629997,80.230003,80.430000,79.580193,2441300
2021-07-12,80.379997,81.099998,80.269997,80.809998,79.956169,2324900
2021-07-13,80.720001,81.389999,80.720001,81.089996,80.233208,1989400
2021-07-14,81.070000,81.230003,80.470001,81.000000,80.144165,1751200
2021-07-15,80.830002,81.389999,80.660004,81.059998,80.203529,1637900
2021-07-16,81.320000,81.820000,81.139999,81.419998,80.559723,1585900
2021-07-19,81.099998,81.410004,79.760002,80.269997,79.421867,3108600
2021-07-20,80.589996,81.660004,80.260002,80.540001,79.689026,2108100
2021-07-21,80.790001,80.790001,79.540001,80.269997,79.421867,1769900
2021-07-22,80.320000,80.720001,80.059998,80.510002,79.659348,874600
2021-07-23,80.860001,81.320000,80.480003,81.139999,80.282684,1826700
2021-07-26,80.660004,81.099998,80.209999,80.769997,79.916595,1890500
2021-07-27,80.870003,83.150002,80.639999,82.110001,81.242439,2300600
2021-07-28,82.190002,85.680000,81.320000,81.910004,81.044556,4563800
2021-07-29,79.250000,80.489998,77.309998,77.379997,76.562408,7327400
2021-07-30,77.040001,78.000000,76.389999,77.349998,76.532730,7506600
2021-08-02,77.599998,77.980003,76.820000,77.209999,76.394203,3352200
2021-08-03,76.839996,77.010002,76.000000,76.279999,75.474030,4447100
2021-08-04,76.239998,76.370003,74.970001,75.150002,74.355980,5005500
2021-08-05,74.970001,74.970001,73.610001,74.459999,73.673264,6988400
2021-08-06,74.580002,75.220001,74.459999,74.830002,74.039352,2991200
2021-08-09,74.809998,74.919998,73.940002,74.000000,73.218124,2286200
2021-08-10,74.199997,74.320000,73.739998,73.849998,73.069710,2377700
2021-08-11,74.000000,74.379997,73.820000,73.980003,73.198341,1774100
2021-08-12,74.089996,74.260002,73.540001,73.860001,73.079605,1445600
2021-08-13,73.800003,74.760002,73.550003,74.559998,73.772209,2968600
2021-08-16,74.779999,75.820000,74.629997,75.680000,74.880379,3631100
2021-08-17,75.790001,76.180000,75.489998,75.930000,75.127731,2979900
2021-08-18,76.059998,76.199997,75.230003,75.269997,74.474709,3169100
2021-08-19,75.220001,75.629997,74.820000,75.019997,74.227341,3020700
2021-08-20,74.809998,75.629997,74.650002,75.190002,74.395554,3286800
2021-08-23,75.440002,75.440002,74.599998,74.809998,74.019569,2532200
2021-08-24,74.750000,75.040001,74.360001,74.529999,73.742523,2119100
2021-08-25,74.309998,74.370003,73.599998,73.800003,73.020241,2951300
2021-08-26,73.610001,74.000000,73.120003,73.769997,72.990547,3090300
2021-08-27,74.099998,74.389999,73.800003,73.970001,73.188446,2619900
2021-08-30,74.250000,76.720001,74.250000,76.000000,75.196991,9337000
2021-08-31,75.980003,76.370003,75.300003,76.220001,75.414673,5213400
2021-09-01,76.550003,77.889999,75.839996,77.599998,76.780083,4001300
2021-09-02,81.000000,82.980003,80.199997,81.059998,80.493965,8205800
2021-09-03,81.050003,83.150002,80.779999,82.709999,82.132446,5100100
2021-09-07,82.330002,83.750000,81.989998,83.349998,82.767982,5812300
2021-09-08,83.169998,83.910004,82.699997,82.760002,82.182098,3050700
2021-09-09,82.930000,82.930000,81.379997,81.720001,81.149368,3519800
2021-09-10,81.949997,81.989998,80.709999,80.919998,80.354942,2512400
2021-09-13,82.230003,82.260002,80.330002,80.629997,80.066971,2906600
2021-09-14,80.779999,81.790001,80.580002,81.769997,81.199005,2867700
2021-09-15,81.790001,84.169998,81.449997,83.570000,82.986443,5895700
2021-09-16,83.559998,83.870003,82.239998,83.220001,82.638893,2691700
2021-09-17,82.940002,83.629997,82.709999,83.610001,83.026169,4507900
2021-09-20,82.849998,83.169998,81.919998,82.290001,81.715385,2811900
2021-09-21,82.849998,83.230003,81.910004,81.949997,81.377754,2002700
2021-09-22,82.230003,82.389999,81.010002,81.050003,80.484039,2445500
2021-09-23,81.150002,81.410004,80.730003,80.790001,80.225861,2738500
2021-09-24,80.610001,81.070000,80.529999,80.849998,80.285439,2008800
2021-09-27,80.430000,80.860001,79.889999,80.570000,80.007393,2264200
2021-09-28,80.470001,80.989998,80.050003,80.730003,80.166275,2932900
2021-09-29,80.790001,82.290001,80.769997,81.809998,81.238731,2548300
2021-09-30,82.010002,82.529999,80.410004,80.430000,79.868370,3095300
2021-10-01,80.570000,81.660004,79.760002,81.290001,80.722366,2885000
2021-10-04,81.000000,81.589996,79.800003,80.419998,79.858437,3158300
2021-10-05,80.779999,82.190002,80.489998,80.860001,80.295372,2756300
2021-10-06,80.489998,80.930000,79.669998,80.860001,80.295372,2949500
2021-10-07,81.150002,81.900002,80.480003,80.580002,80.017326,3316000
2021-10-08,80.709999,81.110001,79.980003,80.199997,79.639969,2641200
2021-10-11,79.919998,80.099998,78.839996,78.919998,78.368912,2010500
2021-10-12,78.830002,79.029999,78.279999,78.709999,78.160378,1394400
2021-10-13,78.720001,79.260002,78.470001,78.800003,78.249756,1491100
2021-10-14,79.099998,79.919998,79.099998,79.889999,79.332138,1754000
2021-10-15,80.000000,80.360001,79.680000,79.699997,79.143463,1783600
2021-10-18,79.599998,79.599998,77.940002,78.180000,77.634079,1822900
2021-10-19,78.440002,79.730003,78.389999,79.680000,79.123611,2527800
2021-10-20,79.860001,81.730003,79.779999,81.250000,80.682648,2270000
2021-10-21,81.699997,81.779999,80.790001,81.459999,80.891174,1349100
2021-10-22,81.599998,82.239998,81.470001,82.190002,81.616081,1348400
2021-10-25,82.370003,82.599998,81.239998,81.360001,80.791878,2621100
2021-10-26,81.489998,82.120003,81.169998,81.790001,81.218880,1557700
2021-10-27,82.230003,82.389999,81.769997,81.940002,81.367828,2764000
2021-10-28,82.320000,84.300003,78.330002,78.610001,78.061081,7344300
2021-10-29,78.110001,79.410004,77.559998,78.959999,78.408630,7995500
2021-11-01,79.199997,80.160004,78.860001,79.820000,79.262627,3375600
2021-11-02,80.169998,80.820000,79.339996,80.290001,79.729347,2152200
2021-11-03,80.360001,80.940002,79.580002,80.040001,79.481094,1648900
2021-11-04,80.089996,80.230003,77.849998,78.309998,77.763168,2638900
2021-11-05,78.150002,79.300003,77.760002,78.040001,77.495064,2606800
2021-11-08,78.320000,79.089996,77.820000,78.739998,78.190170,1626400
2021-11-09,78.650002,78.699997,77.559998,77.699997,77.157425,2476800
2021-11-10,77.790001,79.570000,77.790001,79.019997,78.468208,2494400
2021-11-11,79.059998,79.339996,78.680000,79.160004,78.607239,1776100
2021-11-12,79.570000,79.709999,79.010002,79.459999,78.905144,1216200
2021-11-15,79.580002,79.709999,78.660004,79.550003,78.994514,1609700
2021-11-16,79.320000,79.949997,79.190002,79.309998,78.756187,1978100
2021-11-17,79.220001,80.150002,78.709999,79.580002,79.024307,2249700
2021-11-18,80.000000,80.029999,79.089996,79.110001,78.557587,2099000
2021-11-19,79.419998,79.629997,78.760002,79.260002,78.706543,2381400
2021-11-22,79.400002,79.930000,78.790001,79.250000,78.696609,1708000
2021-11-23,78.930000,79.070000,78.059998,78.410004,77.862473,1707300
2021-11-24,78.430000,78.739998,77.400002,77.620003,77.077995,1338800
2021-11-26,77.730003,78.000000,76.050003,76.290001,75.757278,1281100
2021-11-29,76.320000,76.970001,75.989998,76.029999,75.499092,2506600
2021-11-30,75.900002,76.160004,74.320000,74.570000,74.049286,3440600
2021-12-01,74.849998,76.610001,74.519997,75.080002,74.555733,2502400
2021-12-02,74.889999,76.610001,74.779999,76.230003,75.981064,2726700
2021-12-03,76.650002,78.139999,76.459999,78.050003,77.795120,2510300
2021-12-06,78.389999,80.599998,78.220001,79.239998,78.981224,3046400
2021-12-07,79.519997,80.940002,79.440002,79.879997,79.619133,2793600
2021-12-08,80.059998,80.949997,79.820000,80.610001,80.346756,1886700
2021-12-09,80.470001,81.269997,79.830002,80.559998,80.296913,1935500
2021-12-10,80.910004,81.250000,80.419998,80.860001,80.595940,2131300
2021-12-13,80.970001,83.769997,80.419998,83.199997,82.928291,3103800
2021-12-14,83.230003,83.760002,82.309998,82.510002,82.240547,2662700
2021-12-15,82.769997,83.180000,81.540001,82.699997,82.429924,2300500
2021-12-16,82.589996,84.099998,82.160004,83.910004,83.635979,3076100
2021-12-17,84.349998,85.089996,83.239998,83.629997,83.356888,4688100
2021-12-20,83.129997,83.260002,81.900002,82.510002,82.240547,2631700
2021-12-21,82.750000,84.360001,82.599998,83.870003,83.596107,2731000
2021-12-22,84.120003,85.389999,83.529999,85.320000,85.041374,2301000
2021-12-23,85.550003,86.080002,85.330002,85.550003,85.270622,2033700
2021-12-27,85.800003,86.669998,85.489998,86.599998,86.317192,1220700
2021-12-28,86.629997,87.099998,86.410004,86.750000,86.466705,1227800
2021-12-29,86.870003,87.430000,86.610001,87.190002,86.905266,1280300
2021-12-30,87.410004,87.510002,86.370003,86.449997,86.167679,1346600
2021-12-31,86.260002,86.720001,85.820000,85.839996,85.559669,1788100
2022-01-03,85.519997,86.930000,85.190002,86.870003,86.586311,1899800
2022-01-04,86.980003,88.010002,86.550003,88.000000,87.712624,3346300
2022-01-05,88.010002,88.910004,87.750000,87.860001,87.573074,2966500
2022-01-06,87.959999,88.180000,86.750000,86.779999,86.496605,1507300
2022-01-07,87.309998,88.010002,87.129997,87.449997,87.164413,1750600
2022-01-10,87.370003,87.690002,85.940002,86.309998,86.028137,2912800
2022-01-11,86.290001,86.580002,84.809998,86.360001,86.077980,2403300
2022-01-12,86.000000,86.830002,85.589996,86.440002,86.157715,2169400
2022-01-13,86.360001,86.699997,85.470001,85.889999,85.609512,2568400
2022-01-14,85.639999,86.070000,84.320000,85.739998,85.459999,2246700
2022-01-18,85.589996,86.330002,85.180000,85.860001,85.579613,2258900
2022-01-19,85.989998,86.379997,85.199997,85.599998,85.320457,1827000
2022-01-20,85.760002,87.570000,85.709999,85.989998,85.709183,2504900
2022-01-21,86.650002,86.820000,85.510002,86.279999,85.998238,2348400
2022-01-24,85.190002,86.050003,84.029999,85.959999,85.679283,3510600
2022-01-25,84.919998,85.930000,83.910004,85.070000,84.792191,2697900
2022-01-26,84.790001,85.540001,83.930000,84.269997,83.994797,3888000
2022-01-27,84.610001,86.190002,84.059998,84.629997,84.353622,2665400
