Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,50.485043,50.824577,49.320938,49.927242,49.387058,4764924
2021-04-06,49.959579,50.339531,49.426029,50.153599,49.610966,7208741
2021-04-07,50.719482,52.675831,50.525463,51.972515,51.410206,6179310
2021-04-08,51.859337,52.748585,50.953922,52.708164,52.137890,4730535
2021-04-09,52.675831,54.033955,52.594990,53.985451,53.401356,3748110
2021-04-12,53.742928,54.349232,53.241714,53.848019,53.265415,2779910
2021-04-13,53.961197,54.381569,52.724335,53.160873,52.585701,3028052
2021-04-14,53.160873,54.898949,53.055779,54.001617,53.417351,4023714
2021-04-15,54.316895,54.785770,53.864189,53.985451,53.401356,3760604
2021-04-16,54.333065,54.898949,53.524654,54.033955,53.449337,3506771
2021-04-19,53.613583,53.872272,53.031528,53.274052,52.697659,2710762
2021-04-20,53.128536,53.128536,50.808407,51.835087,51.274258,4122426
2021-04-21,51.261116,53.063866,51.261116,52.797089,52.225853,2413634
2021-04-22,53.088116,53.807598,52.748585,53.411480,52.833599,2658684
2021-04-23,53.468067,54.696846,52.918350,54.470493,53.881153,2558611
2021-04-26,54.551334,54.971706,52.934521,53.718674,53.137466,2497256
2021-04-27,53.823769,55.206142,53.742928,54.640259,54.049084,2819989
2021-04-28,54.486660,55.036377,54.058205,54.518997,53.929134,2412397
2021-04-29,54.729183,55.020210,53.645920,53.880356,53.297401,3141980
2021-04-30,53.225548,53.856102,52.934521,53.274052,52.697659,3235868
2021-05-03,53.395309,55.173809,53.395309,54.672596,54.081066,5005644
2021-05-04,53.807598,54.033955,52.126114,53.233631,52.657673,4026435
2021-05-05,53.694424,53.767178,52.627323,53.104286,52.529728,3947143
2021-05-06,53.152790,53.354893,52.522232,53.306385,52.729637,3443684
2021-05-07,52.942604,54.672596,52.821342,54.397736,53.809185,8946479
2021-05-10,54.898949,57.679871,54.898949,55.610348,55.008675,5953434
2021-05-11,54.470493,54.850445,52.368633,54.624092,54.033089,8017863
2021-05-12,54.979790,55.101051,52.158447,52.384804,51.818031,6166321
2021-05-13,53.015362,54.171383,52.295876,53.152790,52.577709,3536459
2021-05-14,53.783348,56.394505,53.783348,55.966045,55.360527,4195533
2021-05-17,55.578011,57.146320,55.028294,56.976555,56.360100,4067009
2021-05-18,57.760712,58.197250,55.586094,56.176231,55.568439,6367210
2021-05-19,54.236053,55.012127,53.354893,54.413906,53.825180,6461222
2021-05-20,54.163300,55.295071,50.767986,52.287792,51.722069,8342328
2021-05-21,52.570736,53.500404,52.045273,52.376717,51.810028,7205649
2021-05-24,52.708164,54.236053,52.263542,53.524654,52.945549,6350758
2021-05-25,54.227970,55.521423,53.702507,53.815681,53.233425,5119696
2021-05-26,53.839935,55.828617,53.815681,55.173809,54.576862,3860553
2021-05-27,55.618431,56.814877,55.383995,56.135811,55.528450,20523933
2021-05-28,56.184319,57.105900,55.222313,56.483429,55.872307,4489073
2021-06-01,56.725948,57.308002,55.957962,57.227161,56.607994,5619938
2021-06-02,56.766369,56.984638,54.139046,55.109135,54.512886,5872781
2021-06-03,53.759094,54.486660,52.950687,53.411480,52.977795,7125491
2021-06-04,53.686337,53.856102,51.924011,53.120453,52.689129,5345572
2021-06-07,53.330639,54.316895,52.797089,53.468067,53.033920,3955060
2021-06-08,53.338722,53.718674,52.651577,53.185123,52.753273,4034599
2021-06-09,53.217461,53.330639,51.689571,52.918350,52.488667,4866482
2021-06-10,53.734840,54.729183,52.223122,52.966854,52.536781,3949617
2021-06-11,53.395309,54.187550,53.314468,54.171383,53.731529,3877253
2021-06-14,54.042038,54.721100,52.473728,53.144707,52.713184,6384776
2021-06-15,53.152790,53.500404,51.519806,52.271626,51.847195,4979296
2021-06-16,52.417137,53.694424,51.131771,53.492321,53.057980,5380084
2021-06-17,53.427647,53.751011,50.743736,50.759903,50.347748,7350254
2021-06-18,50.088924,51.535973,49.733227,50.751820,50.339733,6508104
2021-06-21,51.479385,53.354893,51.382378,53.185123,52.753273,5997471
2021-06-22,53.257881,56.265160,52.894100,55.852871,55.399364,7507477
