Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,116.309998,118.480003,115.699997,117.989998,114.712280,1641900
2021-04-06,117.940002,121.699997,117.550003,120.739998,117.385887,3604100
2021-04-07,120.500000,121.730003,118.510002,120.589996,117.240059,2502800
2021-04-08,120.910004,120.989998,119.110001,119.620003,116.297005,1776800
2021-04-09,120.059998,122.830002,119.629997,122.480003,119.077553,2126800
2021-04-12,122.300003,123.870003,121.199997,121.559998,118.183105,2394500
2021-04-13,121.870003,121.870003,119.250000,120.820000,117.463669,2449600
2021-04-14,120.550003,121.339996,119.419998,120.169998,116.831734,1525400
2021-04-15,120.910004,121.419998,119.040001,119.300003,115.985901,1453900
2021-04-16,119.930000,120.129997,117.989998,119.870003,116.540062,1845100
2021-04-19,120.349998,120.650002,117.849998,118.839996,115.538673,2912600
2021-04-20,118.800003,119.199997,116.510002,118.449997,115.159508,1750400
2021-04-21,118.809998,119.769997,118.169998,118.970001,115.665070,1509300
2021-04-22,119.199997,120.919998,117.750000,118.040001,114.760902,2405400
2021-04-23,118.169998,118.309998,116.529999,117.739998,114.469223,1547700
2021-04-26,117.510002,117.629997,114.379997,117.019997,113.769218,2275700
2021-04-27,117.449997,119.279999,117.000000,118.349998,115.062279,1355300
2021-04-28,118.769997,119.449997,117.029999,117.190002,113.934502,1190400
2021-04-29,117.730003,118.790001,117.070000,118.290001,115.003960,1274400
2021-04-30,117.510002,117.660004,115.790001,116.269997,113.040054,1633800
2021-05-03,117.370003,119.180000,116.989998,117.470001,114.206734,1507600
2021-05-04,117.320000,117.800003,116.150002,117.730003,114.459503,1330200
2021-05-05,118.349998,118.489998,116.070000,116.379997,113.147003,1270000
2021-05-06,117.470001,120.220001,116.889999,120.040001,116.705345,2293600
2021-05-07,120.029999,122.589996,119.559998,122.339996,118.941444,1763800
2021-05-10,122.559998,128.570007,122.029999,125.790001,122.295609,3980100
2021-05-11,123.949997,123.959999,120.010002,121.669998,118.290054,2044600
2021-05-12,121.010002,121.199997,115.669998,116.150002,112.923401,2158100
2021-05-13,117.059998,119.650002,117.059998,119.000000,115.694229,1706100
2021-05-14,119.599998,120.910004,118.970001,120.389999,117.045616,1691300
2021-05-17,120.589996,121.559998,119.029999,120.110001,116.773392,1403700
2021-05-18,119.510002,120.150002,116.779999,116.919998,113.672005,1982600
2021-05-19,115.309998,115.589996,112.669998,113.690002,110.531738,2555400
2021-05-20,113.739998,115.019997,112.550003,114.519997,111.338669,2063800
2021-05-21,115.610001,116.599998,114.620003,114.930000,111.737282,2549000
2021-05-24,116.370003,117.220001,114.550003,114.699997,111.513680,2145600
2021-05-25,114.779999,115.540001,114.000000,114.419998,111.241455,1907200
2021-05-26,116.000000,118.389999,115.220001,116.959999,113.710907,2969400
2021-05-27,121.000000,122.820000,116.629997,118.139999,114.858109,7719400
2021-05-28,120.550003,120.550003,114.129997,116.239998,113.010895,4573300
2021-06-01,117.330002,117.360001,114.300003,114.900002,111.708122,2818500
2021-06-02,114.959999,119.580002,114.440002,118.349998,115.062279,3302800
2021-06-03,117.629997,117.980003,114.739998,115.559998,112.349785,2476100
2021-06-04,115.500000,116.169998,115.190002,115.989998,112.767838,1641100
2021-06-07,116.089996,117.360001,115.529999,117.099998,113.847008,1502900
2021-06-08,117.639999,118.980003,116.669998,118.220001,114.935898,1537400
2021-06-09,118.400002,118.400002,114.980003,114.989998,111.795624,2195200
2021-06-10,115.919998,116.680000,111.730003,112.540001,109.413689,3373100
2021-06-11,112.559998,115.040001,112.510002,114.449997,111.270622,2364200
2021-06-14,114.550003,114.739998,112.779999,114.029999,110.862297,1805300
2021-06-15,113.900002,114.389999,112.400002,113.260002,110.113686,1949600
2021-06-16,112.379997,112.459999,108.660004,109.900002,107.511497,2944000
2021-06-17,109.669998,110.339996,107.730003,109.500000,107.120186,2338400
2021-06-18,107.889999,108.769997,106.660004,107.629997,105.290825,4255100
2021-06-21,108.300003,110.540001,108.099998,108.680000,106.318001,2020400
2021-06-22,108.959999,111.540001,108.290001,111.040001,108.626717,2477500
2021-06-23,112.050003,112.050003,110.430000,111.250000,108.832161,1554500
2021-06-24,112.260002,112.510002,111.010002,111.379997,108.959320,1660100
2021-06-25,112.000000,113.580002,111.500000,113.050003,110.593040,2592700
2021-06-28,113.690002,115.360001,112.879997,114.830002,112.334351,1943000
2021-06-29,115.180000,116.900002,114.570000,114.970001,112.471313,1890800
2021-06-30,114.820000,116.250000,114.800003,114.980003,112.481087,1879200
2021-07-01,115.610001,116.809998,114.830002,116.370003,113.840881,1554500
2021-07-02,116.720001,116.720001,114.959999,115.650002,113.136528,1634400
2021-07-06,115.449997,115.459999,110.400002,110.550003,108.147377,2952200
2021-07-07,110.330002,111.339996,109.580002,109.750000,107.364754,2079100
2021-07-08,108.379997,108.980003,107.199997,108.160004,105.809311,2010400
2021-07-09,108.839996,111.150002,108.839996,110.860001,108.450630,2096800
2021-07-12,110.769997,111.980003,110.029999,111.250000,108.832161,1704000
2021-07-13,111.110001,111.570000,109.300003,109.870003,107.482147,2306900
2021-07-14,110.260002,110.940002,109.510002,109.910004,107.521278,1334100
2021-07-15,109.010002,113.110001,108.930000,112.000000,109.565857,2741900
2021-07-16,112.150002,113.720001,110.550003,110.589996,108.186493,1844100
2021-07-19,108.900002,109.360001,107.059998,108.480003,106.122360,2527700
2021-07-20,108.959999,111.519997,108.220001,110.610001,108.206062,1784200
2021-07-21,111.360001,111.760002,110.070000,110.779999,108.372368,1659700
2021-07-22,110.900002,111.070000,108.000000,109.980003,107.589752,1819900
2021-07-23,111.400002,113.629997,111.290001,113.279999,110.818031,1620000
2021-07-26,113.169998,115.570000,113.029999,114.830002,112.334351,1767400
2021-07-27,114.529999,114.800003,113.160004,114.360001,111.874565,1423200
2021-07-28,114.360001,114.580002,112.070000,113.059998,110.602806,1404400
2021-07-29,113.970001,114.790001,113.169998,114.260002,111.776741,1386700
2021-07-30,113.370003,114.910004,112.190002,112.349998,109.908241,1752900
2021-08-02,113.089996,113.500000,112.349998,112.489998,110.045197,1302500
2021-08-03,113.000000,115.169998,112.629997,114.650002,112.158257,1265500
2021-08-04,113.989998,114.779999,113.000000,113.269997,110.808243,1134300
2021-08-05,114.000000,116.379997,113.860001,115.370003,112.862610,1907300
2021-08-06,115.050003,116.430000,114.809998,114.839996,112.344131,1699600
2021-08-09,114.660004,114.660004,111.599998,112.540001,110.094124,1346900
2021-08-10,112.470001,115.110001,111.860001,115.019997,112.520210,1315600
2021-08-11,115.680000,119.150002,115.120003,118.059998,115.494141,2565500
2021-08-12,118.889999,119.300003,117.220001,118.129997,115.562622,1248600
2021-08-13,117.970001,117.970001,113.459999,113.779999,111.307159,2293200
2021-08-16,113.239998,115.910004,112.230003,115.360001,112.852829,1833100
2021-08-17,113.839996,114.089996,109.709999,110.750000,108.343025,2212300
2021-08-18,110.750000,114.099998,110.040001,110.099998,107.707146,2079300
2021-08-19,109.000000,110.860001,108.720001,109.760002,107.374527,1954900
2021-08-20,109.970001,113.510002,109.510002,112.629997,110.182159,2131100
2021-08-23,113.000000,114.580002,112.050003,112.160004,109.722374,3630800
2021-08-24,117.250000,124.040001,116.370003,121.489998,118.849602,11896900
2021-08-25,122.440002,124.910004,120.160004,121.889999,119.240906,3685300
2021-08-26,121.830002,121.849998,117.930000,118.089996,115.523491,2700200
2021-08-27,118.269997,118.900002,117.199997,117.500000,114.946320,2013200
2021-08-30,118.019997,119.440002,117.430000,118.349998,115.777840,1722800
2021-08-31,119.169998,119.169998,116.199997,116.510002,113.977837,2877300
2021-09-01,116.540001,117.320000,114.199997,116.779999,114.241959,2709500
2021-09-02,117.000000,117.430000,115.820000,116.260002,113.733276,1786500
2021-09-03,115.550003,115.849998,113.870003,114.019997,111.541946,1761600
2021-09-07,113.830002,114.489998,111.220001,111.500000,109.076721,2425100
2021-09-08,111.320000,111.470001,109.940002,110.989998,108.577805,2558800
2021-09-09,110.500000,113.070000,110.120003,112.389999,109.947372,2211900
2021-09-10,112.639999,113.660004,111.199997,111.349998,108.929977,1728600
2021-09-13,111.779999,112.800003,110.360001,112.070000,110.327911,1592600
2021-09-14,112.540001,112.540001,110.019997,110.169998,108.457443,1564700
2021-09-15,109.870003,110.089996,108.660004,109.269997,107.571426,2068700
2021-09-16,108.820000,110.169998,108.690002,109.559998,107.856918,1511000
2021-09-17,109.389999,111.110001,109.180000,109.620003,107.916000,2945900
2021-09-20,108.099998,109.320000,105.330002,106.669998,105.011848,2101300
2021-09-21,107.000000,108.150002,105.900002,106.889999,105.228432,2240900
2021-09-22,107.730003,108.570000,106.500000,106.800003,105.139832,1500600
2021-09-23,107.500000,107.959999,106.099998,106.169998,104.519623,2053900
2021-09-24,106.070000,106.190002,104.209999,104.739998,103.111847,3377800
2021-09-27,105.300003,110.860001,105.300003,110.180000,108.467285,4675000
2021-09-28,111.120003,111.800003,107.370003,109.389999,107.689568,2933800
2021-09-29,109.750000,110.290001,108.080002,109.430000,107.728943,1771000
2021-09-30,108.150002,108.650002,105.349998,105.709999,104.066772,3692300
2021-10-01,106.680000,106.860001,103.419998,105.309998,103.672989,2134100
2021-10-04,105.099998,106.930000,104.839996,105.489998,103.850189,1739000
2021-10-05,105.720001,107.739998,105.550003,106.370003,104.716515,2050100
2021-10-06,105.669998,106.839996,104.769997,105.769997,104.125839,1809000
2021-10-07,107.199997,109.230003,106.940002,107.589996,105.917542,2188200
2021-10-08,108.000000,110.379997,107.080002,107.250000,105.582832,1728900
2021-10-11,107.650002,109.860001,107.260002,108.879997,107.187492,1790300
2021-10-12,109.529999,110.690002,108.790001,109.320000,107.620651,1604700
2021-10-13,109.510002,111.400002,108.089996,110.779999,109.057961,2068700
2021-10-14,111.370003,113.099998,110.180000,112.660004,110.908737,2140200
2021-10-15,113.559998,114.690002,113.099998,113.639999,111.873505,2133500
2021-10-18,112.779999,116.379997,112.730003,115.610001,113.812881,2392900
2021-10-19,116.239998,116.650002,113.889999,113.940002,112.168846,2087800
2021-10-20,113.870003,115.389999,113.870003,114.529999,112.749664,1588700
2021-10-21,114.410004,117.669998,114.410004,117.599998,115.771942,1756100
2021-10-22,117.550003,118.570000,116.900002,118.389999,116.549667,1736100
2021-10-25,118.680000,121.580002,118.190002,120.480003,118.607178,2226000
2021-10-26,121.330002,123.720001,121.129997,121.230003,119.345520,2605700
2021-10-27,121.239998,122.250000,118.660004,118.750000,116.904068,2172700
2021-10-28,119.669998,121.430000,119.180000,121.120003,119.237236,1646100
2021-10-29,120.650002,123.459999,120.510002,122.239998,120.339821,2283700
2021-11-01,123.000000,124.209999,122.699997,123.910004,121.983864,1901300
2021-11-02,123.830002,124.610001,122.980003,123.830002,121.905106,1794300
2021-11-03,124.099998,126.089996,123.699997,125.099998,123.155365,2224900
2021-11-04,126.000000,128.809998,125.430000,128.610001,126.610794,2952500
2021-11-05,129.949997,130.550003,128.350006,129.070007,127.063652,2217400
2021-11-08,129.000000,130.389999,128.320007,130.089996,128.067780,2595000
2021-11-09,129.669998,133.270004,129.619995,132.940002,130.873489,2025500
2021-11-10,132.339996,133.419998,131.160004,131.250000,129.209747,1924500
