Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,236.468292,241.092682,236.468292,239.112198,235.821732,1254293
2021-04-06,239.160980,241.190247,237.443909,238.653656,235.369476,934800
2021-04-07,238.721954,239.131714,236.439026,238.068298,234.792206,791813
2021-04-08,238.068298,238.517075,236.517075,236.946335,233.685654,1378728
2021-04-09,237.151215,241.941467,237.151215,241.882935,238.554337,1256753
2021-04-12,241.326828,241.678055,239.882935,241.375610,238.053986,1038530
2021-04-13,240.741470,245.326828,240.487808,244.585373,241.219574,999170
2021-04-14,244.556091,244.878052,242.478043,243.726822,240.372864,1131600
2021-04-15,244.702438,252.634140,244.653656,251.560974,248.099197,2120520
2021-04-16,252.673172,255.619507,251.668289,254.575607,251.072342,1951908
2021-04-19,253.941467,254.468292,251.004883,252.643906,249.167236,1477743
2021-04-20,252.409760,254.243896,249.931702,250.185364,246.742508,1533195
2021-04-21,251.268295,253.356094,250.897568,251.843903,248.378235,1413168
2021-04-22,250.760971,252.175613,249.843903,250.858536,247.406418,1000913
2021-04-23,251.268295,251.268295,245.980484,249.609756,246.174835,1570300
2021-04-26,249.746338,252.058533,249.609756,251.170731,247.714310,1093880
2021-04-27,250.868286,253.112198,247.102432,251.912201,248.445587,1080043
2021-04-28,252.224396,253.560974,250.458542,251.229263,247.772049,854850
2021-04-29,251.863419,251.970734,244.956100,245.287811,241.912354,1208988
2021-04-30,244.234146,245.570724,241.317078,242.741470,239.401047,1766383
2021-05-03,243.619507,247.570724,243.004883,246.946335,243.548065,1003373
2021-05-04,246.546341,246.614639,243.239029,245.385361,242.008560,1021618
2021-05-05,245.531708,245.853653,240.039017,243.678055,240.324753,1759208
2021-05-06,236.087799,238.917068,232.390244,234.936584,231.703583,2884145
2021-05-07,233.551224,238.975616,233.112198,233.551224,230.337265,2612008
2021-05-10,233.580490,242.780487,233.287811,240.614639,237.303497,1907013
2021-05-11,241.287811,242.565857,234.712189,235.317078,232.078842,1621653
2021-05-12,234.185364,237.619507,234.185364,235.746338,232.502197,1677823
2021-05-13,236.439026,239.931702,235.765854,238.126831,234.849930,1837518
2021-05-14,238.712189,240.487808,236.243896,236.468292,233.214203,1378420
2021-05-17,236.936584,239.307312,235.160980,235.209763,231.972992,1003783
2021-05-18,234.029266,237.365860,233.365860,236.273178,233.021774,1726305
2021-05-19,235.902435,236.965851,234.624390,236.721954,233.464386,1085988
2021-05-20,235.746338,239.297562,235.560974,238.819519,235.533081,1141030
2021-05-21,239.834152,243.043900,238.146347,238.517075,235.234802,1047038
2021-05-24,239.053665,240.117065,236.390244,237.775604,234.503540,1319483
2021-05-25,237.502441,238.487808,235.121948,236.575607,233.320023,1626880
2021-05-26,234.439026,237.317078,233.521957,236.117065,232.867828,1657733
2021-05-27,236.097565,237.043900,234.409760,235.063416,231.828644,3317208
2021-05-28,237.053665,238.341461,235.726822,235.990250,232.742737,1572555
2021-06-01,235.248779,235.658539,232.487808,232.653656,229.452072,1963695
2021-06-02,232.614639,233.668289,232.341461,232.858536,229.654129,1615195
2021-06-03,232.595123,235.356094,232.312195,234.848785,231.616989,1437870
2021-06-04,236.097565,236.497559,234.234146,234.790237,231.559250,906100
2021-06-07,235.317078,236.214630,233.463409,233.717072,230.500854,1216983
2021-06-08,234.058533,235.785370,231.551224,233.414627,231.022995,1538935
2021-06-09,233.717072,237.658539,233.717072,237.414627,234.982010,1270180
2021-06-10,236.995117,239.541458,236.956100,239.424393,236.971176,1143285
2021-06-11,240.712189,240.721954,236.156097,236.721954,234.296448,1159583
2021-06-14,236.858536,237.560974,233.775604,236.800003,234.373672,1282480
2021-06-15,236.848785,237.482925,234.995117,235.551224,233.137711,2041698
2021-06-16,236.663422,236.721954,233.600006,234.419510,232.017578,2042210
2021-06-17,233.951218,235.717072,233.951218,234.390244,231.988617,1709598
2021-06-18,233.502441,236.692688,232.965851,234.673172,232.268646,2625640
2021-06-21,234.848785,235.736588,233.658539,234.956100,232.548691,1602588
2021-06-22,235.239029,235.239029,233.112198,234.458542,232.056213,1465750
2021-06-23,233.941467,235.590240,233.024384,234.360977,231.959641,1434180
2021-06-24,234.195129,235.560974,233.863419,233.970734,231.573410,791813
2021-06-25,234.009750,235.912201,233.960983,235.317078,232.905960,1754083
2021-06-28,235.882935,238.419510,235.726822,237.756104,235.319977,1227950
2021-06-29,238.312195,241.619507,238.029266,240.868286,238.400284,1799695
2021-06-30,241.014633,241.346344,235.531708,237.258530,234.827515,1335985
2021-07-01,237.082932,241.014633,236.770737,240.751221,238.284409,1243838
2021-07-02,241.551224,242.868286,240.468292,242.390244,239.906647,1013930
2021-07-06,241.951218,243.414627,240.458542,243.268295,240.775696,1078813
2021-07-07,243.902435,245.902435,241.736588,245.834152,243.315262,1248143
2021-07-08,244.195129,245.560974,242.985367,244.878052,242.368973,917785
2021-07-09,245.512192,245.892685,241.746338,243.707321,241.210220,1353308
2021-07-12,244.263412,244.985367,243.063416,243.492676,240.997787,914198
2021-07-13,242.653656,243.951218,241.921951,242.556091,240.070801,537510
2021-07-14,242.312195,242.985367,239.073166,240.000000,237.540894,1421880
2021-07-15,238.380493,241.112198,237.073166,240.604874,238.139557,983078
2021-07-16,241.229263,243.219513,240.048782,242.019516,239.539719,1205810
2021-07-19,241.356094,243.063416,239.707321,241.219513,238.747894,1252960
2021-07-20,242.526825,244.078049,240.468292,240.975616,238.506516,971290
2021-07-21,241.375610,241.697556,238.048782,240.341461,237.878845,1107308
2021-07-22,241.190247,243.600006,239.687805,243.268295,240.775696,1378933
2021-07-23,243.902435,245.443909,243.502441,244.956100,242.446213,1239123
2021-07-26,243.951218,245.229263,242.585373,243.346344,240.852936,711863
2021-07-27,243.658539,250.204880,243.600006,248.478043,245.932083,937363
2021-07-28,247.648773,248.780487,246.429276,247.297562,244.763687,673835
2021-07-29,248.575607,249.843903,247.170731,249.082932,246.530762,948433
2021-07-30,248.995117,250.556091,247.658539,249.512192,246.955627,1021003
2021-08-02,250.107315,251.639023,248.439026,249.882935,247.322571,771415
2021-08-03,250.575607,251.492676,248.770737,249.531708,246.974930,622483
2021-08-04,248.692688,250.234146,247.395126,248.526825,245.980347,1063848
2021-08-05,234.419510,239.063416,234.136581,237.151215,234.721298,2559118
2021-08-06,236.390244,236.858536,234.009750,235.160980,232.751450,1435410
2021-08-09,235.258530,236.390244,231.746338,232.721954,230.337418,1526328
2021-08-10,232.614639,234.156097,231.785370,232.809753,230.424316,1757158
2021-08-11,233.034149,236.390244,232.965851,234.790237,232.384521,1193408
2021-08-12,235.668289,241.346344,235.239029,240.097565,237.637466,3927698
2021-08-13,240.097565,241.356094,239.024384,240.770737,238.303726,1175163
2021-08-16,241.921951,243.746338,240.682922,243.521957,241.026764,1282993
2021-08-17,243.609756,247.941467,242.887802,247.297562,244.763687,2447290
2021-08-18,247.482925,248.234146,242.204880,242.253662,239.771469,1558923
2021-08-19,242.809753,244.097565,241.112198,241.834152,239.356247,1320405
2021-08-20,241.463409,243.756104,240.175613,243.219513,240.727417,1214010
2021-08-23,243.902435,244.829269,242.995117,243.756104,241.258514,1318458
2021-08-24,243.560974,243.697556,241.629272,241.824387,239.346588,916043
2021-08-25,240.751221,241.873169,238.604874,240.975616,238.506516,1147590
2021-08-26,240.439026,242.370728,240.126831,241.492676,239.018265,1163375
2021-08-27,242.136581,243.921951,241.414627,242.439026,239.954941,1158148
2021-08-30,242.878052,245.882935,242.214630,244.360977,241.857178,1022130
2021-08-31,244.263412,246.058533,243.287811,245.560974,243.044891,1478153
2021-09-01,245.834152,246.917068,243.317078,246.312195,243.788422,1199250
2021-09-02,247.395126,249.160980,246.468292,248.907318,246.356949,1236150
2021-09-03,249.268295,252.478043,248.292679,251.541458,248.964096,1416345
2021-09-07,251.541458,252.526825,248.692688,251.541458,248.964096,1641025
2021-09-08,251.453659,257.560974,251.112198,256.468292,254.680817,1910805
2021-09-09,255.102432,256.848785,253.531708,253.804871,252.035950,1495065
2021-09-10,254.282928,254.975616,250.653656,252.029266,250.272720,1238200
2021-09-13,253.141464,254.195129,251.941467,252.292679,250.534286,1261468
2021-09-14,252.380493,254.897568,252.175613,254.097565,252.326599,1330860
2021-09-15,254.819519,257.307312,253.404877,255.297562,253.518234,1976918
2021-09-16,256.751221,257.053650,253.775604,256.263428,254.477371,1194228
2021-09-17,255.609756,256.517059,254.058533,255.560974,253.779816,2959893
2021-09-20,253.073166,255.521957,251.395126,252.946335,251.183395,1428440
2021-09-21,253.658539,255.824387,252.673172,252.682922,250.921814,1145950
2021-09-22,253.346344,254.019516,249.804871,250.536591,248.790436,1633645
2021-09-23,251.102432,252.058533,247.278046,247.629272,245.903381,1637130
2021-09-24,247.043900,248.399994,246.282928,247.004883,245.283356,951508
2021-09-27,246.019516,246.419510,243.473175,245.297562,243.587936,1131498
2021-09-28,244.575607,244.936584,241.697556,243.639023,241.940964,1430080
2021-09-29,243.824387,246.273178,243.824387,245.648773,243.936707,864178
2021-09-30,245.717072,246.614639,239.795120,239.824387,238.152908,2096330
2021-10-01,240.419510,240.419510,235.043900,238.712189,237.048462,1740348
2021-10-04,237.668289,241.258530,234.253662,234.682922,233.047272,2299178
2021-10-05,234.682922,239.151215,234.682922,237.131714,235.478989,1576553
