Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,582.489990,588.590027,580.869995,582.799988,582.799988,91300
2021-04-06,579.950012,593.809998,578.270020,587.549988,587.549988,146600
2021-04-07,586.919983,586.919983,575.849976,576.640015,576.640015,105500
2021-04-08,581.859985,595.369995,581.039978,592.229980,592.229980,118100
2021-04-09,596.270020,602.849976,593.530029,602.570007,602.570007,125900
2021-04-12,602.049988,606.270020,599.020020,603.989990,603.989990,90000
2021-04-13,607.109985,621.000000,607.109985,614.849976,614.849976,89300
2021-04-14,613.320007,620.229980,604.190002,612.109985,612.109985,107000
2021-04-15,617.799988,632.270020,616.510010,624.789978,624.789978,98900
2021-04-16,624.750000,627.960022,618.530029,626.119995,626.119995,138200
2021-04-19,626.489990,633.630005,621.330017,629.590027,629.590027,100600
2021-04-20,632.539978,634.340027,621.419983,628.299988,628.299988,107200
2021-04-21,627.169983,637.169983,626.270020,634.309998,634.309998,121300
2021-04-22,632.409973,640.369995,629.929993,639.729980,639.729980,156900
2021-04-23,641.599976,645.580017,634.359985,640.419983,640.419983,85200
2021-04-26,640.700012,648.479980,638.630005,648.340027,648.340027,154500
2021-04-27,648.000000,650.679993,641.799988,648.719971,648.719971,116900
2021-04-28,645.200012,651.719971,640.830017,649.039978,649.039978,100300
2021-04-29,651.809998,651.809998,625.000000,640.729980,640.729980,164400
2021-04-30,640.030029,657.789978,622.909973,630.130005,630.130005,255100
2021-05-03,631.969971,634.489990,607.150024,610.000000,610.000000,159600
2021-05-04,603.869995,607.960022,593.289978,598.099976,598.099976,140400
2021-05-05,600.830017,606.140015,589.190002,601.369995,601.369995,237500
2021-05-06,598.140015,605.640015,592.070007,602.169983,602.169983,229400
2021-05-07,607.049988,615.320007,605.880005,608.010010,608.010010,137900
2021-05-10,611.320007,615.590027,602.210022,603.650024,603.650024,101500
2021-05-11,593.929993,598.159973,590.280029,596.380005,596.380005,166200
2021-05-12,592.030029,598.520020,582.500000,583.890015,583.890015,100100
2021-05-13,586.460022,595.239990,582.659973,590.969971,590.969971,101100
2021-05-14,593.219971,603.619995,592.099976,600.750000,600.750000,96800
2021-05-17,597.340027,600.140015,587.969971,589.739990,589.739990,109700
2021-05-18,587.010010,593.070007,581.750000,588.150024,588.150024,105000
2021-05-19,586.609985,589.549988,581.250000,588.630005,588.630005,72700
2021-05-20,588.590027,599.260010,588.590027,598.320007,598.320007,103600
2021-05-21,602.219971,602.219971,591.750000,594.739990,594.739990,86600
2021-05-24,599.640015,600.489990,592.049988,593.059998,593.059998,86400
2021-05-25,592.739990,596.020020,584.890015,592.929993,592.929993,146800
2021-05-26,590.900024,592.059998,580.010010,591.570007,591.570007,138600
