Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,46.759998,47.090000,46.459999,46.680000,46.373703,794500
2021-04-06,46.590000,46.970001,46.520000,46.950001,46.641933,528300
2021-04-07,47.110001,47.150002,46.660000,47.119999,46.810814,664000
2021-04-08,47.209999,47.450001,46.900002,47.340000,47.029366,754500
2021-04-09,47.520000,47.860001,47.180000,47.830002,47.516163,788000
2021-04-12,47.880001,48.049999,47.650002,47.860001,47.545959,716500
2021-04-13,47.619999,48.520000,47.619999,48.470001,48.151962,933500
2021-04-14,48.509998,48.830002,48.139999,48.230000,47.913528,848700
2021-04-15,48.459999,49.029999,48.450001,48.970001,48.648678,742600
2021-04-16,49.430000,49.750000,49.090000,49.549999,49.224869,863900
2021-04-19,49.669998,49.680000,49.299999,49.480000,49.155331,942800
2021-04-20,49.509998,49.880001,49.320000,49.369999,49.046051,663200
2021-04-21,49.419998,49.860001,49.150002,49.799999,49.473228,888000
2021-04-22,49.689999,50.240002,49.450001,49.970001,49.642113,1090400
2021-04-23,50.080002,50.619999,50.020000,50.480000,50.148769,1207200
2021-04-26,50.580002,50.900002,49.779999,49.799999,49.473228,844000
2021-04-27,52.270000,53.000000,51.650002,51.869999,51.529648,1499600
2021-04-28,51.860001,52.650002,51.860001,52.430000,52.085972,1091400
2021-04-29,52.650002,53.009998,51.650002,52.810001,52.463482,2502000
2021-04-30,52.919998,53.799999,52.910000,53.180000,52.831047,1781600
2021-05-03,53.270000,53.509998,52.779999,53.099998,52.751575,1201600
2021-05-04,53.000000,53.480000,52.970001,53.380001,53.029739,639700
2021-05-05,53.419998,53.419998,52.580002,53.160000,52.811180,1399400
2021-05-06,53.400002,53.740002,53.259998,53.549999,53.198620,1465900
2021-05-07,53.290001,54.049999,53.230000,53.689999,53.429996,1222500
2021-05-10,53.790001,54.369999,53.360001,53.369999,53.111546,1070300
2021-05-11,53.119999,53.130001,51.880001,51.980000,51.728275,1116800
2021-05-12,51.840000,52.150002,50.880001,50.900002,50.653507,844100
2021-05-13,50.799999,52.320000,50.779999,52.150002,51.897453,1042700
2021-05-14,52.360001,52.730000,52.119999,52.509998,52.255707,827200
2021-05-17,52.380001,52.480000,51.900002,52.230000,51.977066,531300
2021-05-18,52.299999,52.549999,51.980000,52.060001,51.807892,768700
2021-05-19,51.709999,52.060001,51.410000,52.020000,51.768085,784900
