Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,80.760002,81.300003,80.099998,80.930000,80.930000,2370400
2021-04-06,80.440002,80.900002,78.709999,79.639999,79.639999,1612400
2021-04-07,79.750000,79.750000,77.720001,78.400002,78.400002,1786900
2021-04-08,78.260002,79.110001,77.900002,78.769997,78.769997,1448000
2021-04-09,79.160004,80.669998,78.980003,80.419998,80.419998,954700
2021-04-12,80.169998,81.089996,79.080002,80.980003,80.980003,1172200
2021-04-13,80.940002,81.320000,78.860001,78.940002,78.940002,2113300
2021-04-14,79.110001,81.769997,78.870003,81.019997,81.019997,1367200
2021-04-15,81.309998,82.070000,80.730003,81.779999,81.779999,1524300
2021-04-16,82.199997,82.500000,81.309998,81.820000,81.820000,1369500
2021-04-19,81.400002,82.519997,81.120003,82.339996,82.339996,1222800
2021-04-20,81.860001,82.830002,80.580002,81.410004,81.410004,1372300
2021-04-21,81.080002,81.709999,80.199997,81.300003,81.300003,2475900
2021-04-22,81.839996,82.330002,80.790001,81.610001,81.610001,1574800
2021-04-23,81.660004,83.339996,81.089996,82.900002,82.900002,1369400
2021-04-26,83.500000,84.330002,83.470001,84.050003,84.050003,1445600
2021-04-27,83.980003,84.349998,83.089996,83.480003,83.480003,1328200
2021-04-28,83.550003,83.550003,82.300003,82.629997,82.629997,1394900
2021-04-29,83.190002,85.699997,82.910004,85.150002,85.150002,1584500
2021-04-30,84.940002,85.690002,84.000000,85.199997,85.199997,1382500
2021-05-03,85.930000,86.050003,84.489998,85.389999,85.389999,1312800
2021-05-04,84.970001,86.070000,84.529999,85.430000,85.430000,1477300
2021-05-05,85.879997,86.139999,84.470001,84.959999,84.959999,1630700
2021-05-06,85.370003,85.370003,83.669998,85.320000,85.320000,2082400
2021-05-07,85.220001,87.059998,85.040001,86.900002,86.900002,1271400
2021-05-10,86.510002,88.239998,86.250000,86.589996,86.589996,1885900
2021-05-11,85.769997,86.680000,84.660004,85.730003,85.730003,1572500
2021-05-12,85.930000,86.070000,84.180000,84.379997,84.379997,1742700
2021-05-13,84.639999,86.970001,84.639999,86.379997,86.379997,1600500
2021-05-14,86.750000,86.750000,85.550003,86.320000,86.320000,2016100
2021-05-17,86.480003,86.800003,85.559998,86.680000,86.680000,1053500
2021-05-18,87.169998,87.199997,85.639999,85.639999,85.639999,1765700
2021-05-19,84.150002,85.230003,83.470001,84.889999,84.889999,1897100
2021-05-20,84.900002,88.000000,84.680000,87.750000,87.750000,1365400
2021-05-21,87.849998,88.910004,87.110001,87.180000,87.180000,1281500
2021-05-24,87.870003,89.349998,87.790001,88.760002,88.760002,1221700
2021-05-25,88.769997,89.500000,88.099998,88.120003,88.120003,1371800
2021-05-26,88.199997,89.120003,87.849998,88.220001,88.220001,1557700
2021-05-27,88.540001,88.730003,87.400002,87.589996,87.589996,3177000
2021-05-28,88.019997,88.260002,87.400002,87.779999,87.779999,1252700
2021-06-01,88.550003,89.879997,88.129997,89.660004,89.660004,1906800
2021-06-02,89.669998,90.209999,88.599998,90.010002,90.010002,1537800
2021-06-03,89.559998,89.949997,88.089996,88.800003,88.800003,1235000
2021-06-04,88.970001,89.070000,87.269997,87.970001,87.970001,1309600
2021-06-07,88.000000,88.360001,87.379997,87.739998,87.739998,1716100
2021-06-08,87.629997,89.889999,87.440002,89.410004,89.410004,1630800
2021-06-09,89.269997,89.620003,88.879997,89.040001,89.040001,1138300
2021-06-10,89.599998,89.690002,87.989998,88.019997,88.019997,1232400
2021-06-11,88.260002,88.760002,88.019997,88.709999,88.709999,1040200
2021-06-14,88.709999,89.080002,87.040001,87.699997,87.699997,1196600
2021-06-15,88.489998,89.669998,88.199997,89.110001,89.110001,1457200
2021-06-16,88.580002,89.089996,87.230003,87.790001,87.790001,1460100
2021-06-17,87.870003,88.180000,86.529999,87.330002,87.330002,1346800
2021-06-18,86.320000,87.050003,85.550003,86.360001,86.360001,2206800
2021-06-21,87.290001,89.269997,86.879997,89.000000,89.000000,1843100
2021-06-22,88.940002,89.120003,88.000000,88.360001,88.360001,1581200
2021-06-23,88.209999,88.250000,86.550003,86.570000,86.570000,1649300
2021-06-24,87.260002,87.809998,86.519997,87.720001,87.720001,1039400
2021-06-25,87.739998,88.190002,86.949997,87.230003,87.230003,1730600
2021-06-28,87.089996,87.339996,86.089996,86.720001,86.720001,829800
2021-06-29,87.050003,87.660004,85.839996,85.989998,85.989998,1018700
2021-06-30,85.910004,86.389999,85.320000,85.730003,85.730003,1445100
2021-07-01,86.360001,87.760002,86.000000,87.180000,87.180000,1194300
2021-07-02,87.349998,87.540001,85.440002,85.919998,85.919998,983400
2021-07-06,85.919998,86.190002,83.870003,84.940002,84.940002,2008900
2021-07-07,84.589996,85.540001,84.309998,85.139999,85.139999,1534700
2021-07-08,84.160004,85.500000,83.209999,84.250000,84.250000,1229200
2021-07-09,85.410004,86.269997,84.839996,85.830002,85.830002,1554800
2021-07-12,85.209999,86.139999,84.739998,85.809998,85.809998,1345000
2021-07-13,85.599998,85.690002,82.889999,83.190002,83.190002,1156000
2021-07-14,83.040001,84.360001,83.040001,83.489998,83.489998,936600
2021-07-15,82.910004,84.250000,82.750000,83.500000,83.500000,1180500
2021-07-16,84.370003,84.389999,82.949997,82.959999,82.959999,684100
2021-07-19,81.750000,81.970001,79.839996,80.540001,80.540001,1692100
2021-07-20,81.070000,84.360001,80.940002,83.860001,83.860001,1270900
2021-07-21,84.410004,86.190002,84.360001,85.959999,85.959999,1240300
2021-07-22,85.940002,86.760002,84.989998,86.690002,86.690002,1654600
2021-07-23,87.059998,88.779999,86.860001,87.730003,87.730003,1834700
2021-07-26,87.589996,89.620003,87.269997,89.199997,89.199997,1309800
2021-07-27,89.190002,91.440002,88.870003,91.349998,91.349998,1884400
2021-07-28,91.349998,91.739998,90.169998,91.000000,91.000000,1991400
2021-07-29,94.500000,97.430000,94.050003,95.559998,95.559998,1887500
2021-07-30,95.800003,97.220001,95.010002,96.459999,96.459999,1670300
2021-08-02,97.379997,97.959999,95.360001,95.650002,95.650002,1032800
2021-08-03,96.180000,96.290001,94.820000,96.209999,96.209999,1166600
2021-08-04,96.500000,98.370003,95.910004,96.639999,96.639999,1713400
2021-08-05,96.900002,98.930000,96.900002,98.129997,98.129997,1377500
2021-08-06,98.470001,98.910004,96.849998,97.750000,97.750000,978100
2021-08-09,97.129997,97.510002,95.940002,96.300003,96.300003,1272200
2021-08-10,96.199997,96.900002,95.949997,96.309998,96.309998,1338300
2021-08-11,96.669998,97.000000,95.699997,96.099998,96.099998,1265500
2021-08-12,95.620003,96.269997,94.900002,95.599998,95.599998,1666300
2021-08-13,95.410004,95.510002,94.400002,95.379997,95.379997,735800
2021-08-16,94.989998,94.989998,93.709999,94.339996,94.339996,1060500
2021-08-17,93.660004,94.089996,92.180000,92.919998,92.919998,1481700
2021-08-18,92.760002,93.209999,91.739998,91.839996,91.839996,1103000
2021-08-19,91.139999,91.779999,90.040001,91.760002,91.760002,1120500
2021-08-20,91.510002,93.040001,90.730003,92.660004,92.660004,1183900
2021-08-23,93.199997,93.260002,92.400002,93.160004,93.160004,800200
2021-08-24,93.160004,93.919998,92.599998,92.889999,92.889999,943300
2021-08-25,92.529999,94.970001,92.180000,94.489998,94.489998,1175900
2021-08-26,94.459999,94.680000,93.300003,93.639999,93.639999,967000
2021-08-27,94.129997,96.120003,94.129997,95.620003,95.620003,932500
2021-08-30,95.629997,96.220001,95.070000,96.019997,96.019997,901100
2021-08-31,96.089996,97.519997,95.889999,96.300003,96.300003,2170400
2021-09-01,96.699997,97.849998,95.580002,97.349998,97.349998,1628000
2021-09-02,97.720001,98.110001,96.820000,97.900002,97.900002,1121500
2021-09-03,97.730003,98.669998,97.500000,98.559998,98.559998,1157700
2021-09-07,98.089996,98.510002,97.300003,97.980003,97.980003,1631700
2021-09-08,97.599998,98.389999,97.220001,98.080002,98.080002,1008500
2021-09-09,97.889999,99.239998,97.419998,98.139999,98.139999,1544500
2021-09-10,98.739998,99.730003,96.739998,96.910004,96.910004,1241300
2021-09-13,97.870003,98.540001,97.120003,98.010002,98.010002,1022800
2021-09-14,98.239998,98.389999,96.169998,96.459999,96.459999,1138300
2021-09-15,96.459999,97.809998,95.980003,97.410004,97.410004,878400
2021-09-16,97.260002,98.209999,96.949997,97.290001,97.290001,736300
2021-09-17,96.309998,97.639999,95.209999,95.779999,95.779999,2250500
2021-09-20,94.239998,94.660004,93.019997,94.529999,94.529999,1563600
2021-09-21,95.570000,95.769997,93.559998,93.730003,93.730003,1088600
2021-09-22,95.139999,96.389999,94.379997,95.849998,95.849998,866300
2021-09-23,96.599998,97.480003,95.959999,96.050003,96.050003,1215000
2021-09-24,95.459999,96.980003,95.290001,96.519997,96.519997,811900
2021-09-27,96.809998,97.959999,96.059998,97.099998,97.099998,1594800
2021-09-28,96.419998,97.580002,95.589996,97.080002,97.080002,1328400
2021-09-29,97.839996,99.010002,97.459999,98.610001,98.610001,1037800
2021-09-30,99.160004,99.519997,96.800003,97.360001,97.360001,1751900
2021-10-01,97.900002,101.019997,97.379997,100.449997,100.449997,1585500
2021-10-04,100.120003,101.660004,98.800003,99.040001,99.040001,1175000
2021-10-05,99.040001,100.470001,96.839996,99.879997,99.879997,1152200
2021-10-06,98.830002,99.459999,95.750000,97.089996,97.089996,1815700
2021-10-07,98.050003,99.930000,97.500000,98.639999,98.639999,1312500
2021-10-08,98.550003,99.129997,96.750000,97.099998,97.099998,994700
