Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,104.800003,105.870003,104.529999,105.589996,103.362511,698400
2021-04-06,105.360001,106.019997,104.510002,105.949997,103.714905,499400
2021-04-07,106.000000,106.180000,104.379997,105.250000,103.029671,487400
2021-04-08,105.110001,105.290001,104.339996,104.519997,102.315079,518200
2021-04-09,105.220001,105.360001,103.800003,105.089996,102.873062,902100
2021-04-12,105.449997,106.580002,105.339996,106.470001,104.223946,588600
2021-04-13,106.379997,106.650002,105.389999,105.449997,103.225464,663100
2021-04-14,105.849998,106.620003,105.620003,106.000000,103.763863,533600
2021-04-15,106.120003,106.690002,105.559998,106.500000,104.253311,643600
2021-04-16,106.839996,107.550003,105.839996,106.410004,104.165207,690500
2021-04-19,106.900002,107.349998,105.639999,107.220001,104.958130,623200
2021-04-20,107.610001,108.430000,106.370003,106.970001,104.713394,427600
2021-04-21,107.239998,110.000000,106.690002,109.839996,107.522850,729200
2021-04-22,109.370003,110.300003,108.550003,108.839996,106.543945,494600
2021-04-23,109.650002,110.279999,108.809998,109.360001,107.052979,528100
2021-04-26,109.809998,111.000000,108.370003,109.019997,106.720146,640600
2021-04-27,108.709999,109.910004,108.190002,108.430000,106.142601,726100
2021-04-28,108.550003,108.589996,106.290001,106.760002,104.507835,704700
2021-04-29,110.050003,112.250000,108.839996,111.500000,109.147835,1050100
2021-04-30,111.400002,113.000000,110.300003,112.680000,110.302940,1866500
2021-05-03,114.639999,115.440002,112.040001,114.900002,112.476112,944700
2021-05-04,114.620003,116.589996,114.199997,116.300003,113.846581,756400
2021-05-05,114.620003,118.169998,114.620003,117.680000,115.197456,883600
2021-05-06,118.419998,119.800003,117.680000,119.720001,117.194427,542200
2021-05-07,117.529999,120.519997,117.500000,120.349998,117.811142,864400
2021-05-10,121.410004,122.800003,120.570000,120.699997,118.153748,888700
2021-05-11,120.379997,120.379997,117.839996,118.150002,115.657547,689400
2021-05-12,118.720001,119.400002,116.760002,116.959999,114.492653,499100
2021-05-13,116.500000,120.500000,115.800003,120.040001,117.507683,559300
2021-05-14,119.519997,121.730003,118.360001,120.959999,118.408264,415500
2021-05-17,120.610001,121.230003,119.660004,120.199997,117.664291,326100
2021-05-18,120.419998,120.419998,119.040001,119.239998,116.724556,463000
2021-05-19,118.260002,119.739998,116.980003,119.629997,117.106316,780600
2021-05-20,119.300003,121.889999,118.400002,121.169998,118.613838,613200
2021-05-21,121.050003,122.360001,119.589996,120.279999,117.742607,515100
2021-05-24,120.529999,121.269997,119.750000,120.930000,118.378906,535900
2021-05-25,120.739998,121.290001,119.080002,119.250000,116.734344,516300
2021-05-26,119.879997,120.220001,118.690002,118.889999,116.381935,537200
2021-05-27,119.709999,121.110001,118.870003,120.800003,118.251648,954100
2021-05-28,121.089996,121.809998,120.099998,121.709999,119.142448,583600
2021-06-01,122.290001,122.989998,121.260002,121.849998,119.279495,527900
2021-06-02,122.169998,122.290001,120.910004,122.190002,119.612328,494200
2021-06-03,121.900002,123.820000,121.089996,123.360001,120.757637,652300
2021-06-04,123.769997,124.290001,122.550003,124.220001,121.599503,315500
2021-06-07,124.339996,124.370003,122.519997,122.760002,120.170288,334800
2021-06-08,122.470001,123.910004,121.580002,123.410004,120.806587,600200
2021-06-09,122.680000,123.169998,120.559998,121.139999,118.584473,740900
2021-06-10,121.949997,122.669998,121.330002,121.550003,118.985825,333400
2021-06-11,121.769997,122.000000,121.190002,121.800003,119.230553,271100
2021-06-14,121.290001,121.419998,119.879997,120.480003,117.938393,326800
2021-06-15,120.870003,122.379997,120.000000,121.699997,119.132652,458600
2021-06-16,119.099998,121.129997,119.099998,120.279999,118.355301,533000
2021-06-17,120.580002,120.580002,115.910004,116.739998,114.871941,411500
2021-06-18,114.949997,115.660004,113.099998,113.820000,111.998672,1420000
2021-06-21,114.330002,117.040001,114.330002,116.860001,114.990028,557600
2021-06-22,117.029999,117.730003,115.830002,117.269997,115.393463,449600
2021-06-23,116.970001,117.430000,116.529999,116.790001,114.921143,287400
2021-06-24,117.480003,118.019997,116.800003,117.750000,115.865776,409500
2021-06-25,117.949997,119.500000,117.190002,119.080002,117.174507,832800
2021-06-28,118.930000,118.930000,116.029999,117.379997,115.501701,744900
2021-06-29,117.339996,118.279999,116.160004,116.360001,114.498024,671900
2021-06-30,116.260002,117.320000,115.220001,116.620003,114.753868,616100
2021-07-01,117.059998,118.220001,116.260002,117.919998,116.033058,360200
2021-07-02,117.790001,117.970001,116.900002,117.839996,115.954338,293700
2021-07-06,115.419998,117.830002,114.320000,116.379997,114.517708,541500
2021-07-07,115.660004,117.339996,115.660004,117.199997,115.324585,384300
2021-07-08,115.680000,116.120003,113.320000,113.760002,111.939629,606300
2021-07-09,116.260002,118.989998,115.489998,118.870003,116.967865,778800
2021-07-12,117.760002,120.379997,117.400002,119.809998,117.892822,556600
2021-07-13,119.809998,119.809998,118.620003,118.709999,116.810417,482100
2021-07-14,119.419998,120.160004,117.190002,118.000000,116.111778,396300
2021-07-15,117.050003,118.949997,116.580002,118.489998,116.593941,388800
2021-07-16,118.839996,119.250000,117.970001,118.529999,116.633308,376200
2021-07-19,116.919998,116.919998,113.330002,114.129997,112.303711,469500
2021-07-20,114.519997,118.129997,114.519997,117.169998,115.295067,494900
2021-07-21,118.360001,119.220001,117.500000,117.639999,115.757545,323900
2021-07-22,117.110001,117.110001,114.879997,115.019997,113.179466,351200
2021-07-23,115.680000,116.339996,114.419998,115.239998,113.395943,405000
2021-07-26,115.260002,117.190002,115.260002,116.769997,114.901459,452200
2021-07-27,115.870003,116.580002,114.470001,116.050003,114.192993,552000
2021-07-28,116.459999,116.459999,112.889999,113.699997,111.880585,530800
2021-07-29,116.010002,118.529999,114.419998,117.709999,115.826424,852800
2021-07-30,115.699997,119.120003,115.699997,117.879997,115.993698,1181500
2021-08-02,118.730003,120.690002,118.239998,119.110001,117.204018,603500
2021-08-03,119.699997,119.980003,117.250000,118.940002,117.036751,380500
2021-08-04,118.169998,118.709999,115.629997,115.900002,114.045395,698500
2021-08-05,117.500000,118.070000,114.830002,116.389999,114.527542,542600
2021-08-06,117.620003,119.639999,117.620003,119.290001,117.381142,436900
2021-08-09,119.279999,120.010002,118.430000,119.629997,117.715698,276300
2021-08-10,119.480003,121.080002,119.269997,120.400002,118.473381,501500
2021-08-11,120.800003,121.449997,120.029999,121.260002,119.319618,361000
2021-08-12,121.540001,122.089996,120.339996,121.839996,119.890335,322300
2021-08-13,122.349998,122.349998,121.019997,121.389999,119.447540,343400
2021-08-16,120.629997,122.139999,119.650002,122.059998,120.106812,346100
2021-08-17,122.730003,123.279999,121.580002,122.720001,120.756256,328000
2021-08-18,122.250000,123.410004,121.029999,121.129997,119.191689,349700
2021-08-19,120.239998,122.459999,120.169998,121.690002,119.742737,371200
2021-08-20,121.949997,123.750000,121.279999,123.309998,121.336815,370000
2021-08-23,123.510002,124.690002,122.809998,123.260002,121.287613,313300
2021-08-24,123.669998,123.980003,122.970001,123.139999,121.169533,271800
2021-08-25,123.459999,125.669998,123.160004,124.860001,122.862007,451900
2021-08-26,125.500000,125.500000,122.529999,122.580002,120.618492,338500
2021-08-27,122.570000,124.510002,122.570000,124.400002,122.409378,336400
2021-08-30,124.309998,124.349998,122.910004,122.949997,120.982574,275900
2021-08-31,122.680000,124.279999,122.290001,123.400002,121.425377,521800
2021-09-01,123.400002,123.400002,121.389999,122.180000,120.224892,366500
2021-09-02,122.440002,122.760002,121.550003,122.120003,120.165863,342100
2021-09-03,122.349998,122.349998,120.690002,121.080002,119.142502,370000
2021-09-07,121.370003,121.370003,119.349998,119.430000,117.518898,357100
2021-09-08,119.139999,121.169998,118.699997,120.239998,118.315933,361200
2021-09-09,120.269997,121.870003,119.160004,119.250000,117.341782,410300
2021-09-10,119.639999,120.239998,117.339996,117.379997,115.501701,382900
2021-09-13,118.120003,118.970001,117.330002,118.489998,116.593941,362000
2021-09-14,118.660004,118.660004,116.940002,117.440002,115.560745,463200
2021-09-15,116.500000,118.610001,116.300003,118.290001,117.024918,494200
2021-09-16,118.279999,118.510002,117.099998,117.889999,116.629196,368900
2021-09-17,117.419998,118.389999,116.320000,116.449997,115.204590,1091900
2021-09-20,114.809998,115.150002,112.699997,114.269997,113.047905,599100
2021-09-21,115.029999,115.489998,113.370003,113.750000,112.533470,402800
2021-09-22,115.089996,115.230003,114.160004,114.459999,113.235878,359100
2021-09-23,115.269997,117.290001,115.260002,116.110001,114.868225,398400
2021-09-24,116.360001,117.169998,115.370003,116.620003,115.372780,252400
2021-09-27,117.209999,118.800003,117.180000,118.480003,117.212883,404000
2021-09-28,118.260002,119.250000,115.540001,115.720001,114.482399,498100
2021-09-29,115.830002,117.250000,115.570000,116.349998,115.105659,315000
2021-09-30,117.050003,117.870003,113.620003,114.220001,112.998444,758600
2021-10-01,114.400002,115.769997,112.760002,114.790001,113.562347,481300
2021-10-04,114.279999,115.930000,112.970001,113.320000,112.108070,673800
2021-10-05,113.870003,115.959999,112.720001,115.500000,114.264755,528700
2021-10-06,114.529999,116.550003,113.529999,116.470001,115.224373,338600
2021-10-07,117.779999,119.050003,117.760002,118.870003,117.598709,385700
2021-10-08,119.550003,120.610001,118.889999,120.089996,118.805656,427400
2021-10-11,120.339996,122.580002,118.720001,118.760002,117.489891,336200
2021-10-12,118.940002,119.940002,117.870003,118.080002,116.817162,310800
2021-10-13,117.930000,117.949997,116.360001,116.989998,115.738815,355300
2021-10-14,117.650002,119.169998,117.389999,118.519997,117.252449,479900
2021-10-15,120.010002,120.529999,118.239998,118.940002,117.667969,356500
2021-10-18,118.760002,118.760002,116.809998,116.959999,115.709137,316500
2021-10-19,118.160004,119.309998,117.150002,117.820000,116.559944,303400
2021-10-20,117.669998,120.269997,117.669998,119.779999,118.498978,365800
2021-10-21,119.620003,120.559998,119.099998,119.779999,118.498978,308100
2021-10-22,119.959999,122.260002,119.959999,122.190002,120.883209,395500
2021-10-25,122.089996,123.559998,121.190002,123.440002,122.119835,476400
2021-10-26,123.949997,123.980003,122.699997,123.050003,121.734009,477900
2021-10-27,123.650002,123.930000,121.059998,121.190002,119.893898,633000
2021-10-28,123.000000,127.000000,123.000000,126.180000,124.830536,708600
2021-10-29,125.680000,126.620003,121.019997,121.440002,120.141228,927500
2021-11-01,121.820000,122.300003,118.430000,120.489998,119.201385,596400
2021-11-02,120.489998,123.589996,120.019997,123.570000,122.248451,580200
2021-11-03,123.050003,125.910004,122.239998,124.680000,123.346581,507500
2021-11-04,124.150002,124.690002,123.000000,124.180000,122.851921,480400
2021-11-05,125.000000,126.879997,123.879997,126.089996,124.741493,432900
2021-11-08,126.300003,127.250000,123.639999,124.410004,123.079468,608500
2021-11-09,124.000000,124.699997,123.269997,124.160004,122.832138,290500
2021-11-10,124.180000,125.000000,123.239998,123.550003,122.228661,377900
2021-11-11,123.599998,123.620003,122.440002,122.779999,121.466888,234400
2021-11-12,122.949997,122.949997,121.459999,122.129997,120.823845,419600
2021-11-15,122.220001,122.540001,121.150002,121.480003,120.180801,378800
2021-11-16,121.570000,122.570000,120.559998,120.639999,119.349777,406600
2021-11-17,120.449997,120.449997,117.870003,118.750000,117.479996,438200
2021-11-18,118.750000,119.220001,117.500000,118.699997,117.430527,339800
2021-11-19,118.589996,119.190002,116.940002,118.809998,117.539345,414400
2021-11-22,119.980003,120.669998,118.760002,119.870003,118.588020,634500
2021-11-23,120.510002,120.959999,119.510002,120.940002,119.646568,417800
2021-11-24,121.190002,121.190002,119.180000,119.820000,118.538551,481500
2021-11-26,116.910004,119.080002,114.660004,117.269997,116.015816,609700
2021-11-29,117.589996,119.150002,116.480003,118.459999,117.193100,632800
2021-11-30,117.489998,117.639999,113.019997,113.900002,112.681870,1653800
2021-12-01,115.800003,116.910004,112.820000,112.849998,111.643089,639100
2021-12-02,113.669998,119.050003,113.669998,117.720001,116.461014,727200
2021-12-03,117.870003,117.989998,114.769997,115.879997,114.640686,476500
2021-12-06,117.660004,118.779999,116.029999,116.290001,115.046303,694300
2021-12-07,117.029999,118.519997,116.570000,117.760002,116.500580,498300
2021-12-08,117.779999,118.419998,116.440002,117.209999,115.956459,455500
2021-12-09,114.279999,116.080002,113.870003,115.139999,113.908600,576300
2021-12-10,115.989998,116.830002,115.720001,116.379997,115.135338,406900
2021-12-13,116.029999,116.029999,113.449997,114.370003,113.146843,483500
2021-12-14,114.489998,116.900002,114.010002,115.889999,114.650581,535400
2021-12-15,115.699997,116.500000,114.809998,115.809998,115.197670,398800
2021-12-16,116.669998,118.290001,115.870003,117.279999,116.659897,480200
2021-12-17,117.389999,117.389999,111.940002,113.000000,112.402527,1671500
2021-12-20,111.379997,111.410004,108.879997,110.010002,109.428337,666300
2021-12-21,110.760002,112.849998,110.760002,111.540001,110.950249,547200
2021-12-22,111.580002,112.779999,110.230003,112.440002,111.845490,504100
2021-12-23,112.790001,114.129997,112.000000,112.339996,111.746017,400000
2021-12-27,112.379997,114.199997,111.790001,114.120003,113.516609,329000
2021-12-28,114.300003,115.500000,114.120003,114.830002,114.222855,329200
2021-12-29,115.110001,116.059998,114.410004,115.019997,114.411842,208700
2021-12-30,115.099998,115.940002,113.570000,113.669998,113.068985,337900
2021-12-31,113.459999,114.629997,113.080002,113.930000,113.327614,414800
2022-01-03,114.360001,115.820000,112.430000,113.110001,112.511948,403800
2022-01-04,114.260002,116.849998,114.110001,115.739998,115.128036,570600
2022-01-05,115.970001,116.790001,114.050003,114.110001,113.506660,469700
2022-01-06,114.820000,116.809998,114.820000,116.220001,115.605507,533100
2022-01-07,116.650002,118.989998,115.959999,118.639999,118.012711,872000
2022-01-10,119.000000,119.489998,117.059998,118.250000,117.624771,775000
2022-01-11,119.000000,119.660004,118.160004,119.480003,118.848274,536800
2022-01-12,119.489998,120.300003,118.360001,118.879997,118.251434,515600
2022-01-13,119.199997,122.599998,119.190002,120.989998,120.350281,691600
2022-01-14,120.080002,120.629997,118.730003,119.540001,118.907951,541900
2022-01-18,119.239998,120.000000,116.910004,117.370003,116.749428,491900
2022-01-19,117.769997,117.769997,114.860001,114.970001,114.362114,432100
2022-01-20,115.709999,118.660004,115.410004,115.779999,115.167831,627100
2022-01-21,115.580002,116.980003,114.300003,114.459999,113.854813,727900
2022-01-24,113.480003,117.519997,112.129997,117.169998,116.550476,820900
2022-01-25,116.040001,116.459999,113.330002,115.089996,114.481476,595700
2022-01-26,116.110001,117.639999,113.570000,114.980003,114.372063,693100
2022-01-27,116.160004,117.919998,112.919998,113.470001,112.870049,706700
2022-01-28,113.029999,117.519997,112.980003,117.430000,116.809105,664600
2022-01-31,116.739998,117.980003,115.639999,117.830002,117.206993,984900
2022-02-01,117.480003,118.879997,116.559998,118.320000,117.694397,586100
2022-02-02,117.900002,121.180000,117.900002,120.940002,120.300552,658400
2022-02-03,120.510002,121.750000,120.059998,120.489998,119.852928,696000
2022-02-04,120.540001,122.989998,120.169998,121.690002,121.046585,619800
2022-02-07,122.160004,122.620003,120.750000,121.320000,120.678535,466000
2022-02-08,121.949997,123.750000,121.110001,123.160004,122.508812,710100
2022-02-09,123.870003,124.940002,122.949997,123.139999,122.488914,517000
2022-02-10,122.400002,124.129997,121.870003,122.540001,121.892090,941500
2022-02-11,122.720001,123.529999,120.400002,121.139999,120.499489,894300
2022-02-14,121.139999,121.639999,117.669998,119.480003,118.848274,1051100
2022-02-15,120.910004,122.239998,119.949997,120.690002,120.051872,876200
2022-02-16,123.260002,128.149994,123.260002,128.139999,127.462479,1377900
2022-02-17,127.339996,129.169998,125.059998,126.250000,125.582474,963400
2022-02-18,126.000000,127.019997,124.800003,125.580002,124.916016,743900
2022-02-22,125.110001,125.510002,122.360001,123.940002,123.284691,745500
2022-02-23,124.620003,124.919998,121.959999,122.440002,121.792618,594400
2022-02-24,119.709999,119.709999,116.769997,119.419998,118.788582,1085700
2022-02-25,120.589996,125.059998,120.589996,124.940002,124.279404,702200
2022-02-28,122.269997,123.930000,121.260002,122.790001,122.140770,680100
2022-03-01,121.650002,122.220001,118.959999,120.050003,119.415260,756000
2022-03-02,120.959999,123.860001,120.959999,123.389999,122.737595,642300
2022-03-03,123.870003,124.879997,122.769997,124.360001,123.702469,510900
2022-03-04,123.000000,123.589996,121.080002,123.199997,122.548599,556700
2022-03-07,122.529999,122.589996,119.690002,119.730003,119.096947,879900
2022-03-08,120.680000,122.250000,118.720001,119.320000,118.689110,712200
2022-03-09,122.430000,123.680000,121.139999,121.360001,120.718330,639300
2022-03-10,120.300003,122.489998,119.629997,122.160004,121.514099,467400
2022-03-11,122.900002,124.669998,121.570000,121.690002,121.046585,524400
2022-03-14,124.870003,130.229996,124.309998,128.039993,127.362999,1372400
2022-03-15,128.820007,131.029999,128.259995,130.720001,130.028839,674200
2022-03-16,131.179993,133.330002,129.240005,130.500000,129.809998,753400
2022-03-17,128.990005,132.630005,128.990005,132.270004,132.270004,650100
2022-03-18,132.289993,132.539993,127.650002,127.940002,127.940002,3547800
2022-03-21,128.820007,131.139999,128.479996,131.110001,131.110001,724000
2022-03-22,132.270004,132.639999,130.559998,131.690002,131.690002,603600
2022-03-23,131.479996,132.690002,131.119995,131.740005,131.740005,721400
2022-03-24,132.669998,134.960007,131.990005,134.820007,134.820007,620400
2022-03-25,135.029999,136.979996,134.910004,136.889999,136.889999,455400
2022-03-28,136.759995,136.850006,134.350006,135.770004,135.770004,471800
2022-03-29,136.669998,137.320007,135.500000,136.559998,136.559998,373600
2022-03-30,136.940002,138.199997,136.350006,138.149994,138.149994,454800
2022-03-31,138.669998,138.990005,135.580002,135.960007,135.960007,729300
2022-04-01,137.160004,138.149994,135.740005,138.070007,138.070007,620100
2022-04-04,137.460007,137.460007,134.399994,135.130005,135.130005,405351
