Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,53.910000,53.910000,51.950001,52.209999,50.559170,10460000
2021-04-06,52.619999,53.660000,52.410000,52.580002,50.917465,6253600
2021-04-07,52.790001,53.160000,52.139999,52.380001,50.723793,12408400
2021-04-08,51.619999,51.820000,51.040001,51.240002,49.619839,10040800
2021-04-09,51.369999,51.990002,50.919998,51.230000,49.610153,6665300
2021-04-12,51.750000,52.240002,50.820000,50.860001,49.251858,8564000
2021-04-13,50.480000,51.330002,50.389999,50.790001,49.184063,6980000
2021-04-14,51.380001,53.560001,51.380001,52.689999,51.023991,8342200
2021-04-15,52.700001,52.810001,51.770000,51.900002,50.258968,6763700
2021-04-16,52.240002,52.299999,51.040001,51.090000,49.474579,7665500
2021-04-19,51.290001,51.730000,50.580002,50.889999,49.280903,6587700
2021-04-20,50.500000,50.639999,48.419998,48.650002,47.111729,11928600
2021-04-21,48.029999,50.130001,47.849998,50.040001,48.457783,7718900
2021-04-22,50.040001,50.080002,49.189999,49.459999,47.896114,6582700
2021-04-23,49.430000,50.000000,49.160000,49.720001,48.147900,5670100
2021-04-26,49.639999,50.919998,49.599998,50.250000,48.661137,6642400
2021-04-27,50.439999,51.689999,50.259998,51.299999,49.677940,8309600
2021-04-28,51.700001,53.349998,51.669998,53.040001,51.362923,8897100
2021-04-29,54.000000,54.500000,52.849998,53.130001,51.450081,9446900
2021-04-30,52.180000,53.009998,50.970001,51.139999,49.523003,9448200
2021-05-03,51.919998,52.930000,51.560001,52.740002,51.072407,9325100
2021-05-04,51.730000,53.029999,51.639999,52.570000,50.907780,12834300
2021-05-05,54.349998,55.669998,53.220001,55.439999,53.687035,12715300
2021-05-06,55.500000,55.720001,53.689999,55.700001,53.938820,9648200
2021-05-07,55.070000,57.340000,54.820000,57.099998,55.294548,9645500
2021-05-10,58.209999,59.340000,56.959999,57.000000,55.197708,8801700
2021-05-11,55.790001,56.720001,55.150002,55.720001,53.958187,9741400
2021-05-12,56.110001,57.709999,55.459999,55.689999,53.929134,7925100
2021-05-13,54.610001,55.430000,53.570000,54.240002,52.933697,7581500
2021-05-14,55.040001,56.650002,55.029999,56.520000,55.158787,6419900
2021-05-17,56.070000,58.330002,56.070000,58.299999,56.895912,11441900
2021-05-18,58.270000,58.639999,56.959999,57.290001,55.910244,10322000
2021-05-19,55.939999,56.529999,54.820000,55.580002,54.241425,9406200
2021-05-20,55.650002,55.660000,54.630001,55.389999,54.055996,8798800
2021-05-21,56.060001,56.430000,55.570000,55.650002,54.309738,6032300
2021-05-24,56.119999,56.259998,55.259998,56.099998,54.748901,6372800
2021-05-25,56.000000,56.380001,54.770000,54.880001,53.558285,8090600
2021-05-26,55.070000,55.560001,54.669998,55.419998,54.085281,6716000
2021-05-27,55.730000,56.320000,55.119999,55.529999,54.192631,7484100
2021-05-28,55.799999,55.950001,55.320000,55.740002,54.397572,5745400
2021-06-01,57.080002,58.480000,57.049999,58.270000,56.866642,9943600
2021-06-02,58.660000,59.410000,57.740002,58.990002,57.569298,6103300
2021-06-03,58.720001,60.000000,58.560001,59.470001,58.037743,8280800
2021-06-04,59.820000,60.130001,58.900002,59.849998,58.408588,6504800
2021-06-07,59.810001,60.529999,59.590000,59.810001,58.369553,5405100
2021-06-08,59.430000,60.619999,58.630001,60.470001,59.013653,7345200
2021-06-09,60.630001,60.880001,59.580002,59.680000,58.242680,7026300
2021-06-10,61.009998,61.279999,59.279999,60.169998,58.720879,9396000
2021-06-11,60.500000,60.930000,59.799999,59.970001,58.525700,8117000
2021-06-14,60.650002,61.070000,59.849998,60.310001,58.857513,7744300
2021-06-15,60.700001,61.560001,60.470001,61.169998,59.696796,7835700
2021-06-16,61.090000,61.779999,60.560001,61.130001,59.657761,9745800
2021-06-17,60.900002,61.570000,58.549999,59.009998,57.588818,13667200
2021-06-18,57.880001,59.209999,57.480000,57.529999,56.144463,18583800
2021-06-21,58.230000,60.529999,58.209999,60.450001,58.994137,8234300
2021-06-22,60.150002,61.119999,59.639999,60.790001,59.325951,6745100
2021-06-23,61.099998,62.349998,60.750000,60.759998,59.296673,8184000
2021-06-24,60.970001,61.509998,60.320000,61.389999,59.911495,6424400
2021-06-25,61.700001,61.750000,61.020000,61.310001,59.833427,8099200
2021-06-28,61.119999,61.169998,59.369999,59.590000,58.154846,7647300
2021-06-29,60.099998,60.200001,58.840000,59.049999,57.627850,6437000
2021-06-30,60.480000,60.950001,59.810001,60.900002,59.433300,9309600
2021-07-01,62.689999,63.570000,62.349998,62.880001,61.365616,11637200
2021-07-02,62.459999,63.169998,61.590000,62.750000,61.238747,7635000
2021-07-06,62.779999,62.889999,60.209999,60.279999,58.828232,11699400
2021-07-07,60.000000,60.779999,58.630001,59.009998,57.588818,8239600
2021-07-08,58.250000,59.639999,57.990002,59.209999,57.783997,10551500
2021-07-09,59.750000,60.459999,59.340000,60.130001,58.681843,6973700
2021-07-12,58.910000,60.439999,58.730000,59.799999,58.359791,6063100
2021-07-13,59.490002,59.990002,58.799999,59.459999,58.027973,6510400
2021-07-14,59.889999,60.610001,57.340000,57.669998,56.281090,8489600
2021-07-15,57.000000,58.220001,56.790001,57.080002,55.705303,8723300
2021-07-16,57.700001,57.900002,55.310001,55.500000,54.163349,8805300
2021-07-19,53.430000,54.299999,52.820000,53.700001,52.406704,13342100
2021-07-20,53.500000,55.250000,53.279999,54.470001,53.158157,9358200
2021-07-21,55.730000,57.419998,55.610001,57.020000,55.646744,9378000
2021-07-22,57.020000,57.209999,56.180000,56.669998,55.305176,6765500
2021-07-23,56.000000,56.279999,54.740002,55.340000,54.420135,10623800
2021-07-26,55.709999,57.349998,55.570000,56.869999,55.924702,8756300
2021-07-27,56.160000,56.619999,55.340000,56.330002,55.393681,7363600
2021-07-28,56.480000,57.150002,55.810001,56.720001,55.777195,6167200
2021-07-29,57.419998,57.840000,56.860001,57.080002,56.131214,6306400
2021-07-30,56.759998,56.900002,55.720001,56.060001,55.128166,8660100
2021-08-02,56.529999,57.759998,55.330002,55.380001,54.459469,8469500
2021-08-03,55.090000,56.770000,54.509998,56.639999,55.698524,9888200
2021-08-04,55.330002,56.500000,54.910000,54.930000,54.016949,7629600
2021-08-05,55.459999,56.619999,55.049999,55.950001,55.019993,6573100
2021-08-06,56.590000,57.169998,56.099998,56.500000,55.560852,5038900
2021-08-09,55.669998,56.169998,55.230000,55.450001,54.528309,5410600
2021-08-10,55.849998,56.779999,55.759998,56.480000,55.541183,6781800
2021-08-11,56.380001,57.360001,55.950001,57.189999,56.239380,6071800
2021-08-12,57.139999,57.580002,56.529999,57.040001,56.091881,4729200
2021-08-13,56.950001,57.230000,55.849998,55.970001,55.039661,7399800
2021-08-16,55.220001,55.580002,54.599998,54.810001,53.898945,7464600
2021-08-17,54.410000,55.439999,54.250000,54.520000,53.613762,6497900
2021-08-18,54.380001,55.060001,53.459999,53.529999,52.640221,6647700
2021-08-19,52.669998,52.980000,51.410000,52.439999,51.568336,11306400
2021-08-20,51.869999,52.990002,51.590000,52.770000,51.892853,7068200
2021-08-23,54.150002,55.130001,54.020000,54.790001,53.879276,8022200
2021-08-24,55.180000,55.689999,54.639999,55.410000,54.488968,6245500
2021-08-25,55.450001,56.389999,55.049999,56.020000,55.088833,6125200
2021-08-26,55.750000,56.090000,54.959999,55.130001,54.213623,5209000
2021-08-27,55.790001,57.119999,55.520000,56.740002,55.796864,6549100
2021-08-30,56.980000,57.139999,56.180000,56.200001,55.265842,4838600
2021-08-31,55.750000,56.330002,55.299999,55.529999,54.606976,10500500
2021-09-01,55.560001,55.919998,54.419998,54.650002,53.741608,9319800
2021-09-02,55.259998,56.980000,55.209999,56.599998,55.659191,6696600
2021-09-03,56.340000,56.950001,55.939999,56.240002,55.305176,7954200
2021-09-07,55.889999,56.480000,55.320000,55.980000,55.049496,6632600
2021-09-08,56.320000,56.610001,55.189999,55.279999,54.361134,5228900
2021-09-09,55.150002,56.540001,54.830002,55.580002,54.656143,6285800
2021-09-10,56.610001,56.740002,55.459999,55.730000,54.803650,5055200
2021-09-13,56.570000,58.080002,56.570000,57.590000,56.632736,8456500
2021-09-14,58.220001,58.290001,56.610001,56.939999,55.993542,7880700
2021-09-15,58.090000,59.459999,58.060001,59.320000,58.333977,10766000
2021-09-16,59.279999,59.660000,58.759998,59.230000,58.245472,8773100
2021-09-17,59.070000,59.910000,58.779999,58.919998,57.940624,13741300
2021-09-20,57.490002,58.009998,56.299999,57.070000,56.121380,10001800
2021-09-21,58.470001,59.830002,57.720001,59.330002,58.343815,13923100
2021-09-22,60.209999,62.889999,60.209999,62.259998,61.225105,15753000
2021-09-23,62.250000,64.120003,62.250000,63.709999,62.651005,11886800
2021-09-24,63.790001,65.690002,63.540001,65.019997,63.939228,11128300
2021-09-27,66.699997,66.949997,65.800003,66.709999,65.601143,13508700
2021-09-28,67.550003,68.639999,67.169998,67.800003,66.673019,14995200
2021-09-29,67.629997,68.480003,66.610001,68.040001,66.909035,10563700
2021-09-30,68.220001,68.889999,67.720001,67.769997,66.643517,15845900
2021-10-01,68.379997,70.330002,68.309998,70.099998,68.934784,13482300
2021-10-04,70.849998,72.610001,70.629997,71.489998,70.301689,12423500
2021-10-05,72.099998,72.860001,70.709999,71.730003,70.537697,11270100
2021-10-06,70.400002,72.110001,69.790001,71.809998,70.616364,10613500
2021-10-07,72.010002,72.129997,70.610001,71.510002,70.321358,11521300
2021-10-08,72.190002,75.099998,72.190002,74.919998,73.674667,12310500
2021-10-11,75.129997,75.519997,73.750000,73.970001,72.740463,9585200
2021-10-12,74.139999,74.610001,73.019997,73.410004,72.189774,7635600
2021-10-13,72.449997,73.760002,71.459999,73.230003,72.012764,8517500
2021-10-14,74.290001,74.610001,72.839996,73.849998,72.622452,8152600
2021-10-15,74.629997,74.930000,74.129997,74.139999,72.907639,6945100
2021-10-18,74.769997,75.750000,74.129997,74.500000,73.261658,9917700
2021-10-19,74.839996,75.849998,74.379997,75.320000,74.068024,6589400
2021-10-20,74.720001,76.099998,74.540001,76.019997,74.756386,5506000
2021-10-21,75.650002,75.650002,74.110001,74.589996,73.350151,5836300
2021-10-22,75.120003,76.080002,74.989998,75.720001,74.461372,7170200
2021-10-25,76.559998,77.980003,76.199997,76.519997,75.248077,7471200
2021-10-26,76.690002,77.629997,76.470001,77.029999,75.749603,5898200
2021-10-27,75.559998,76.660004,74.250000,74.430000,73.632530,9025600
2021-10-28,74.370003,75.339996,74.120003,75.150002,74.344818,5195900
2021-10-29,74.430000,75.300003,73.970001,74.489998,73.691887,8079300
2021-11-01,74.949997,75.410004,74.419998,74.589996,73.790810,11944600
2021-11-02,74.540001,75.250000,72.809998,73.029999,72.247520,10891900
2021-11-03,72.650002,73.690002,72.250000,72.739998,71.960640,9311800
2021-11-04,74.000000,74.779999,72.870003,73.309998,72.524529,8573500
2021-11-05,74.559998,75.809998,73.919998,75.449997,74.641602,6987600
2021-11-08,75.669998,77.150002,75.459999,75.930000,75.116463,6957700
2021-11-09,75.809998,75.989998,74.720001,75.750000,74.938385,6049800
2021-11-10,74.500000,74.970001,72.930000,73.000000,72.217850,7484700
