Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,350.000000,355.510010,349.790009,354.040009,350.746368,364200
2021-04-06,351.589996,354.329987,347.989990,348.869995,345.624481,339200
2021-04-07,346.809998,350.690002,345.320007,350.299988,347.041168,283200
2021-04-08,350.890015,352.769989,344.910004,345.720001,342.503784,437700
2021-04-09,346.399994,353.339996,345.489990,352.480011,349.200867,417700
2021-04-12,353.079987,357.130005,350.809998,355.170013,351.865845,274600
2021-04-13,353.399994,355.910004,351.179993,355.480011,352.173004,248300
2021-04-14,355.540009,356.690002,348.690002,350.079987,346.823181,326400
2021-04-15,353.450012,354.149994,350.230011,351.859985,348.586639,280200
2021-04-16,353.179993,354.500000,349.390015,350.519989,347.259125,388600
2021-04-19,348.899994,349.109985,341.839996,343.739990,340.542175,352900
2021-04-20,344.910004,346.000000,339.209991,341.700012,338.521179,312900
2021-04-21,344.579987,348.700012,342.940002,347.649994,344.415833,470000
2021-04-22,346.029999,353.000000,344.519989,348.559998,345.317352,270200
2021-04-23,350.309998,355.649994,349.940002,353.720001,350.429352,251500
2021-04-26,354.089996,355.640015,348.859985,349.359985,346.109924,255100
2021-04-27,348.760010,352.239990,346.950012,350.149994,346.892517,373000
2021-04-28,350.890015,351.529999,344.230011,345.200012,341.988617,220000
2021-04-29,346.359985,352.750000,346.220001,351.059998,347.794098,222100
2021-04-30,348.510010,348.940002,342.109985,345.140015,341.929199,399900
2021-05-03,348.649994,352.549988,347.390015,350.619995,347.358215,381000
2021-05-04,349.600006,352.109985,348.859985,350.779999,347.516663,388800
2021-05-05,352.989990,354.850006,347.019989,348.589996,345.347076,419500
2021-05-06,351.049988,351.049988,347.140015,350.250000,346.991608,266400
2021-05-07,350.260010,362.910004,350.260010,360.670013,357.314697,567100
2021-05-10,360.059998,364.410004,358.570007,360.739990,357.384033,577100
2021-05-11,356.640015,357.589996,351.709991,354.679993,351.380402,384500
2021-05-12,349.480011,351.369995,343.010010,343.760010,340.561981,464500
2021-05-13,344.329987,354.609985,344.329987,353.209991,350.689209,364200
2021-05-14,355.250000,360.089996,353.420013,358.079987,355.524445,318300
2021-05-17,353.899994,358.000000,348.910004,352.040009,349.527588,287900
2021-05-18,350.559998,353.269989,347.320007,348.000000,345.516388,587300
2021-05-19,343.500000,346.619995,338.000000,342.489990,340.045715,476400
2021-05-20,342.720001,350.839996,340.170013,349.459991,346.965973,396800
2021-05-21,351.649994,354.059998,347.600006,348.429993,345.943329,316200
2021-05-24,351.649994,356.440002,350.209991,354.540009,352.009735,380400
