Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,18.870001,19.129999,18.440001,18.549999,17.447144,6308300
2021-04-06,18.740000,18.740000,18.320000,18.490000,17.390709,5411000
2021-04-07,18.480000,18.700001,18.200001,18.480000,17.381304,5053300
2021-04-08,18.330000,18.410000,17.590000,17.850000,16.788761,7117000
2021-04-09,17.920000,17.980000,17.299999,17.379999,16.346703,5894500
2021-04-12,17.549999,17.650000,16.900000,16.959999,15.951674,7062300
2021-04-13,16.889999,17.100000,16.629999,16.719999,15.725943,5523700
2021-04-14,16.809999,17.280001,16.780001,16.940001,15.932863,7538600
2021-04-15,16.950001,16.980000,16.620001,16.830000,15.829404,5565500
2021-04-16,16.790001,16.850000,16.530001,16.559999,15.575456,4992300
2021-04-19,16.540001,16.790001,16.420000,16.540001,15.556646,7239100
2021-04-20,16.469999,16.570000,16.160000,16.379999,15.406157,5297300
2021-04-21,16.219999,16.559999,16.209999,16.400000,15.424967,4239200
2021-04-22,16.459999,16.559999,16.160000,16.370001,15.396752,6452700
2021-04-23,16.219999,16.299999,15.990000,16.120001,15.161616,7298800
2021-04-26,16.120001,16.459999,16.040001,16.440001,15.462589,5114500
2021-04-27,16.410000,16.820000,16.400000,16.790001,15.791780,5342800
2021-04-28,16.870001,17.170000,16.840000,16.969999,15.961078,5719300
2021-04-29,17.100000,17.250000,16.799999,17.059999,16.045731,5531800
2021-04-30,17.170000,17.490000,16.389999,16.670000,15.678916,11212300
2021-05-03,16.809999,17.209999,16.719999,17.080000,16.064539,10325100
2021-05-04,16.990000,17.260000,16.709999,17.190001,16.168001,7793600
2021-05-05,17.290001,17.500000,16.969999,17.469999,16.431353,7456400
2021-05-06,17.500000,17.549999,17.090000,17.110001,16.092758,7875000
2021-05-07,17.000000,17.450001,16.920000,17.389999,16.356108,5769100
2021-05-10,17.620001,17.959999,17.559999,17.700001,16.647678,5531500
2021-05-11,17.520000,17.690001,17.309999,17.410000,16.374920,4808200
2021-05-12,17.410000,17.889999,17.299999,17.500000,16.564226,7773100
2021-05-13,17.280001,17.510000,17.100000,17.190001,16.270803,4892900
2021-05-14,17.309999,17.830000,17.309999,17.770000,16.819788,5411300
2021-05-17,17.889999,18.450001,17.770000,18.309999,17.330912,8483300
2021-05-18,18.209999,18.250000,17.690001,17.840000,16.886045,10837300
2021-05-19,17.680000,18.059999,17.530001,18.000000,17.037489,6624200
2021-05-20,17.910000,18.040001,17.629999,17.750000,16.800859,5094500
2021-05-21,17.930000,18.139999,17.760000,17.809999,16.857649,5346300
2021-05-24,17.330000,17.360001,16.250000,16.600000,15.712353,47460900
2021-05-25,16.580000,16.610001,16.230000,16.450001,15.570373,28826800
2021-05-26,16.340000,16.709999,16.180000,16.700001,15.807004,21457000
2021-05-27,16.730000,16.790001,16.350000,16.379999,15.504115,38750600
2021-05-28,16.490000,16.660000,16.370001,16.400000,15.523046,8566500
2021-06-01,16.650000,16.840000,16.430000,16.459999,15.579837,9852800
2021-06-02,16.510000,17.180000,16.360001,17.040001,16.128824,11884500
2021-06-03,17.040001,17.150000,16.670000,16.799999,15.901656,11912300
2021-06-04,16.840000,16.959999,16.580000,16.930000,16.024706,8667500
2021-06-07,16.879999,17.010000,16.809999,16.860001,15.958447,7396000
2021-06-08,16.549999,17.030001,16.410000,17.010000,16.100428,6993000
2021-06-09,17.129999,17.480000,17.040001,17.219999,16.299198,9272700
2021-06-10,17.379999,17.420000,17.090000,17.299999,16.374920,7758400
2021-06-11,17.480000,17.770000,17.250000,17.280001,16.355989,9382000
2021-06-14,17.320000,17.350000,16.889999,16.910000,16.005775,7728600
2021-06-15,16.910000,16.980000,16.469999,16.879999,15.977379,9770900
2021-06-16,16.889999,16.889999,16.379999,16.570000,15.683957,7747800
2021-06-17,16.469999,16.520000,15.860000,15.910000,15.059248,11688000
2021-06-18,15.750000,15.850000,15.280000,15.330000,14.510261,14820700
2021-06-21,15.340000,16.000000,15.330000,15.930000,15.078178,8914100
2021-06-22,15.960000,16.129999,15.820000,16.049999,15.191760,5747000
2021-06-23,16.240000,16.530001,16.180000,16.389999,15.513580,5945900
2021-06-24,16.420000,16.730000,16.299999,16.570000,15.683957,5047700
2021-06-25,16.620001,16.870001,16.389999,16.820000,15.920587,11608900
2021-06-28,16.830000,16.830000,16.160000,16.320000,15.447325,7310800
2021-06-29,16.549999,16.639999,16.260000,16.280001,15.409465,8085600
2021-06-30,16.510000,17.500000,16.420000,17.459999,16.526361,18239800
2021-07-01,17.600000,18.080000,17.430000,17.850000,16.895510,11943800
2021-07-02,17.840000,17.980000,17.650000,17.840000,16.886045,5921800
2021-07-06,17.830000,17.840000,16.990000,17.000000,16.090963,6854800
2021-07-07,17.000000,17.200001,16.700001,17.020000,16.109894,4647000
2021-07-08,17.000000,17.610001,16.799999,17.410000,16.479040,5568700
2021-07-09,17.570000,17.629999,17.180000,17.610001,16.668344,6048900
2021-07-12,17.590000,18.020000,17.410000,17.690001,16.744064,5333000
2021-07-13,17.690001,17.990000,17.590000,17.690001,16.744064,5753400
2021-07-14,17.730000,17.770000,16.750000,16.809999,15.911121,6984900
2021-07-15,16.639999,16.850000,16.370001,16.480000,15.598766,4847300
2021-07-16,16.620001,16.660000,16.129999,16.160000,15.295879,5678100
2021-07-19,15.880000,16.030001,15.380000,15.640000,14.803686,8671400
2021-07-20,15.610000,15.820000,15.410000,15.540000,14.709033,8085000
2021-07-21,15.700000,16.280001,15.670000,16.160000,15.295879,8048600
2021-07-22,16.150000,16.160000,15.600000,15.690000,14.851011,5476200
2021-07-23,15.620000,15.810000,15.470000,15.780000,14.936199,5977300
2021-07-26,15.910000,16.360001,15.880000,16.180000,15.314810,4589000
2021-07-27,16.020000,16.070000,15.720000,15.870000,15.021386,4545800
2021-07-28,15.970000,16.049999,15.620000,15.860000,15.011921,4833600
2021-07-29,15.940000,16.059999,15.650000,15.900000,15.049781,9936400
2021-07-30,15.770000,16.270000,15.680000,16.000000,15.144435,8178100
2021-08-02,16.010000,16.400000,15.940000,16.120001,15.258019,8761000
2021-08-03,16.080000,16.500000,15.920000,16.360001,15.485185,5214500
2021-08-04,16.100000,16.350000,15.810000,15.860000,15.011921,5897700
2021-08-05,15.970000,16.240000,15.830000,16.040001,15.182297,5852700
2021-08-06,16.219999,16.340000,16.070000,16.280001,15.409465,5245600
2021-08-09,16.049999,16.150000,15.780000,16.000000,15.144435,5969400
2021-08-10,16.120001,16.400000,15.980000,16.379999,15.504115,4861100
2021-08-11,16.139999,16.340000,15.940000,16.270000,15.504116,3742400
2021-08-12,16.309999,16.309999,15.890000,16.090000,15.332589,3997800
2021-08-13,16.070000,16.160000,15.800000,15.820000,15.075299,4197100
2021-08-16,15.650000,15.680000,15.340000,15.470000,14.741775,6787600
2021-08-17,15.380000,15.790000,15.300000,15.500000,14.770362,5250300
2021-08-18,15.540000,15.610000,15.020000,15.030000,14.322486,6108600
2021-08-19,14.810000,14.900000,14.280000,14.590000,13.903199,7874400
2021-08-20,14.450000,14.690000,14.370000,14.420000,13.741201,6032300
2021-08-23,14.750000,14.900000,14.610000,14.650000,13.960374,7994700
2021-08-24,14.750000,14.940000,14.600000,14.700000,14.008021,6749700
2021-08-25,14.630000,15.060000,14.510000,15.000000,14.293900,9074400
2021-08-26,14.980000,15.060000,14.680000,14.710000,14.017550,6760600
2021-08-27,14.900000,15.650000,14.850000,15.630000,14.894243,13419600
2021-08-30,15.640000,16.040001,15.530000,15.740000,14.999064,9513600
2021-08-31,15.640000,15.980000,15.590000,15.890000,15.142004,8600000
2021-09-01,16.000000,16.520000,15.890000,16.260000,15.494587,9016300
2021-09-02,16.459999,17.690001,16.430000,17.350000,16.533276,15494000
2021-09-03,17.299999,17.940001,17.209999,17.809999,16.971622,10450500
2021-09-07,17.650000,17.900000,17.590000,17.760000,16.923975,7024100
2021-09-08,18.059999,18.459999,18.000000,18.410000,17.543379,9283900
2021-09-09,18.440001,18.709999,18.200001,18.530001,17.657730,10887500
2021-09-10,18.620001,18.709999,18.139999,18.320000,17.457617,7740900
2021-09-13,18.600000,19.280001,18.600000,18.980000,18.086546,9581800
2021-09-14,19.200001,19.200001,18.500000,18.660000,17.781610,11271600
2021-09-15,19.120001,20.090000,19.059999,19.980000,19.039473,15324000
2021-09-16,19.900000,19.900000,19.120001,19.370001,18.458189,9192800
2021-09-17,19.440001,19.610001,19.290001,19.410000,18.496305,14756700
2021-09-20,19.020000,19.530001,18.850000,19.370001,18.458189,15497500
2021-09-21,19.590000,19.650000,18.670000,18.980000,18.086546,6684300
2021-09-22,19.299999,19.600000,19.129999,19.360001,18.448660,8271900
2021-09-23,19.459999,19.910000,19.270000,19.780001,18.848888,6527800
2021-09-24,19.750000,20.469999,19.719999,20.340000,19.382526,8656600
2021-09-27,21.010000,22.100000,20.780001,22.059999,21.021561,12250900
2021-09-28,22.780001,22.840000,21.719999,21.820000,20.792858,28521100
2021-09-29,21.629999,23.100000,21.570000,22.549999,21.488495,60912400
2021-09-30,22.480000,22.799999,21.719999,21.760000,20.735683,28514200
2021-10-01,21.879999,22.389999,21.510000,22.250000,21.202618,19279800
2021-10-04,22.680000,23.639999,22.379999,22.770000,21.698139,94329900
2021-10-05,23.100000,23.580000,22.240000,22.650000,21.583788,18917500
2021-10-06,22.240000,22.639999,21.510000,22.070000,21.031092,16499000
2021-10-07,22.049999,22.350000,21.900000,22.010000,20.973915,12577100
2021-10-08,22.320000,22.790001,22.000000,22.270000,21.221676,9058400
2021-10-11,22.690001,22.690001,21.450001,21.520000,20.506981,9324400
2021-10-12,21.559999,21.670000,21.049999,21.450001,20.440275,9741300
2021-10-13,20.830000,21.100000,20.670000,20.900000,20.391491,10633200
2021-10-14,21.180000,21.280001,20.670000,20.750000,20.245140,8079900
2021-10-15,21.100000,21.100000,20.219999,20.340000,19.845116,9945300
2021-10-18,20.840000,21.230000,20.260000,20.400000,19.903658,10330500
2021-10-19,20.450001,20.889999,20.190001,20.860001,20.352467,7418900
2021-10-20,20.780001,21.450001,20.660000,21.410000,20.889084,9979400
2021-10-21,21.219999,21.350000,20.549999,20.780001,20.274412,8732300
2021-10-22,21.379999,21.570000,20.809999,21.290001,20.772003,6430800
2021-10-25,21.559999,22.590000,21.530001,22.559999,22.011103,9177800
2021-10-26,22.559999,22.709999,22.299999,22.469999,21.923292,6521900
