Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,138.550003,142.729996,138.320007,142.490005,140.889542,889000
2021-04-06,142.009995,143.710007,140.399994,141.979996,140.385269,838600
2021-04-07,143.240005,143.979996,142.529999,142.679993,141.077393,1206800
2021-04-08,143.820007,143.910004,142.240005,142.770004,141.166397,705700
2021-04-09,142.529999,142.940002,141.679993,142.339996,140.741226,779500
2021-04-12,141.160004,142.270004,141.160004,142.059998,140.464355,798900
2021-04-13,140.820007,141.300003,136.750000,139.000000,137.438736,1308500
2021-04-14,139.000000,139.380005,136.899994,137.759995,136.212677,1073800
2021-04-15,137.589996,139.250000,136.500000,138.830002,137.270645,988700
2021-04-16,139.320007,141.070007,138.639999,140.500000,138.921890,779700
2021-04-19,139.929993,140.669998,137.559998,138.850006,137.290436,892100
2021-04-20,138.130005,140.460007,137.750000,138.119995,136.568634,555700
2021-04-21,140.940002,144.470001,140.449997,141.500000,139.910660,1639600
2021-04-22,139.750000,142.059998,139.750000,140.300003,138.724152,1424400
2021-04-23,140.229996,141.720001,138.490005,140.479996,138.902115,749300
2021-04-26,140.800003,142.080002,139.500000,140.600006,139.020782,1091100
2021-04-27,140.360001,141.449997,139.000000,140.339996,138.763687,658500
2021-04-28,141.270004,141.279999,138.240005,138.509995,136.954239,1083400
2021-04-29,124.370003,130.919998,124.000000,128.020004,126.582077,4297300
2021-04-30,126.510002,127.540001,122.870003,123.849998,122.458908,2446300
2021-05-03,123.260002,124.040001,121.389999,123.400002,122.013962,1974000
2021-05-04,122.309998,122.519997,118.050003,119.199997,117.861130,1849000
2021-05-05,119.900002,120.489998,118.599998,119.180000,117.841362,964100
2021-05-06,118.839996,121.790001,118.400002,121.690002,120.323174,1093700
2021-05-07,123.110001,123.680000,120.809998,121.029999,119.670578,1009600
2021-05-10,120.690002,120.889999,118.660004,119.290001,117.950127,1116600
2021-05-11,117.489998,119.650002,116.610001,119.239998,117.900688,1047700
2021-05-12,118.519997,119.480003,116.559998,116.800003,115.488098,1203400
2021-05-13,117.150002,118.410004,116.370003,116.720001,115.408997,1122100
2021-05-14,117.760002,118.360001,117.290001,117.709999,116.387871,749400
2021-05-17,117.269997,117.580002,115.930000,116.870003,115.557312,784800
2021-05-18,116.889999,117.230003,115.529999,115.800003,114.499329,1052200
2021-05-19,115.099998,115.519997,113.830002,115.389999,114.093925,894200
2021-05-20,115.849998,117.820000,115.610001,115.779999,114.479553,1760700
2021-05-21,115.980003,116.669998,115.669998,115.809998,114.509209,1136700
2021-05-24,116.800003,117.339996,115.739998,115.839996,114.538872,747500
2021-05-25,116.059998,116.650002,114.739998,115.230003,113.935730,1107700
2021-05-26,114.870003,116.470001,114.470001,114.830002,113.540222,931000
2021-05-27,115.059998,115.580002,113.470001,113.680000,112.403137,1978800
2021-05-28,113.970001,115.900002,113.970001,114.959999,113.668762,1627400
2021-06-01,115.160004,115.680000,113.730003,113.870003,112.591011,1289400
2021-06-02,113.919998,115.830002,113.680000,114.889999,113.599548,1698900
2021-06-03,114.110001,116.809998,113.839996,116.550003,115.240906,1345300
2021-06-04,116.900002,119.629997,116.709999,119.139999,117.801811,1153400
2021-06-07,119.360001,119.360001,116.529999,117.059998,115.745171,667700
2021-06-08,117.830002,118.889999,117.410004,118.440002,117.109680,1148300
2021-06-09,118.489998,118.849998,117.000000,118.070000,116.743828,964500
2021-06-10,117.989998,118.830002,116.910004,118.650002,117.686111,849300
2021-06-11,118.650002,120.629997,118.290001,120.410004,119.431808,1085000
2021-06-14,121.010002,121.870003,120.550003,120.660004,119.679787,1180300
2021-06-15,120.750000,121.199997,119.709999,119.879997,118.906113,1256800
2021-06-16,119.860001,120.690002,117.029999,117.610001,116.654556,918900
2021-06-17,117.029999,119.489998,116.760002,118.110001,117.150497,981800
2021-06-18,117.800003,118.000000,115.080002,115.809998,114.869179,2072500
2021-06-21,115.220001,116.669998,114.099998,116.059998,115.117149,924500
2021-06-22,115.900002,116.550003,114.339996,114.790001,113.857468,1077900
2021-06-23,114.680000,114.820000,112.980003,113.339996,112.419243,1227100
2021-06-24,113.949997,114.989998,113.250000,114.519997,113.589653,815000
2021-06-25,114.519997,116.150002,114.489998,115.959999,115.017960,1171000
2021-06-28,117.120003,119.220001,116.610001,117.370003,116.416504,1292400
2021-06-29,116.879997,117.930000,116.370003,117.879997,116.922356,491200
2021-06-30,118.250000,118.250000,117.070000,117.269997,116.317314,584700
2021-07-01,117.150002,117.739998,116.309998,117.400002,116.446266,640700
2021-07-02,117.949997,119.070000,117.089996,118.930000,117.963837,619900
2021-07-06,118.529999,118.650002,115.739998,116.059998,115.117149,1037600
2021-07-07,116.910004,117.949997,115.550003,117.220001,116.267731,765200
2021-07-08,116.169998,117.760002,115.070000,116.870003,115.920570,1244400
2021-07-09,116.720001,117.190002,115.570000,116.169998,115.226250,878700
2021-07-12,116.620003,116.750000,113.900002,113.970001,113.044128,1094400
2021-07-13,113.959999,114.800003,112.860001,113.580002,112.657303,1007300
2021-07-14,114.239998,115.930000,113.809998,115.779999,114.839424,1007800
2021-07-15,115.980003,116.739998,114.320000,114.989998,114.055840,982100
2021-07-16,115.430000,116.599998,114.790001,116.239998,115.295685,1021400
2021-07-19,115.980003,116.120003,112.919998,113.940002,113.014374,873300
2021-07-20,114.410004,115.720001,114.110001,114.720001,113.788033,870400
2021-07-21,115.309998,115.669998,113.580002,114.040001,113.113564,701900
2021-07-22,113.629997,114.919998,113.220001,114.489998,113.559906,539500
2021-07-23,115.000000,115.169998,113.570000,114.930000,113.996330,527200
2021-07-26,114.870003,115.180000,114.000000,114.769997,113.837624,528500
2021-07-27,114.970001,115.129997,112.959999,114.709999,113.778114,627100
2021-07-28,114.620003,115.330002,114.139999,114.550003,113.619423,827800
2021-07-29,94.730003,99.680000,94.660004,99.000000,98.195747,9859000
2021-07-30,99.000000,101.449997,96.709999,100.750000,99.931526,2712100
2021-08-02,100.279999,103.940002,99.129997,103.570000,102.728615,3044300
2021-08-03,103.110001,103.680000,102.449997,103.000000,102.163246,2710800
2021-08-04,102.540001,103.180000,100.400002,100.930000,100.110062,4452400
2021-08-05,100.769997,101.459999,99.410004,101.250000,100.427467,3209700
2021-08-06,101.580002,102.410004,99.849998,101.389999,100.566322,2874600
2021-08-09,101.300003,101.760002,100.699997,101.480003,100.655594,1852300
2021-08-10,101.419998,101.750000,100.629997,100.870003,100.050552,3489900
2021-08-11,101.220001,102.400002,100.570000,102.260002,101.429260,1019700
2021-08-12,102.050003,102.519997,101.410004,102.089996,101.260635,2524700
2021-08-13,101.860001,102.419998,101.220001,102.110001,101.280479,1022200
2021-08-16,102.320000,102.639999,101.919998,102.169998,101.339989,1737400
2021-08-17,101.900002,102.610001,101.570000,102.540001,101.706985,830800
2021-08-18,102.290001,102.559998,101.419998,102.449997,101.617714,1579000
2021-08-19,102.550003,102.930000,102.129997,102.480003,101.647476,2527600
2021-08-20,101.779999,103.519997,101.779999,103.220001,102.381462,1024200
2021-08-23,103.309998,103.410004,102.349998,102.400002,101.568123,1714300
2021-08-24,102.470001,102.930000,102.339996,102.589996,101.756569,760400
2021-08-25,102.339996,102.970001,101.480003,101.629997,100.804375,1367900
2021-08-26,101.540001,102.519997,100.570000,100.769997,99.951355,1063400
2021-08-27,100.620003,101.870003,99.629997,101.769997,100.943237,845800
2021-08-30,101.750000,103.150002,101.750000,102.660004,101.826012,1739800
2021-08-31,102.959999,103.860001,102.510002,102.870003,102.034309,1130600
2021-09-01,103.220001,103.639999,102.519997,102.589996,101.756569,687600
2021-09-02,102.730003,103.900002,101.959999,103.870003,103.026184,920800
2021-09-03,103.959999,104.500000,102.589996,102.750000,101.915276,1241500
2021-09-07,102.690002,103.650002,102.470001,103.500000,102.659187,2110200
2021-09-08,111.260002,112.300003,106.379997,106.589996,105.724075,4004100
2021-09-09,106.489998,108.709999,106.349998,108.300003,107.794373,1784400
2021-09-10,108.769997,109.169998,106.339996,107.570000,107.067780,1745700
2021-09-13,107.830002,110.989998,107.580002,108.820000,108.311943,1421200
2021-09-14,108.669998,110.000000,107.839996,109.580002,109.068398,1461300
2021-09-15,113.000000,115.000000,111.209999,112.470001,111.944908,3736900
2021-09-16,112.309998,112.820000,109.150002,110.949997,110.431999,1996500
2021-09-17,111.449997,112.589996,111.070000,111.570000,111.049103,3027800
2021-09-20,109.860001,111.370003,109.480003,110.300003,109.785034,1446200
2021-09-21,110.970001,111.330002,108.209999,108.690002,108.182556,1713900
2021-09-22,108.570000,109.430000,108.220001,109.040001,108.530914,1875800
2021-09-23,109.309998,111.500000,109.059998,111.160004,110.641022,750300
2021-09-24,111.000000,111.879997,109.980003,110.190002,109.675552,777400
2021-09-27,109.760002,109.919998,108.769997,108.970001,108.461243,1229300
2021-09-28,108.680000,109.160004,106.860001,107.000000,106.500443,1835500
2021-09-29,107.070000,109.000000,106.809998,108.150002,107.645073,822900
2021-09-30,108.300003,108.599998,106.870003,107.370003,106.868713,967200
2021-10-01,107.959999,108.839996,106.949997,108.430000,107.923767,1148400
2021-10-04,108.040001,108.500000,105.949997,106.190002,105.694229,1089400
2021-10-05,105.589996,107.190002,105.410004,106.470001,105.972916,623100
2021-10-06,105.419998,106.000000,104.610001,105.959999,105.465294,987900
2021-10-07,103.639999,106.389999,103.500000,104.209999,103.723465,2207700
2021-10-08,103.279999,104.000000,97.830002,98.320000,97.860970,2541900
2021-10-11,98.300003,98.550003,94.400002,94.680000,94.237961,1927300
2021-10-12,92.199997,93.349998,90.690002,90.949997,90.525375,2748600
2021-10-13,90.820000,94.879997,90.559998,94.160004,93.720390,1945300
2021-10-14,94.989998,96.160004,94.459999,95.709999,95.263153,2149700
2021-10-15,96.019997,98.910004,95.889999,97.580002,97.124420,1738200
2021-10-18,97.529999,100.650002,96.820000,100.519997,100.050690,1507300
2021-10-19,100.379997,101.089996,98.970001,100.320000,99.851631,1389800
2021-10-20,99.919998,100.790001,99.059998,99.279999,98.816483,1154100
2021-10-21,99.669998,100.870003,98.910004,100.199997,99.732185,1211600
2021-10-22,100.230003,101.260002,99.459999,99.889999,99.423637,918800
2021-10-25,100.000000,100.180000,98.290001,98.580002,98.119751,747400
2021-10-26,98.919998,98.919998,96.419998,96.599998,96.148994,1295600
2021-10-27,96.930000,97.529999,94.940002,94.980003,94.536560,693100
2021-10-28,94.940002,95.800003,94.769997,95.150002,94.705765,964600
2021-10-29,94.849998,96.570000,94.570000,94.730003,94.287727,887800
2021-11-01,94.540001,95.260002,93.820000,94.760002,94.317589,1097000
2021-11-02,94.970001,95.989998,93.339996,95.589996,95.143707,1144100
2021-11-03,95.260002,95.779999,93.760002,94.199997,93.760201,1826000
2021-11-04,92.199997,99.320000,91.650002,95.099998,94.655998,1835200
2021-11-05,91.669998,93.160004,89.070000,89.199997,88.783539,3087200
2021-11-08,90.529999,91.889999,89.580002,91.510002,91.082764,1852300
2021-11-09,91.989998,92.169998,90.010002,90.349998,89.928177,1675800
2021-11-10,90.160004,90.510002,88.360001,89.040001,88.624290,1277000
2021-11-11,89.110001,89.400002,87.230003,87.360001,86.952133,918100
2021-11-12,87.440002,89.989998,87.440002,89.680000,89.261307,2319700
2021-11-15,89.419998,89.419998,85.199997,87.160004,86.753075,2665000
2021-11-16,87.510002,88.900002,87.370003,88.400002,87.987282,1897400
2021-11-17,88.209999,89.029999,86.870003,86.930000,86.524147,1563800
2021-11-18,86.709999,87.970001,83.610001,84.730003,84.334419,2620700
2021-11-19,85.419998,86.629997,83.830002,85.099998,84.702682,1455700
2021-11-22,85.099998,86.260002,84.900002,85.419998,85.021194,1296700
2021-11-23,85.540001,85.660004,83.459999,84.010002,83.617775,1701200
2021-11-24,84.339996,85.070000,83.589996,84.739998,84.344368,1367200
2021-11-26,84.760002,85.279999,82.709999,82.900002,82.512962,1806500
2021-11-29,83.570000,83.610001,80.480003,82.370003,81.985435,2420500
2021-11-30,82.059998,83.139999,80.180000,80.430000,80.054489,3052800
2021-12-01,80.669998,81.510002,78.720001,78.720001,78.352478,1550000
2021-12-02,79.019997,80.529999,78.360001,80.099998,79.726028,1152600
2021-12-03,80.120003,80.120003,78.730003,79.250000,78.879997,1294100
2021-12-06,78.570000,80.629997,78.070000,80.169998,80.169998,1994500
2021-12-07,80.900002,82.470001,80.580002,80.860001,80.860001,2278800
2021-12-08,80.889999,82.750000,80.750000,82.709999,82.709999,2003200
2021-12-09,82.879997,83.070000,81.260002,81.629997,81.629997,935400
2021-12-10,81.940002,82.629997,81.169998,81.510002,81.510002,1800000
2021-12-13,81.989998,84.480003,81.989998,84.029999,84.029999,1271100
2021-12-14,82.769997,83.519997,81.660004,83.139999,83.139999,2148700
2021-12-15,83.269997,84.070000,81.059998,83.730003,83.730003,1324700
2021-12-16,82.370003,85.150002,82.370003,84.720001,84.720001,2505400
2021-12-17,83.589996,86.180000,83.089996,83.519997,83.519997,4604600
