Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,227.630005,228.149994,225.589996,226.529999,225.852097,2553500
2021-04-06,229.339996,230.910004,226.130005,227.050003,226.370560,2658900
2021-04-07,226.119995,227.910004,224.770004,226.070007,225.393509,1614300
2021-04-08,227.929993,231.250000,227.720001,229.940002,229.251907,2019500
2021-04-09,230.139999,232.369995,229.029999,232.360001,231.664658,1502000
2021-04-12,231.559998,235.229996,231.089996,234.839996,234.137238,2576900
2021-04-13,238.419998,247.899994,237.199997,242.839996,242.113312,6157000
2021-04-14,241.669998,242.000000,236.899994,237.300003,236.589890,2611000
2021-04-15,238.119995,243.360001,237.009995,242.589996,241.864044,2300000
2021-04-16,243.380005,243.880005,241.520004,243.059998,242.332642,1840600
2021-04-19,241.839996,242.720001,239.949997,241.990005,241.265839,2020000
2021-04-20,240.169998,243.169998,240.169998,241.850006,241.126251,1323200
2021-04-21,242.550003,245.320007,240.960007,244.399994,243.668640,1845000
2021-04-22,248.050003,256.100006,248.050003,252.919998,252.163132,3993600
2021-04-23,252.970001,259.980011,252.720001,259.779999,259.002594,3563100
2021-04-26,259.549988,260.369995,257.730011,258.100006,257.327637,2077400
2021-04-27,257.799988,259.380005,255.300003,258.019989,257.247864,1910000
2021-04-28,255.800003,258.940002,255.309998,258.390015,257.616791,1430700
2021-04-29,259.760010,259.839996,255.610001,256.579987,255.812164,1711200
2021-04-30,255.330002,257.380005,252.789993,253.940002,253.180084,2028200
2021-05-03,256.730011,256.899994,254.000000,254.669998,253.907913,1493700
2021-05-04,253.990005,256.250000,251.889999,256.029999,255.263824,2000400
2021-05-05,257.130005,257.700012,253.509995,254.500000,253.738403,1589700
2021-05-06,253.660004,257.190002,252.529999,256.989990,256.220947,1757200
2021-05-07,258.769989,261.429993,258.070007,258.480011,257.706512,2630500
2021-05-10,258.609985,260.660004,257.329987,259.029999,258.254883,2008900
2021-05-11,256.809998,258.549988,255.259995,257.910004,257.138214,1533100
2021-05-12,255.119995,256.399994,249.860001,250.279999,249.531021,1859600
2021-05-13,251.809998,254.160004,250.490005,252.669998,251.913879,1637600
2021-05-14,253.910004,256.790009,253.059998,253.580002,252.821167,2326800
2021-05-17,253.130005,254.679993,250.250000,250.910004,250.159164,1253700
2021-05-18,251.039993,252.710007,249.529999,249.929993,249.182068,1499000
2021-05-19,247.809998,249.460007,245.949997,249.330002,248.583878,1890500
2021-05-20,250.279999,255.279999,249.809998,254.919998,254.157135,2411700
2021-05-21,255.539993,257.390015,252.550003,252.570007,251.814194,1557000
2021-05-24,254.179993,255.070007,252.279999,253.910004,253.150177,2218000
2021-05-25,254.050003,255.389999,252.860001,255.139999,254.376511,3526400
2021-05-26,256.559998,256.559998,250.389999,251.770004,251.016586,3644200
2021-05-27,251.899994,255.660004,251.289993,255.229996,254.466217,4211500
2021-05-28,257.000000,260.510010,256.010010,256.140015,255.373520,2068100
2021-06-01,254.000000,254.000000,243.339996,245.210007,244.476212,6416400
2021-06-02,244.949997,245.740005,241.710007,242.009995,241.285767,3333000
2021-06-03,241.149994,242.740005,238.320007,241.009995,240.288773,3252000
2021-06-04,243.509995,244.529999,241.369995,242.270004,241.544998,1992000
2021-06-07,242.210007,243.169998,239.869995,240.240005,239.521103,2275400
2021-06-08,241.639999,241.830002,239.050003,240.199997,239.481201,2326300
2021-06-09,240.919998,241.500000,239.880005,240.699997,239.979691,1905000
2021-06-10,241.190002,246.750000,241.190002,246.259995,245.523056,2554100
2021-06-11,246.789993,247.720001,245.960007,247.020004,246.280807,2972100
2021-06-14,247.929993,247.929993,243.809998,247.410004,246.669632,1879300
2021-06-15,247.179993,247.889999,244.660004,245.100006,244.366531,2153600
2021-06-16,245.570007,246.380005,243.000000,244.740005,244.007629,1919300
2021-06-17,243.470001,258.980011,243.470001,257.079987,256.310669,5001000
2021-06-18,257.059998,259.929993,255.809998,256.970001,256.200989,4287500
2021-06-21,258.869995,262.730011,255.660004,262.589996,261.804199,2778900
2021-06-22,263.170013,267.720001,262.359985,267.040009,266.240906,3730100
2021-06-23,266.609985,270.619995,265.700012,268.649994,267.846039,3556500
2021-06-24,269.649994,270.630005,265.130005,267.350006,266.758484,3130200
2021-06-25,267.410004,270.130005,265.609985,266.559998,265.970245,3999100
2021-06-28,266.549988,272.339996,266.549988,271.690002,271.088898,2219900
2021-06-29,273.079987,273.079987,268.130005,270.869995,270.270691,3005500
2021-06-30,270.489990,270.609985,266.959991,268.359985,267.766266,1869300
2021-07-01,268.000000,272.290009,267.109985,272.209991,271.607727,1779400
2021-07-02,273.359985,274.100006,272.130005,274.029999,273.423706,1439000
2021-07-06,274.600006,278.869995,274.209991,278.720001,278.103333,2533300
2021-07-07,279.730011,280.500000,275.359985,278.549988,277.933716,1839700
2021-07-08,275.000000,277.829987,274.570007,276.980011,276.367188,1931500
2021-07-09,277.100006,278.250000,275.869995,277.470001,276.856110,1663500
2021-07-12,278.630005,279.940002,277.269989,278.010010,277.394897,1779500
2021-07-13,278.649994,279.959991,276.440002,276.750000,276.137665,1523400
2021-07-14,277.410004,277.859985,275.890015,276.119995,275.509064,1446600
2021-07-15,275.309998,281.589996,275.029999,280.950012,280.328400,2266800
2021-07-16,282.420013,286.160004,281.160004,284.790009,284.159912,2565500
2021-07-19,282.649994,285.179993,281.390015,283.750000,283.122192,2518000
2021-07-20,283.670013,287.000000,281.779999,283.600006,282.972504,2423400
2021-07-21,283.029999,283.540009,273.059998,279.799988,279.180908,2747900
2021-07-22,283.649994,290.239990,282.130005,288.959991,288.320648,2448200
2021-07-23,290.089996,292.369995,288.190002,291.269989,290.625549,2076200
2021-07-26,291.000000,293.130005,287.279999,290.179993,289.537964,2018100
2021-07-27,291.000000,292.250000,289.070007,290.600006,289.957031,1731900
2021-07-28,289.279999,293.940002,289.279999,292.880005,292.232025,2148400
2021-07-29,293.369995,298.690002,293.010010,297.630005,296.971497,1780000
2021-07-30,297.160004,299.730011,296.040009,297.489990,296.831787,2230000
2021-08-02,299.170013,300.000000,295.010010,297.040009,296.382813,1195200
2021-08-03,297.799988,302.690002,297.209991,302.329987,301.661072,1953400
2021-08-04,302.510010,307.100006,302.510010,305.619995,304.943817,1585300
2021-08-05,306.059998,308.390015,304.649994,307.140015,306.460449,1406800
2021-08-06,307.410004,307.940002,303.739990,307.279999,306.600128,1661400
2021-08-09,307.619995,309.140015,305.799988,307.970001,307.288635,1540400
2021-08-10,308.519989,312.700012,307.869995,308.880005,308.196594,1553800
2021-08-11,309.290009,312.679993,307.799988,310.570007,309.882874,2123700
2021-08-12,309.850006,314.589996,309.380005,313.769989,313.075745,1935100
2021-08-13,315.839996,315.839996,312.730011,315.260010,314.562500,1373400
2021-08-16,315.000000,319.109985,314.100006,318.799988,318.094635,1621000
2021-08-17,319.260010,321.309998,318.029999,320.950012,320.239899,1758300
2021-08-18,321.149994,323.420013,314.720001,314.970001,314.273132,3323500
2021-08-19,313.049988,320.760010,312.540009,319.790009,319.082458,3226400
2021-08-20,321.320007,323.200012,319.450012,321.540009,320.828613,3295700
2021-08-23,321.679993,322.660004,318.489990,318.619995,317.915039,2740700
2021-08-24,318.920013,322.290009,318.170013,320.649994,319.940552,1756200
2021-08-25,319.769989,321.579987,318.570007,319.480011,318.773132,1342800
2021-08-26,320.000000,320.980011,316.549988,318.339996,317.635651,1286200
2021-08-27,319.059998,321.790009,317.579987,319.100006,318.393982,1316300
2021-08-30,320.880005,327.440002,320.529999,327.010010,326.286499,1711300
2021-08-31,328.269989,329.470001,322.109985,324.160004,323.442810,2410200
2021-09-01,323.589996,328.119995,321.040009,327.600006,326.875183,2187500
2021-09-02,329.500000,332.989990,328.359985,331.429993,330.696686,2273500
2021-09-03,330.269989,333.290009,328.609985,332.429993,331.694489,1333800
2021-09-07,330.649994,331.899994,327.209991,330.000000,329.269867,1930500
2021-09-08,329.290009,331.980011,327.649994,330.510010,329.778748,1811800
2021-09-09,330.500000,332.250000,327.609985,328.380005,327.653473,1483000
2021-09-10,330.779999,333.959991,329.869995,329.989990,329.259888,2443800
2021-09-13,331.000000,331.510010,316.350006,321.450012,320.738800,2032300
2021-09-14,323.869995,326.940002,322.140015,324.089996,323.372955,1888400
2021-09-15,322.799988,328.489990,317.359985,325.260010,324.540375,2353300
2021-09-16,325.859985,326.709991,321.609985,324.000000,323.283142,1794100
2021-09-17,324.839996,329.179993,321.820007,324.529999,323.811951,3459600
2021-09-20,320.010010,325.690002,320.010010,324.109985,323.392883,3170800
2021-09-21,325.000000,327.429993,323.950012,324.700012,323.981598,1874900
2021-09-22,325.899994,326.220001,323.179993,324.130005,323.412842,1796800
2021-09-23,325.149994,327.079987,323.220001,325.029999,324.310883,2262700
2021-09-24,324.940002,326.119995,322.230011,324.500000,323.782043,1411700
2021-09-27,321.549988,322.540009,313.559998,316.000000,315.300842,1811700
2021-09-28,308.920013,311.549988,300.970001,303.950012,303.277496,3721600
2021-09-29,305.720001,309.209991,305.220001,306.609985,306.143127,2054000
2021-09-30,308.670013,311.179993,304.179993,304.440002,303.976440,2831500
2021-10-01,306.980011,306.980011,290.059998,302.320007,301.859680,2668600
2021-10-04,301.739990,303.600006,297.130005,298.570007,298.115387,2302300
2021-10-05,301.750000,303.709991,299.410004,299.519989,299.063934,1763200
2021-10-06,298.820007,300.619995,295.369995,300.600006,300.142303,1640700
2021-10-07,302.790009,306.619995,302.579987,302.609985,302.149200,1668300
2021-10-08,302.929993,304.029999,299.070007,299.769989,299.313538,1078000
2021-10-11,299.299988,302.480011,297.549988,298.739990,298.285095,1121500
2021-10-12,300.559998,300.559998,293.540009,296.850006,296.397980,2548300
2021-10-13,298.769989,299.140015,294.730011,295.859985,295.409454,2762000
2021-10-14,298.559998,303.700012,298.559998,300.429993,299.972534,2820100
2021-10-15,301.130005,302.660004,300.329987,301.380005,300.921082,2957900
2021-10-18,301.109985,305.510010,299.399994,304.179993,303.716797,1767500
2021-10-19,306.309998,310.399994,305.739990,308.480011,308.010284,1828000
2021-10-20,314.429993,315.630005,311.000000,314.820007,314.340637,2587100
2021-10-21,314.500000,314.500000,302.000000,310.739990,310.266846,2872100
2021-10-22,311.119995,314.149994,309.470001,313.380005,312.902832,2174000
2021-10-25,312.480011,313.720001,305.269989,306.100006,305.633911,2306400
2021-10-26,307.570007,309.720001,305.640015,306.929993,306.462646,1354400
2021-10-27,308.190002,310.279999,304.440002,305.239990,304.775208,1878800
2021-10-28,305.750000,307.980011,303.309998,304.570007,304.106232,2407600
2021-10-29,303.420013,312.000000,302.679993,311.769989,311.295258,2761700
2021-11-01,312.899994,314.980011,308.200012,309.679993,309.208435,1863400
2021-11-02,310.329987,314.829987,308.670013,313.250000,312.773010,2748500
2021-11-03,314.649994,314.649994,303.750000,310.850006,310.376678,2891000
2021-11-04,310.920013,311.519989,303.519989,305.989990,305.524078,3328600
2021-11-05,294.970001,295.559998,282.510010,292.079987,291.635254,6803400
2021-11-08,294.619995,301.950012,293.350006,301.350006,300.891144,2920700
2021-11-09,302.160004,302.649994,297.359985,299.190002,298.734436,1858000
2021-11-10,297.549988,302.660004,297.549988,302.029999,301.570099,2230500
2021-11-11,303.720001,306.109985,302.179993,304.540009,304.076294,2153700
2021-11-12,305.500000,307.440002,301.950012,304.380005,303.916534,2735000
2021-11-15,304.059998,308.299988,299.119995,299.679993,299.223663,3125900
2021-11-16,301.170013,308.390015,299.630005,305.589996,305.124664,2751800
2021-11-17,310.000000,310.700012,306.510010,309.670013,309.198486,2434200
2021-11-18,309.959991,313.480011,308.049988,312.649994,312.173920,1991500
2021-11-19,315.089996,321.190002,313.559998,314.130005,313.651703,2331200
2021-11-22,313.829987,317.010010,308.799988,313.730011,313.252289,2211300
2021-11-23,310.170013,313.970001,307.920013,313.519989,313.042603,1774900
2021-11-24,312.850006,315.929993,310.709991,315.480011,314.999634,1557800
2021-11-26,320.700012,331.489990,319.950012,323.959991,323.466705,3078300
2021-11-29,323.309998,329.450012,323.119995,326.519989,326.022797,3088700
2021-11-30,328.429993,331.690002,319.910004,321.640015,321.150269,3342300
2021-12-01,320.299988,325.809998,315.760010,319.720001,319.233185,2344000
2021-12-02,318.119995,322.779999,315.000000,316.059998,315.578735,2881300
2021-12-03,319.309998,321.869995,310.359985,312.940002,312.463501,3016500
2021-12-06,311.279999,314.350006,304.540009,306.899994,306.432678,2432700
2021-12-07,311.959991,316.450012,311.829987,313.350006,312.872864,2172500
2021-12-08,313.989990,319.630005,313.260010,318.260010,317.775391,2224100
2021-12-09,320.420013,321.899994,316.809998,319.279999,318.793823,1969500
2021-12-10,318.769989,323.079987,317.179993,317.489990,317.006531,1865200
2021-12-13,318.440002,320.299988,315.989990,318.510010,318.025024,2725700
2021-12-14,315.850006,317.059998,303.929993,307.700012,307.231506,3234700
2021-12-15,310.630005,315.320007,307.880005,314.980011,314.500397,2980600
2021-12-16,315.709991,323.130005,312.779999,318.489990,318.005035,4022400
2021-12-17,316.600006,318.290009,310.739990,313.410004,312.932770,7941400
2021-12-20,312.910004,315.739990,306.679993,314.290009,313.811432,2918300
2021-12-21,316.119995,316.119995,308.440002,313.920013,313.442017,2189000
2021-12-22,315.760010,320.690002,315.399994,319.679993,319.193237,2190600
2021-12-23,318.410004,322.480011,317.640015,320.790009,320.301544,1209800
2021-12-27,324.730011,327.890015,322.839996,327.410004,326.911469,1066100
2021-12-28,326.720001,328.589996,322.540009,323.440002,322.947510,1234200
2021-12-29,325.420013,327.670013,323.019989,326.579987,326.294556,2006800
2021-12-30,327.239990,330.459991,326.489990,328.470001,328.182922,1150300
2021-12-31,328.260010,331.230011,327.390015,329.010010,328.722473,1276500
2022-01-03,327.119995,328.570007,312.380005,315.760010,315.484039,3664000
2022-01-04,313.000000,316.040009,305.369995,307.260010,306.991455,4472300
2022-01-05,309.500000,310.959991,305.239990,305.299988,305.033173,3722900
2022-01-06,304.549988,306.299988,299.160004,303.920013,303.654388,1992100
2022-01-07,302.809998,303.480011,293.799988,295.670013,295.411591,3231600
2022-01-10,294.200012,303.230011,291.000000,303.029999,302.765167,3375400
2022-01-11,305.119995,309.320007,300.640015,305.329987,305.063141,4094800
2022-01-12,306.380005,308.339996,303.660004,306.380005,306.112244,2633400
2022-01-13,304.799988,306.369995,290.940002,292.049988,291.794739,3503400
2022-01-14,289.880005,293.679993,288.190002,293.309998,293.053650,3170900
2022-01-18,289.200012,290.209991,285.279999,288.399994,288.147949,4166400
2022-01-19,289.609985,293.690002,286.940002,287.029999,286.779144,2980300
