Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,367.500000,369.170013,361.540009,368.160004,368.160004,458700
2021-04-06,363.489990,378.700012,363.489990,373.000000,373.000000,812900
2021-04-07,373.570007,373.690002,366.589996,369.399994,369.399994,450600
2021-04-08,377.320007,382.269989,372.179993,378.380005,378.380005,432000
2021-04-09,378.399994,383.170013,373.100006,382.890015,382.890015,431300
2021-04-12,380.269989,388.640015,376.880005,387.149994,387.149994,590000
2021-04-13,384.299988,390.190002,382.739990,388.100006,388.100006,474600
2021-04-14,389.040009,393.480011,385.980011,391.100006,391.100006,510300
2021-04-15,394.309998,401.059998,392.929993,399.489990,399.489990,525500
2021-04-16,400.570007,401.649994,393.640015,400.040009,400.040009,550000
2021-04-19,396.600006,399.010010,391.649994,393.040009,393.040009,389700
2021-04-20,389.809998,395.579987,383.269989,388.910004,388.910004,725700
2021-04-21,391.329987,403.600006,388.750000,401.619995,401.619995,568200
2021-04-22,403.140015,413.619995,403.140015,410.380005,410.380005,799600
2021-04-23,408.549988,416.589996,408.000000,415.000000,415.000000,409700
2021-04-26,415.829987,419.000000,410.420013,418.769989,418.769989,521800
2021-04-27,416.839996,423.000000,416.839996,421.700012,421.700012,756400
2021-04-28,418.269989,426.619995,417.170013,425.769989,425.769989,511800
2021-04-29,428.000000,428.940002,418.649994,421.700012,421.700012,732600
2021-04-30,400.000000,403.160004,384.820007,386.100006,386.100006,2744400
2021-05-03,386.100006,386.549988,375.500000,380.570007,380.570007,930600
2021-05-04,378.630005,378.970001,366.230011,371.420013,371.420013,934500
2021-05-05,371.989990,374.140015,360.750000,365.940002,365.940002,841300
2021-05-06,360.750000,362.880005,350.649994,357.339996,357.339996,870200
2021-05-07,362.570007,370.380005,358.500000,358.739990,358.739990,712400
2021-05-10,359.269989,359.269989,342.420013,342.690002,342.690002,826600
2021-05-11,337.519989,354.980011,336.179993,348.000000,348.000000,1566300
2021-05-12,344.000000,344.000000,329.559998,333.480011,333.480011,1130400
2021-05-13,336.339996,338.000000,318.450012,323.959991,323.959991,1267600
2021-05-14,326.700012,336.380005,324.589996,333.250000,333.250000,804800
2021-05-17,331.200012,333.679993,321.929993,325.399994,325.399994,813000
2021-05-18,329.989990,337.480011,328.869995,330.109985,330.109985,835000
2021-05-19,323.470001,332.899994,323.000000,332.290009,332.290009,550300
2021-05-20,336.079987,345.760010,333.700012,344.299988,344.299988,517000
2021-05-21,344.589996,351.500000,341.559998,342.089996,342.089996,630500
2021-05-24,346.739990,363.010010,343.739990,355.390015,355.390015,1385500
2021-05-25,354.790009,359.220001,352.829987,353.250000,353.250000,614800
2021-05-26,349.589996,357.980011,348.920013,354.690002,354.690002,931100
2021-05-27,353.619995,363.000000,348.079987,361.910004,361.910004,842600
2021-05-28,375.000000,378.440002,368.029999,369.390015,369.390015,867600
2021-06-01,371.200012,374.329987,361.579987,365.670013,365.670013,661500
2021-06-02,365.309998,372.410004,362.989990,370.989990,370.989990,671800
2021-06-03,366.989990,378.869995,366.989990,376.739990,376.739990,701900
2021-06-04,379.519989,387.950012,375.000000,382.910004,382.910004,603700
2021-06-07,384.010010,392.209991,380.760010,386.980011,386.980011,467200
2021-06-08,388.290009,393.309998,384.619995,389.950012,389.950012,804100
2021-06-09,395.000000,398.149994,389.570007,390.029999,390.029999,428200
2021-06-10,390.399994,399.679993,386.500000,398.980011,398.980011,1010100
2021-06-11,401.089996,401.910004,396.519989,400.190002,400.190002,610100
2021-06-14,400.309998,409.720001,399.190002,409.089996,409.089996,785900
2021-06-15,410.000000,415.609985,404.000000,405.100006,405.100006,620900
2021-06-16,405.799988,408.720001,397.869995,403.750000,403.750000,767400
2021-06-17,402.820007,417.420013,400.079987,412.450012,412.450012,756200
2021-06-18,411.910004,419.190002,411.119995,418.290009,418.290009,1004100
2021-06-21,418.290009,424.279999,407.619995,423.029999,423.029999,641500
2021-06-22,420.880005,427.589996,417.540009,427.510010,427.510010,589200
2021-06-23,427.850006,433.100006,423.260010,431.720001,431.720001,595600
2021-06-24,433.200012,439.619995,424.489990,425.000000,425.000000,1190900
2021-06-25,425.600006,430.480011,419.630005,430.359985,430.359985,3361600
2021-06-28,431.489990,431.579987,422.450012,427.160004,427.160004,1182900
2021-06-29,425.750000,427.369995,418.600006,426.799988,426.799988,687200
2021-06-30,424.540009,427.890015,422.470001,427.000000,427.000000,704800
2021-07-01,424.989990,428.019989,420.739990,426.839996,426.839996,548900
2021-07-02,428.459991,433.000000,426.200012,431.589996,431.589996,367100
2021-07-06,432.049988,442.600006,428.130005,440.649994,440.649994,546900
2021-07-07,444.480011,449.149994,437.130005,447.519989,447.519989,940700
2021-07-08,440.630005,447.329987,435.420013,446.970001,446.970001,631200
2021-07-09,445.119995,445.489990,436.290009,440.730011,440.730011,510200
2021-07-12,445.420013,448.859985,441.529999,445.769989,445.769989,375500
2021-07-13,445.380005,449.820007,442.029999,446.390015,446.390015,492800
2021-07-14,448.489990,449.739990,438.839996,440.489990,440.489990,520300
2021-07-15,438.940002,442.170013,433.910004,441.420013,441.420013,545200
2021-07-16,442.549988,451.429993,440.970001,448.690002,448.690002,682800
2021-07-19,444.119995,451.470001,431.959991,435.049988,435.049988,786400
2021-07-20,434.880005,451.329987,431.149994,447.700012,447.700012,788600
2021-07-21,449.489990,449.799988,437.000000,446.980011,446.980011,431000
2021-07-22,448.760010,452.760010,446.140015,450.890015,450.890015,345100
2021-07-23,452.649994,463.220001,450.369995,460.720001,460.720001,609500
2021-07-26,458.790009,458.790009,450.739990,452.579987,452.579987,386700
2021-07-27,452.290009,454.579987,445.269989,448.579987,448.579987,479200
2021-07-28,448.559998,461.000000,447.600006,459.920013,459.920013,440500
2021-07-29,459.640015,466.209991,455.410004,456.049988,456.049988,748100
2021-07-30,476.700012,524.309998,473.239990,515.510010,515.510010,2418300
2021-08-02,517.190002,517.219971,497.500000,511.350006,511.350006,713500
2021-08-03,512.359985,522.809998,511.230011,521.219971,521.219971,536100
2021-08-04,520.799988,527.099976,513.150024,514.530029,514.530029,1157300
2021-08-05,513.409973,525.369995,508.260010,523.929993,523.929993,449000
2021-08-06,519.250000,522.109985,506.000000,516.640015,516.640015,550400
2021-08-09,517.840027,523.849976,512.719971,517.580017,517.580017,1000500
2021-08-10,516.979980,518.260010,499.049988,499.940002,499.940002,766300
2021-08-11,502.019989,504.019989,488.540009,490.260010,490.260010,1018700
2021-08-12,492.260010,499.329987,490.260010,492.850006,492.850006,446700
2021-08-13,491.260010,495.399994,487.000000,491.410004,491.410004,336800
2021-08-16,492.170013,507.269989,488.850006,506.179993,506.179993,463000
2021-08-17,504.359985,511.559998,501.970001,510.239990,510.239990,338000
2021-08-18,508.799988,514.150024,508.519989,509.540009,509.540009,539400
2021-08-19,506.149994,512.450012,504.019989,505.549988,505.549988,560400
2021-08-20,505.100006,522.840027,503.029999,518.989990,518.989990,486600
2021-08-23,517.960022,517.960022,509.109985,512.719971,512.719971,470800
2021-08-24,508.000000,522.460022,508.000000,515.299988,515.299988,391000
2021-08-25,514.400024,519.190002,511.700012,517.559998,517.559998,240500
2021-08-26,517.239990,528.299988,514.409973,517.059998,517.059998,562900
2021-08-27,518.609985,524.789978,514.429993,520.710022,520.710022,387000
2021-08-30,521.590027,526.950012,517.700012,521.539978,521.539978,528700
2021-08-31,523.549988,530.440002,518.030029,529.419983,529.419983,580000
2021-09-01,531.900024,547.530029,526.940002,544.919983,544.919983,837500
2021-09-02,545.809998,555.000000,537.849976,539.710022,539.710022,535900
2021-09-03,536.119995,544.380005,532.130005,542.429993,542.429993,393300
2021-09-07,545.409973,554.960022,542.750000,551.659973,551.659973,459600
2021-09-08,545.869995,558.320007,545.000000,550.549988,550.549988,409300
2021-09-09,541.359985,558.429993,538.260010,552.659973,552.659973,586500
2021-09-10,558.330017,559.750000,549.080017,549.380005,549.380005,377100
2021-09-13,541.469971,542.849976,527.169983,540.429993,540.429993,685400
2021-09-14,542.570007,549.719971,540.130005,542.229980,542.229980,376700
2021-09-15,544.650024,553.789978,536.130005,551.669983,551.669983,359600
2021-09-16,556.000000,567.809998,555.799988,565.130005,565.130005,548300
2021-09-17,560.000000,564.799988,555.809998,563.140015,563.140015,841400
2021-09-20,560.450012,566.219971,547.119995,557.760010,557.760010,783000
2021-09-21,561.570007,563.510010,553.340027,553.789978,553.789978,441600
