Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,279.500000,279.500000,273.679993,275.799988,268.842438,554800
2021-04-06,274.450012,276.790009,273.670013,275.859985,268.900970,421100
2021-04-07,277.299988,283.489990,276.170013,282.829987,275.695099,403200
2021-04-08,281.160004,283.709991,280.540009,281.579987,274.476654,327600
2021-04-09,283.709991,283.910004,280.869995,283.329987,276.182495,245800
2021-04-12,283.609985,283.950012,278.260010,283.720001,276.562653,358200
2021-04-13,283.420013,286.470001,282.500000,286.420013,279.194550,377600
2021-04-14,286.109985,287.519989,281.029999,281.410004,274.310974,227300
2021-04-15,283.200012,289.510010,283.200012,289.160004,281.865479,539600
2021-04-16,291.000000,291.160004,287.070007,289.489990,282.187103,300800
2021-04-19,290.929993,292.000000,288.420013,290.570007,283.239868,185400
2021-04-20,290.450012,296.239990,290.450012,294.869995,287.431396,293700
2021-04-21,294.950012,297.880005,293.190002,297.010010,289.517426,178400
2021-04-22,297.320007,298.739990,294.149994,294.359985,286.934235,278600
2021-04-23,294.839996,298.799988,293.640015,297.339996,289.839081,175800
2021-04-26,299.000000,300.739990,295.470001,296.880005,289.390686,300100
2021-04-27,298.170013,298.649994,294.850006,297.040009,289.546631,267900
2021-04-28,296.000000,296.320007,286.119995,286.970001,279.730652,576500
2021-04-29,288.290009,289.359985,283.079987,286.170013,278.950867,504700
2021-04-30,286.100006,291.010010,285.000000,290.519989,283.191132,674600
2021-05-03,291.200012,291.200012,286.149994,286.809998,279.574707,356500
2021-05-04,286.600006,288.359985,281.540009,283.660004,276.504211,560500
2021-05-05,282.209991,282.540009,278.299988,280.899994,273.813782,408700
2021-05-06,281.660004,286.980011,281.070007,285.290009,278.093079,270000
2021-05-07,283.859985,289.130005,283.859985,288.880005,281.592499,473800
2021-05-10,290.929993,293.649994,289.109985,291.359985,284.009949,345800
2021-05-11,289.910004,290.769989,286.609985,290.529999,283.200897,308400
2021-05-12,291.260010,291.260010,279.630005,281.269989,274.174469,423700
2021-05-13,281.220001,289.579987,280.859985,287.899994,280.637238,195300
2021-05-14,287.850006,290.029999,286.910004,288.369995,281.095367,216400
2021-05-17,289.329987,290.440002,287.350006,288.130005,280.861420,310000
2021-05-18,288.239990,292.589996,286.690002,290.850006,283.512817,289100
2021-05-19,286.709991,288.540009,283.420013,285.320007,278.122314,231900
2021-05-20,284.250000,288.670013,284.250000,288.510010,281.231812,242300
2021-05-21,288.239990,290.329987,287.559998,288.119995,280.851685,306300
2021-05-24,289.570007,293.769989,288.619995,292.359985,284.984711,249700
2021-05-25,292.359985,293.600006,290.910004,292.850006,285.462341,241400
2021-05-26,293.279999,294.950012,291.549988,293.040009,285.647552,268200
2021-05-27,294.500000,294.679993,291.480011,291.500000,284.146423,503000
2021-05-28,292.980011,296.739990,292.049988,295.290009,287.840820,315900
2021-06-01,295.799988,302.309998,295.040009,301.950012,294.332794,288100
2021-06-02,303.450012,308.700012,302.100006,308.170013,300.395905,527700
2021-06-03,305.959991,309.200012,304.769989,307.820007,300.054688,446900
2021-06-04,309.390015,309.390015,303.989990,305.170013,297.471527,299900
2021-06-07,305.779999,312.890015,304.839996,310.619995,302.784058,385800
2021-06-08,310.619995,313.399994,309.929993,312.070007,304.197510,330300
2021-06-09,313.119995,313.119995,309.859985,310.040009,302.218719,321800
