Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,177.660004,178.330002,174.500000,176.020004,176.020004,2639200
2021-04-06,174.440002,177.630005,174.179993,174.699997,174.699997,1943800
2021-04-07,175.000000,175.500000,170.380005,172.039993,172.039993,3002900
2021-04-08,171.399994,175.419998,170.410004,174.570007,174.570007,2553300
2021-04-09,175.490005,175.589996,170.839996,174.979996,174.979996,2032900
2021-04-12,173.210007,175.250000,169.550003,171.710007,171.710007,1776700
2021-04-13,171.410004,172.699997,167.550003,170.929993,170.929993,2644600
2021-04-14,171.919998,174.949997,171.270004,171.720001,171.720001,2408800
2021-04-15,171.960007,172.509995,169.199997,170.550003,170.550003,1969500
2021-04-16,172.100006,174.770004,170.979996,173.910004,173.910004,2454300
2021-04-19,172.509995,177.880005,172.059998,175.619995,175.619995,2324000
2021-04-20,174.080002,174.940002,166.750000,170.460007,170.460007,2839400
2021-04-21,170.490005,176.759995,168.529999,176.259995,176.259995,2163900
2021-04-22,176.460007,180.089996,174.889999,175.649994,175.649994,1977600
2021-04-23,176.660004,178.669998,175.070007,177.559998,177.559998,1559700
2021-04-26,179.330002,181.520004,176.339996,176.679993,176.679993,1715700
2021-04-27,177.029999,179.580002,176.029999,177.080002,177.080002,1903300
2021-04-28,176.750000,179.660004,176.199997,177.600006,177.600006,1795100
2021-04-29,179.029999,180.639999,175.100006,177.869995,177.869995,1465500
2021-04-30,177.479996,178.449997,174.669998,176.229996,176.229996,1029900
2021-05-03,178.250000,179.630005,174.470001,174.820007,174.820007,1970100
2021-05-04,175.460007,175.559998,170.440002,173.449997,173.449997,2134400
2021-05-05,174.089996,176.229996,170.000000,170.919998,170.919998,1967500
2021-05-06,170.039993,170.919998,162.619995,164.820007,164.820007,3719400
2021-05-07,175.440002,180.050003,172.009995,173.460007,173.460007,6284500
2021-05-10,173.559998,177.429993,170.729996,173.089996,173.089996,4584300
2021-05-11,170.000000,173.380005,167.820007,172.399994,172.399994,3895200
2021-05-12,171.210007,171.990005,161.639999,161.990005,161.990005,4637200
2021-05-13,164.750000,169.050003,163.699997,167.720001,167.720001,3282900
2021-05-14,169.990005,173.050003,168.250000,171.800003,171.800003,2460500
2021-05-17,170.009995,170.210007,166.800003,169.449997,169.449997,2438200
2021-05-18,169.919998,172.000000,168.020004,168.100006,168.100006,2227400
2021-05-19,164.899994,167.759995,164.160004,167.070007,167.070007,2056900
2021-05-20,167.250000,170.190002,166.250000,169.139999,169.139999,1816900
2021-05-21,170.020004,171.250000,167.190002,168.059998,168.059998,1698000
2021-05-24,169.000000,172.309998,167.789993,171.100006,171.100006,1938300
2021-05-25,174.520004,175.589996,171.690002,173.059998,173.059998,1886300
2021-05-26,172.970001,175.169998,172.419998,174.830002,174.830002,1971200
2021-05-27,175.000000,175.369995,172.800003,174.110001,174.110001,2221300
2021-05-28,172.880005,178.139999,172.880005,176.949997,176.949997,1895400
2021-06-01,178.809998,179.589996,176.809998,177.309998,177.309998,1623900
2021-06-02,177.910004,178.270004,174.919998,175.169998,175.169998,1992400
2021-06-03,173.559998,174.940002,170.339996,170.750000,170.750000,1854000
2021-06-04,172.039993,173.479996,171.070007,171.419998,171.419998,1418600
2021-06-07,172.800003,172.800003,168.449997,170.350006,170.350006,2073400
2021-06-08,170.350006,173.179993,170.330002,172.610001,172.610001,1390700
2021-06-09,173.210007,174.110001,171.669998,172.800003,172.800003,1479100
2021-06-10,173.050003,173.419998,169.320007,171.580002,171.580002,1178200
2021-06-11,172.199997,174.449997,171.729996,172.940002,172.940002,1460200
2021-06-14,173.619995,173.960007,168.460007,169.139999,169.139999,2263500
2021-06-15,169.520004,171.309998,168.449997,170.000000,170.000000,1547800
2021-06-16,168.830002,170.080002,166.160004,167.960007,167.960007,2006200
2021-06-17,167.660004,169.339996,164.910004,165.919998,165.919998,2402800
2021-06-18,165.580002,165.710007,161.649994,162.929993,162.929993,3585900
2021-06-21,163.360001,168.490005,162.800003,167.919998,167.919998,2218900
2021-06-22,168.520004,168.929993,165.160004,166.929993,166.929993,1397200
2021-06-23,166.679993,170.029999,166.250000,168.949997,168.949997,1243000
2021-06-24,169.929993,170.520004,168.309998,170.050003,170.050003,1118300
2021-06-25,170.520004,172.779999,169.009995,170.990005,170.990005,4977100
2021-06-28,170.039993,170.240005,158.889999,163.550003,163.550003,4900600
2021-06-29,163.759995,164.289993,159.539993,159.899994,159.899994,2555500
2021-06-30,159.750000,164.240005,159.139999,163.710007,163.710007,2048700
2021-07-01,164.389999,167.729996,164.210007,167.029999,167.029999,2247200
2021-07-02,167.990005,169.289993,166.970001,167.419998,167.419998,1843600
2021-07-06,166.690002,167.789993,164.399994,165.570007,165.570007,1548900
2021-07-07,165.419998,166.940002,161.139999,162.960007,162.960007,1668900
2021-07-08,158.710007,162.580002,156.509995,161.559998,161.559998,2222400
2021-07-09,163.520004,168.460007,163.029999,167.740005,167.740005,1812700
2021-07-12,166.580002,167.570007,164.580002,167.350006,167.350006,1702600
2021-07-13,166.770004,166.970001,161.630005,162.020004,162.020004,2902600
2021-07-14,163.630005,167.240005,160.330002,160.990005,160.990005,2202700
2021-07-15,159.509995,160.630005,157.800003,159.289993,159.289993,2239400
