Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,80.900002,81.000000,75.160004,75.400002,73.614342,3868400
2021-04-06,76.500000,78.940002,75.250000,75.459999,73.672920,2533100
2021-04-07,75.029999,76.919998,74.870003,76.309998,74.502785,2096400
2021-04-08,75.610001,75.629997,73.580002,75.199997,73.419067,3255900
2021-04-09,75.699997,76.540001,74.040001,74.800003,73.028542,1823800
2021-04-12,75.540001,76.589996,73.230003,73.879997,72.130333,1633600
2021-04-13,74.699997,76.860001,74.010002,75.760002,73.965813,1941400
2021-04-14,76.870003,81.419998,76.870003,80.339996,78.437340,2961400
2021-04-15,79.160004,79.959999,77.930000,79.080002,77.207191,1816900
2021-04-16,79.550003,79.889999,77.430000,77.540001,75.703659,1588200
2021-04-19,78.000000,79.910004,77.040001,77.669998,75.830566,1754400
2021-04-20,77.250000,77.260002,73.120003,74.269997,72.511093,2708500
2021-04-21,73.209999,75.839996,72.339996,75.260002,73.477654,1693000
2021-04-22,75.580002,76.150002,73.660004,75.279999,73.497185,1292700
2021-04-23,75.879997,76.699997,74.750000,76.129997,74.327049,1147400
2021-04-26,75.550003,78.260002,75.550003,77.459999,75.625557,1192000
2021-04-27,77.580002,79.599998,77.300003,79.320000,77.441505,1302400
2021-04-28,79.949997,84.580002,79.820000,83.680000,81.698257,2791100
2021-04-29,85.000000,87.599998,83.570000,84.339996,82.342606,2104800
2021-04-30,83.279999,85.089996,81.360001,81.730003,79.794434,1718100
2021-05-03,83.480003,84.550003,82.010002,83.919998,81.932556,1988800
2021-05-04,83.839996,84.489998,78.309998,79.199997,77.324341,4645800
2021-05-05,80.070000,86.099998,78.750000,83.120003,81.151505,4667800
2021-05-06,83.419998,83.529999,79.839996,82.250000,80.302116,2412900
2021-05-07,80.599998,84.480003,80.150002,84.209999,82.215691,2096300
2021-05-10,85.459999,87.180000,82.239998,82.760002,80.800034,2036400
2021-05-11,79.639999,81.809998,77.279999,79.800003,77.910141,2528200
2021-05-12,80.570000,85.860001,78.750000,79.480003,77.988640,3715300
2021-05-13,78.000000,80.639999,75.099998,76.199997,74.770172,3031000
2021-05-14,77.690002,79.300003,76.699997,78.699997,77.223267,2573900
2021-05-17,78.400002,80.519997,77.760002,80.360001,78.852119,2344800
2021-05-18,80.660004,81.190002,78.690002,80.000000,78.498878,2063900
2021-05-19,77.239998,79.029999,75.459999,77.919998,76.457909,2713000
2021-05-20,77.750000,77.760002,74.599998,76.529999,75.093987,2686900
2021-05-21,77.900002,79.260002,75.900002,76.309998,74.878105,2688600
2021-05-24,76.820000,77.699997,75.330002,77.300003,75.849548,2324900
2021-05-25,77.440002,77.879997,75.330002,75.480003,74.063698,1535600
2021-05-26,75.480003,78.550003,75.150002,78.290001,76.820961,2386200
2021-05-27,78.959999,80.250000,78.110001,79.339996,77.851257,1741600
2021-05-28,79.870003,80.239998,78.540001,80.070000,78.567558,1361500
2021-06-01,82.879997,86.839996,82.400002,86.610001,84.984840,4189300
2021-06-02,87.239998,89.070000,85.050003,86.440002,84.818039,2704700
2021-06-03,85.980003,87.540001,84.599998,86.519997,84.896523,2083100
2021-06-04,87.309998,87.879997,84.029999,85.820000,84.209671,2294200
2021-06-07,86.309998,87.849998,85.750000,87.190002,85.553963,1269800
2021-06-08,87.180000,90.180000,85.099998,89.639999,87.957993,2686300
2021-06-09,90.120003,92.110001,87.849998,88.279999,86.623512,2792100
2021-06-10,90.309998,90.750000,85.959999,86.989998,85.357712,1771300
2021-06-11,87.150002,88.449997,86.709999,87.269997,85.632462,1406800
2021-06-14,88.459999,89.610001,85.379997,86.440002,84.818039,1526300
2021-06-15,87.230003,91.139999,87.040001,90.849998,89.145287,2721500
2021-06-16,90.070000,91.750000,88.870003,90.370003,88.674301,1672300
2021-06-17,89.949997,91.250000,84.139999,86.889999,85.259598,2811400
2021-06-18,84.410004,87.239998,84.199997,86.180000,84.562912,4276700
2021-06-21,86.629997,92.309998,86.510002,91.500000,89.783089,2736700
2021-06-22,90.470001,91.660004,88.639999,91.330002,89.616287,2022300
2021-06-23,92.360001,95.779999,91.809998,91.910004,90.185410,2321800
2021-06-24,91.269997,94.459999,91.110001,94.250000,92.481491,1762500
2021-06-25,94.769997,96.639999,93.559998,96.309998,94.502831,4894100
2021-06-28,95.529999,95.940002,91.879997,92.470001,90.734886,2340300
2021-06-29,93.320000,95.230003,91.980003,92.620003,90.882080,1710900
2021-06-30,93.529999,95.419998,92.610001,93.889999,92.128250,2110500
2021-07-01,97.000000,102.529999,95.089996,99.599998,97.731102,5577400
2021-07-02,97.760002,99.059998,96.750000,98.059998,96.219994,1773000
