Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,71.559998,72.470001,71.260002,71.940002,71.657768,2076000
2021-04-06,71.809998,72.309998,70.879997,71.199997,70.920670,2188600
2021-04-07,71.150002,71.989998,70.930000,71.400002,71.119896,1812500
2021-04-08,71.269997,71.449997,70.230003,70.250000,69.974396,2995700
2021-04-09,70.430000,71.080002,69.949997,70.959999,70.681610,2996700
2021-04-12,71.220001,73.650002,70.949997,73.559998,73.271408,2052700
2021-04-13,73.260002,73.449997,72.589996,72.970001,72.683723,1960300
2021-04-14,72.900002,73.209999,72.059998,72.370003,72.086082,1331800
2021-04-15,72.440002,72.769997,71.879997,72.209999,71.926712,1824300
2021-04-16,72.900002,73.260002,71.945000,72.379997,72.096039,2314200
2021-04-19,72.129997,72.445000,71.699997,72.349998,72.066154,1391300
2021-04-20,72.550003,72.959999,71.860001,72.559998,72.275345,1563600
2021-04-21,72.610001,74.190002,72.550003,73.910004,73.620049,2373600
2021-04-22,73.730003,74.413002,73.080002,73.519997,73.231567,3049500
2021-04-23,73.830002,74.110001,73.589996,73.959999,73.669838,2173800
2021-04-26,74.099998,74.300003,73.540001,73.680000,73.390945,1606200
2021-04-27,73.599998,74.419998,73.195000,74.199997,73.908897,2099700
2021-04-28,74.209999,74.830002,73.919998,74.230003,73.938797,1560600
2021-04-29,74.690002,75.000000,73.919998,74.860001,74.566315,1358700
2021-04-30,72.485001,73.709999,70.709999,70.820000,70.542160,4803100
2021-05-03,71.349998,72.379997,70.849998,71.250000,70.970474,1913600
2021-05-04,71.139999,71.970001,70.930000,71.839996,71.558159,1468300
2021-05-05,71.910004,72.110001,71.129997,71.690002,71.408752,1307000
2021-05-06,72.110001,72.559998,71.680000,72.449997,72.165771,1113700
2021-05-07,72.529999,73.349998,72.129997,72.820000,72.534309,1398400
2021-05-10,73.269997,73.925003,71.599998,71.629997,71.348984,3503300
2021-05-11,71.440002,71.555000,69.970001,70.150002,69.874794,5750400
2021-05-12,70.000000,70.510002,68.290001,68.379997,68.111732,2389700
2021-05-13,68.550003,69.889999,68.220001,69.470001,69.197464,1502200
2021-05-14,69.830002,70.805000,69.709999,70.610001,70.332993,1682900
2021-05-17,70.309998,70.879997,69.889999,70.580002,70.303101,1821400
2021-05-18,70.620003,71.019997,69.209999,69.239998,68.968361,1852600
2021-05-19,68.139999,69.180000,67.449997,69.120003,68.848831,3183900
2021-05-20,70.099998,71.029999,70.040001,70.500000,70.223427,2125200
2021-05-21,71.010002,71.760002,70.889999,71.570000,71.289230,2666900
2021-05-24,72.000000,72.470001,71.330002,71.959999,71.677696,1864000
2021-05-25,71.879997,72.330002,71.565002,71.629997,71.348984,1712900
2021-05-26,71.709999,72.169998,71.440002,71.949997,71.667725,1660400
2021-05-27,72.430000,72.754997,71.974998,72.269997,72.056580,5931000
2021-05-28,72.250000,72.820000,72.129997,72.519997,72.305840,1650300
2021-06-01,73.070000,73.480003,71.675003,72.190002,71.976822,2688900
2021-06-02,72.160004,73.558998,71.970001,73.440002,73.223129,2695800
2021-06-03,73.029999,73.889999,72.529999,73.550003,73.332802,2189400
2021-06-04,73.769997,73.980003,73.099998,73.459999,73.243073,1553800
2021-06-07,73.540001,73.699997,72.099998,72.739998,72.525192,2530700
2021-06-08,72.709999,72.730003,71.830002,72.029999,71.817284,2199700
2021-06-09,71.910004,71.940002,71.019997,71.070000,70.860123,2289200
2021-06-10,71.230003,71.459999,70.209999,70.470001,70.261894,2931700
2021-06-11,70.930000,71.489998,70.324997,71.440002,71.229034,2891300
2021-06-14,71.440002,71.440002,70.300003,71.110001,70.900002,2997700
2021-06-15,71.120003,71.699997,70.790001,71.519997,71.308792,3437600
2021-06-16,71.489998,71.489998,70.120003,70.180000,69.972755,3887600
2021-06-17,70.040001,70.320000,68.779999,69.500000,69.294762,4626700
2021-06-18,68.559998,69.525002,68.480003,68.949997,68.746384,6326500
2021-06-21,69.050003,69.769997,68.919998,69.519997,69.314690,3409900
2021-06-22,69.480003,69.790001,68.828003,69.589996,69.384491,3255500
2021-06-23,69.629997,69.879997,69.000000,69.070000,68.866028,2675400
2021-06-24,69.250000,69.559998,68.809998,69.480003,69.274818,2884200
2021-06-25,69.900002,70.379997,69.480003,69.930000,69.723488,4984400
2021-06-28,70.160004,70.595001,68.955002,70.209999,70.002663,4240700
2021-06-29,70.320000,70.610001,69.629997,70.169998,69.962776,2732000
2021-06-30,69.940002,70.489998,69.550003,69.739998,69.534050,4115600
2021-07-01,69.889999,70.815002,69.889999,70.589996,70.381538,3083600
2021-07-02,70.779999,70.919998,70.440002,70.720001,70.511154,2475600
2021-07-06,70.699997,70.699997,69.070000,69.739998,69.534050,4027700
2021-07-07,69.589996,70.980003,69.400002,70.699997,70.491211,4748400
2021-07-08,69.815002,70.190002,69.250000,69.570000,69.364555,3168300
2021-07-09,70.410004,71.120003,70.095001,70.680000,70.471275,1665600
2021-07-12,70.970001,71.059998,70.070000,70.449997,70.241959,2392400
2021-07-13,71.070000,71.570000,70.389999,70.580002,70.371567,3617200
2021-07-14,70.989998,71.010002,69.879997,70.769997,70.561005,1560000
2021-07-15,70.419998,70.860001,70.209999,70.400002,70.192101,2275500
2021-07-16,70.620003,70.849998,69.839996,69.910004,69.703552,1752600
2021-07-19,68.779999,69.139999,67.470001,68.370003,68.168098,3292500
2021-07-20,68.690002,70.029999,68.550003,69.800003,69.593880,2142400
2021-07-21,69.879997,70.339996,69.529999,69.559998,69.354584,2305200
2021-07-22,69.750000,69.750000,68.739998,69.160004,68.955765,2681400
2021-07-23,69.589996,69.675003,68.925003,69.309998,69.105316,2623400
2021-07-26,69.370003,69.555000,68.430000,68.970001,68.766327,2222100
2021-07-27,68.510002,69.019997,67.949997,68.769997,68.566910,4765500
2021-07-28,68.949997,69.250000,68.389999,68.839996,68.636703,3038000
2021-07-29,69.110001,69.540001,68.529999,69.040001,68.836128,4176600
2021-07-30,71.919998,72.790001,70.400002,72.660004,72.445435,5504500
2021-08-02,73.300003,74.889999,72.970001,73.500000,73.282951,5490600
2021-08-03,73.669998,74.779999,73.430000,74.570000,74.349792,2521400
2021-08-04,74.150002,74.495003,73.519997,73.599998,73.382652,1963400
2021-08-05,73.989998,74.180000,73.254997,73.510002,73.292923,2026500
2021-08-06,73.699997,74.610001,73.370003,74.489998,74.270027,1813000
2021-08-09,74.260002,74.480003,73.849998,74.150002,73.931030,1225000
2021-08-10,74.180000,74.820000,73.925003,74.510002,74.289970,1588200
2021-08-11,74.639999,75.209999,74.190002,74.980003,74.758583,2130300
2021-08-12,75.000000,75.824997,74.820000,75.610001,75.386711,2029800
2021-08-13,75.959999,76.220001,75.269997,75.959999,75.735680,1350500
2021-08-16,75.839996,75.839996,75.269997,75.660004,75.436569,1519500
2021-08-17,75.440002,75.440002,74.150002,74.760002,74.539230,1703700
2021-08-18,74.309998,74.849998,73.830002,73.919998,73.701706,1859400
2021-08-19,73.360001,73.730003,72.830002,73.459999,73.243073,2835800
2021-08-20,73.470001,73.934998,73.150002,73.430000,73.213158,1942600
2021-08-23,73.820000,74.000000,73.040001,73.110001,72.894104,1347900
2021-08-24,73.300003,74.040001,73.250000,73.699997,73.482353,1213400
2021-08-25,73.800003,74.419998,73.279999,74.360001,74.140411,1167600
2021-08-26,74.080002,74.169998,73.370003,73.459999,73.243073,2111300
2021-08-27,73.839996,74.570000,73.739998,74.070000,73.851265,1738900
2021-08-30,74.260002,74.720001,73.980003,74.120003,73.901115,1217600
2021-08-31,74.070000,74.220001,73.570000,73.870003,73.651863,1818500
2021-09-01,74.019997,74.260002,73.290001,73.910004,73.691742,1453300
2021-09-02,74.360001,74.959999,74.230003,74.949997,74.728661,1436100
2021-09-03,74.849998,75.669998,74.669998,75.500000,75.277039,2179900
2021-09-07,75.519997,75.839996,73.724998,73.769997,73.552147,2209700
2021-09-08,73.529999,74.349998,73.250000,74.160004,73.941002,1735400
2021-09-09,74.309998,76.110001,74.144997,75.779999,75.627594,4626300
2021-09-10,76.169998,76.510002,75.199997,75.309998,75.158539,2827300
2021-09-13,75.870003,76.239998,74.250000,74.870003,74.719437,2286800
2021-09-14,75.379997,75.379997,74.089996,74.980003,74.829216,3032200
2021-09-15,74.930000,75.438004,74.385002,74.699997,74.549774,3156200
2021-09-16,74.540001,75.050003,74.089996,74.209999,74.060760,2872400
2021-09-17,73.570000,74.680000,72.510002,72.739998,72.593712,6939700
2021-09-20,71.389999,72.080002,70.790001,71.730003,71.585747,2304900
2021-09-21,71.839996,72.614998,71.239998,72.230003,72.084740,3646500
2021-09-22,73.000000,73.650002,72.699997,73.199997,73.052788,2248100
2021-09-23,73.389999,74.189003,73.300003,73.610001,73.461967,1658100
2021-09-24,73.580002,74.080002,73.230003,73.260002,73.112671,1248300
2021-09-27,73.089996,74.074997,73.059998,73.290001,73.142616,1632800
2021-09-28,72.949997,73.250000,72.269997,72.500000,72.354195,2412800
2021-09-29,72.629997,72.900002,72.279999,72.330002,72.184540,1504300
2021-09-30,72.459999,72.750000,70.559998,70.570000,70.428078,1841100
2021-10-01,70.940002,71.449997,70.029999,71.019997,70.877167,1540900
2021-10-04,71.190002,71.589996,70.330002,71.089996,70.947029,2013800
2021-10-05,71.209999,71.980003,70.690002,70.940002,70.797333,2407000
2021-10-06,70.110001,70.690002,69.324997,70.419998,70.278374,3115500
2021-10-07,71.050003,71.860001,70.887001,71.430000,71.286346,1283200
2021-10-08,71.080002,71.290001,70.430000,70.760002,70.617699,1228200
2021-10-11,71.089996,71.570000,70.449997,70.470001,70.328278,1544700
2021-10-12,70.480003,70.889999,69.580002,69.949997,69.809319,2028000
2021-10-13,69.949997,71.199997,69.750000,71.070000,70.927071,2009600
2021-10-14,71.730003,72.364998,71.430000,72.309998,72.164574,1939800
2021-10-15,72.879997,73.220001,72.129997,72.660004,72.513878,4951000
2021-10-18,72.080002,72.779999,71.639999,72.620003,72.473961,1452900
2021-10-19,73.110001,73.970001,72.919998,73.849998,73.701477,2136800
2021-10-20,74.080002,74.964996,73.760002,74.419998,74.270332,1355500
2021-10-21,73.989998,74.879997,73.684998,74.849998,74.699471,1116000
2021-10-22,74.980003,74.980003,74.290001,74.400002,74.250381,960700
2021-10-25,74.400002,75.110001,73.900002,74.379997,74.230415,1272800
2021-10-26,74.540001,74.970001,74.089996,74.480003,74.330215,1067400
2021-10-27,74.620003,75.010002,74.041000,74.070000,73.921036,2050800
2021-10-28,74.320000,74.989998,74.220001,74.959999,74.809250,2153000
2021-10-29,72.205002,76.099998,72.205002,75.709999,75.557747,3579100
2021-11-01,75.720001,77.040001,75.480003,76.599998,76.445946,3289800
2021-11-02,77.000000,77.749001,76.661003,76.989998,76.835167,3178100
2021-11-03,76.599998,77.239998,76.169998,76.730003,76.575691,1961000
2021-11-04,76.889999,78.500000,76.889999,78.059998,77.903015,1588100
2021-11-05,78.709999,78.989998,78.139999,78.709999,78.551712,1686100
2021-11-08,79.139999,79.580002,78.099998,78.110001,77.952919,1531100
2021-11-09,78.169998,78.639999,77.809998,78.629997,78.471863,1169000
2021-11-10,78.709999,78.879997,78.050003,78.589996,78.431946,1001400
2021-11-11,78.529999,78.599998,77.315002,77.620003,77.463905,927600
2021-11-12,77.980003,78.379997,77.580002,78.250000,78.092628,862300
2021-11-15,78.480003,78.860001,77.860001,78.029999,77.873070,1774600
2021-11-16,78.199997,79.190002,78.169998,78.559998,78.402008,1075000
2021-11-17,78.480003,79.180000,77.949997,79.070000,78.910988,1579900
2021-11-18,79.150002,79.220001,78.129997,78.769997,78.611588,1401200
2021-11-19,78.919998,79.559998,78.599998,79.129997,78.970863,913300
2021-11-22,79.269997,79.870003,78.500000,78.660004,78.501816,1306800
2021-11-23,78.959999,79.050003,78.120003,78.370003,78.212395,1362600
2021-11-24,77.870003,78.180000,77.190002,78.029999,77.942688,1820300
2021-11-26,76.389999,77.138000,75.440002,75.720001,75.635277,1227200
2021-11-29,76.360001,76.680000,75.400002,76.230003,76.144707,1676000
2021-11-30,75.709999,76.435997,73.830002,73.870003,73.787354,4615500
2021-12-01,74.849998,75.720001,73.500000,73.540001,73.457718,2290600
2021-12-02,73.769997,74.599998,73.019997,74.250000,74.166924,4072400
2021-12-03,74.430000,76.930000,73.449997,74.529999,74.446609,2456200
2021-12-06,75.129997,75.436996,74.400002,74.519997,74.436615,2089900
2021-12-07,75.260002,76.110001,74.849998,75.099998,75.015968,1515000
2021-12-08,75.279999,75.879997,74.809998,75.650002,75.565353,1666500
2021-12-09,75.510002,75.815002,75.059998,75.139999,75.055923,943900
2021-12-10,75.449997,75.750000,74.730003,75.160004,75.075905,1154300
2021-12-13,75.110001,75.570000,74.680000,74.919998,74.836174,1673000
2021-12-14,74.680000,75.320000,73.695000,74.010002,73.927193,1133600
2021-12-15,74.279999,75.440002,74.059998,75.290001,75.205757,1485100
2021-12-16,75.680000,76.242996,74.809998,75.339996,75.255699,1277300
2021-12-17,75.089996,75.089996,72.709999,72.889999,72.808441,2744500
2021-12-20,72.230003,72.360001,70.639999,71.500000,71.419998,1525100
2021-12-21,71.989998,72.699997,71.440002,72.589996,72.508774,1942600
2021-12-22,72.639999,73.029999,72.029999,72.650002,72.568710,1475200
2021-12-23,72.900002,74.959999,72.800003,74.500000,74.416641,1579800
2021-12-27,74.779999,75.419998,74.660004,75.370003,75.285675,823300
2021-12-28,75.500000,76.010002,75.430000,75.629997,75.545372,766900
2021-12-29,75.750000,75.860001,75.169998,75.809998,75.725174,1219800
2021-12-30,76.089996,76.500000,75.940002,76.029999,75.944931,856000
2021-12-31,75.949997,76.620003,75.843002,76.290001,76.204643,866200
2022-01-03,75.660004,76.529999,73.175003,73.570000,73.487679,2785300
2022-01-04,73.940002,74.459999,73.540001,73.870003,73.787354,2281600
2022-01-05,74.209999,74.779999,72.029999,72.309998,72.229088,2781200
2022-01-06,72.599998,73.050003,72.080002,72.449997,72.368935,1374900
2022-01-07,72.349998,72.779999,71.750000,71.949997,71.869492,1822000
2022-01-10,71.519997,72.209999,70.459999,72.089996,72.009338,2488700
2022-01-11,72.379997,73.529999,71.790001,73.419998,73.337845,2490700
2022-01-12,73.730003,74.110001,73.139999,73.750000,73.667480,2052000
2022-01-13,74.040001,74.389999,73.279999,73.529999,73.447723,2694900
2022-01-14,72.720001,73.089996,71.440002,72.500000,72.418877,3180300
2022-01-18,71.510002,73.199997,70.974998,72.760002,72.678589,3738800
2022-01-19,73.019997,73.220001,71.809998,72.239998,72.159172,2522600
2022-01-20,72.529999,72.918999,71.199997,71.309998,71.230209,2197900
2022-01-21,71.070000,72.029999,70.389999,71.760002,71.679710,7303600
2022-01-24,70.940002,72.150002,69.790001,71.959999,71.879486,2778800
2022-01-25,70.860001,70.970001,69.180000,69.879997,69.801811,2600600
2022-01-26,70.559998,71.430000,69.012001,69.629997,69.552086,2124500
2022-01-27,69.959999,70.430000,68.070000,68.660004,68.583183,2582900
2022-01-28,68.309998,69.764999,67.580002,69.709999,69.632004,2353600
2022-01-31,69.459999,70.730003,69.038002,70.540001,70.461075,2809400
2022-02-01,70.199997,70.921997,69.709999,70.629997,70.550972,2691000
2022-02-02,70.589996,71.779999,70.349998,71.620003,71.539864,2893500
2022-02-03,69.220001,69.690002,66.040001,66.050003,65.976097,8557500
2022-02-04,65.160004,65.639999,63.040001,64.389999,64.317955,5975600
2022-02-07,64.260002,64.500000,63.599998,63.880001,63.808525,3591700
2022-02-08,63.880001,65.660004,63.630001,65.570000,65.496635,3232500
2022-02-09,66.379997,67.199997,66.209999,66.480003,66.405617,2636000
2022-02-10,65.099998,66.589996,64.769997,65.760002,65.686424,3261300
2022-02-11,65.775002,66.279999,64.690002,65.260002,65.186981,5221700
2022-02-14,65.169998,65.800003,64.730003,65.050003,64.977219,2918900
2022-02-15,65.980003,66.209999,65.300003,65.690002,65.616501,1993300
2022-02-16,65.190002,65.690002,64.394997,65.360001,65.286873,1897000
2022-02-17,64.830002,64.849998,63.160000,63.369999,63.299095,5404400
2022-02-18,63.720001,64.800003,63.386002,63.750000,63.678669,3022700
2022-02-22,63.029999,64.014999,62.970001,63.700001,63.628727,3935700
2022-02-23,63.869999,63.930000,62.419998,62.560001,62.490002,3035000
2022-02-24,61.419998,64.430000,60.959999,64.370003,64.370003,3797800
2022-02-25,64.129997,65.830002,63.980000,65.489998,65.489998,2643600
2022-02-28,64.430000,65.029999,64.029999,64.750000,64.750000,2866000
2022-03-01,64.599998,64.839996,62.884998,63.360001,63.360001,3060900
