Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,327.000000,329.250000,322.299988,325.040009,325.040009,480900
2021-04-06,326.000000,342.279999,326.000000,333.640015,333.640015,784000
2021-04-07,329.440002,332.019989,323.690002,326.019989,326.019989,566200
2021-04-08,329.660004,332.970001,325.519989,331.910004,331.910004,458400
2021-04-09,332.089996,332.440002,324.260010,330.410004,330.410004,374900
2021-04-12,326.670013,329.399994,319.260010,328.339996,328.339996,448400
2021-04-13,329.010010,331.559998,323.380005,328.470001,328.470001,363400
2021-04-14,330.119995,337.929993,324.829987,325.570007,325.570007,482200
2021-04-15,329.179993,329.399994,323.679993,327.049988,327.049988,454600
2021-04-16,330.000000,333.779999,327.570007,332.230011,332.230011,587000
2021-04-19,329.000000,330.450012,314.109985,318.679993,318.679993,734100
2021-04-20,319.140015,322.109985,308.299988,313.769989,313.769989,565800
2021-04-21,312.869995,323.029999,312.440002,323.019989,323.019989,419800
2021-04-22,326.329987,329.049988,319.540009,321.660004,321.660004,392800
2021-04-23,323.649994,332.160004,322.670013,330.579987,330.579987,527500
2021-04-26,332.450012,335.250000,325.579987,330.820007,330.820007,351800
2021-04-27,335.130005,340.980011,330.589996,331.750000,331.750000,393100
2021-04-28,328.059998,330.190002,315.130005,316.160004,316.160004,989700
2021-04-29,338.000000,338.940002,322.119995,337.179993,337.179993,1565000
2021-04-30,333.980011,336.029999,320.000000,323.950012,323.950012,877900
2021-05-03,325.839996,328.500000,321.649994,325.250000,325.250000,545900
2021-05-04,319.959991,321.179993,305.750000,312.989990,312.989990,828600
2021-05-05,318.899994,322.859985,312.549988,319.329987,319.329987,473800
2021-05-06,315.290009,320.010010,310.119995,318.160004,318.160004,641000
2021-05-07,319.519989,328.000000,318.720001,327.380005,327.380005,438100
2021-05-10,323.369995,325.320007,304.019989,305.209991,305.209991,887700
2021-05-11,293.989990,308.690002,290.000000,304.619995,304.619995,774500
2021-05-12,296.559998,304.010010,287.820007,289.179993,289.179993,1110400
2021-05-13,294.170013,301.100006,286.820007,293.359985,293.359985,802700
2021-05-14,295.480011,301.809998,294.070007,300.890015,300.890015,524400
2021-05-17,298.619995,299.859985,290.119995,293.950012,293.950012,525500
2021-05-18,297.660004,302.420013,294.390015,295.859985,295.859985,771200
2021-05-19,290.429993,302.269989,288.149994,301.600006,301.600006,773100
2021-05-20,304.559998,310.839996,303.670013,308.529999,308.529999,549300
2021-05-21,311.119995,313.130005,306.779999,308.679993,308.679993,545900
2021-05-24,311.570007,313.890015,308.600006,310.640015,310.640015,526900
2021-05-25,314.769989,316.679993,309.149994,312.899994,312.899994,514300
2021-05-26,313.350006,321.160004,313.350006,320.209991,320.209991,694600
2021-05-27,322.630005,326.940002,321.209991,326.220001,326.220001,2156300
2021-05-28,327.250000,330.890015,325.500000,328.720001,328.720001,553400
2021-06-01,331.570007,333.959991,320.769989,321.750000,321.750000,674000
2021-06-02,321.929993,322.350006,317.549988,320.690002,320.690002,351500
2021-06-03,322.380005,324.109985,314.010010,316.399994,316.399994,364800
2021-06-04,318.750000,328.250000,318.750000,327.399994,327.399994,449300
2021-06-07,326.829987,330.529999,325.369995,329.959991,329.959991,318100
2021-06-08,339.399994,355.000000,339.290009,350.799988,350.799988,1415700
2021-06-09,350.790009,352.279999,343.049988,343.709991,343.709991,559400
2021-06-10,341.929993,347.920013,341.709991,344.619995,344.619995,446000
2021-06-11,346.609985,349.630005,345.119995,349.179993,349.179993,328700
2021-06-14,352.269989,356.359985,351.100006,355.089996,355.089996,527200
2021-06-15,354.980011,362.390015,354.450012,362.260010,362.260010,780400
2021-06-16,363.500000,377.010010,362.250000,369.700012,369.700012,1324800
2021-06-17,369.010010,381.010010,365.239990,378.940002,378.940002,967800
2021-06-18,375.359985,391.619995,374.609985,386.399994,386.399994,1420500
2021-06-21,387.000000,390.559998,376.420013,389.209991,389.209991,890000
2021-06-22,389.209991,399.579987,388.209991,396.769989,396.769989,833700
2021-06-23,400.000000,407.700012,397.040009,406.119995,406.119995,869100
2021-06-24,409.279999,409.380005,390.160004,392.619995,392.619995,1109900
2021-06-25,397.779999,400.640015,391.010010,396.049988,396.049988,1564400
2021-06-28,399.980011,412.100006,399.980011,409.190002,409.190002,960500
2021-06-29,408.000000,411.739990,405.450012,410.420013,410.420013,501400
2021-06-30,408.839996,417.489990,407.480011,415.149994,415.149994,540200
2021-07-01,414.000000,415.600006,406.570007,413.410004,413.410004,650100
2021-07-02,415.250000,419.000000,408.339996,415.200012,415.200012,924200
2021-07-06,416.880005,433.410004,416.000000,429.350006,429.350006,994300
2021-07-07,434.000000,440.000000,425.350006,432.769989,432.769989,741800
2021-07-08,417.089996,428.500000,413.880005,426.600006,426.600006,799400
2021-07-09,430.000000,437.079987,425.359985,436.369995,436.369995,397700
2021-07-12,440.920013,452.920013,434.190002,448.149994,448.149994,843400
2021-07-13,448.100006,451.440002,443.109985,445.230011,445.230011,893300
2021-07-14,448.779999,449.910004,434.000000,436.730011,436.730011,832300
2021-07-15,437.730011,442.690002,427.399994,432.859985,432.859985,805800
2021-07-16,433.399994,435.480011,426.839996,430.339996,430.339996,748700
2021-07-19,423.239990,434.320007,415.000000,434.250000,434.250000,702700
2021-07-20,436.809998,438.489990,431.779999,436.420013,436.420013,659000
2021-07-21,437.700012,448.450012,435.119995,447.339996,447.339996,596400
2021-07-22,448.899994,450.989990,442.779999,444.589996,444.589996,442200
2021-07-23,441.709991,451.019989,441.709991,449.640015,449.640015,340700
2021-07-26,451.339996,457.000000,441.230011,444.649994,444.649994,476300
2021-07-27,441.010010,442.239990,430.910004,438.920013,438.920013,692700
2021-07-28,406.119995,438.000000,383.100006,431.040009,431.040009,2889900
2021-07-29,432.459991,436.980011,410.000000,419.299988,419.299988,1514500
2021-07-30,417.619995,427.269989,415.179993,419.359985,419.359985,803800
2021-08-02,421.320007,421.320007,396.200012,400.000000,400.000000,1273400
2021-08-03,403.119995,410.779999,396.200012,402.089996,402.089996,939900
2021-08-04,403.000000,407.329987,397.589996,400.239990,400.239990,742100
2021-08-05,401.000000,406.070007,399.049988,403.720001,403.720001,745200
2021-08-06,409.029999,423.790009,407.190002,415.040009,415.040009,760500
2021-08-09,414.000000,419.850006,411.480011,417.859985,417.859985,473400
2021-08-10,420.000000,426.649994,415.089996,419.089996,419.089996,495400
2021-08-11,419.359985,420.660004,411.029999,417.220001,417.220001,601500
2021-08-12,415.109985,423.799988,413.670013,423.320007,423.320007,672800
2021-08-13,423.549988,424.579987,411.839996,414.100006,414.100006,530200
2021-08-16,414.299988,414.299988,408.010010,410.190002,410.190002,566800
2021-08-17,407.459991,407.459991,385.570007,389.989990,389.989990,955300
2021-08-18,389.109985,397.589996,386.989990,390.049988,390.049988,528600
2021-08-19,385.230011,397.500000,385.000000,391.850006,391.850006,429300
2021-08-20,391.950012,404.989990,391.950012,400.320007,400.320007,594900
2021-08-23,402.929993,417.720001,401.250000,415.029999,415.029999,628300
2021-08-24,414.959991,422.109985,414.959991,418.899994,418.899994,481000
2021-08-25,420.000000,429.200012,418.700012,425.869995,425.869995,497000
2021-08-26,424.579987,429.339996,422.880005,427.470001,427.470001,382700
2021-08-27,428.329987,442.279999,428.329987,437.109985,437.109985,754300
2021-08-30,447.839996,458.100006,440.670013,442.700012,442.700012,921500
2021-08-31,443.420013,443.480011,434.399994,436.980011,436.980011,803200
2021-09-01,440.470001,442.839996,434.809998,438.709991,438.709991,621800
2021-09-02,443.500000,453.579987,443.079987,453.010010,453.010010,577700
2021-09-03,451.510010,458.570007,448.820007,453.750000,453.750000,538900
2021-09-07,453.750000,455.000000,437.829987,445.549988,445.549988,574000
2021-09-08,443.329987,450.839996,440.410004,443.209991,443.209991,474700
2021-09-09,445.920013,460.000000,445.089996,455.239990,455.239990,568500
2021-09-10,456.029999,466.920013,450.989990,451.309998,451.309998,526300
2021-09-13,452.709991,453.359985,429.299988,438.690002,438.690002,697800
2021-09-14,437.790009,441.799988,429.500000,433.540009,433.540009,390100
2021-09-15,434.000000,443.200012,430.149994,441.540009,441.540009,428600
2021-09-16,441.049988,441.049988,434.619995,440.700012,440.700012,465400
2021-09-17,436.549988,443.660004,434.640015,435.359985,435.359985,1323900
2021-09-20,424.690002,426.899994,412.589996,421.170013,421.170013,695300
2021-09-21,424.500000,429.329987,416.559998,425.220001,425.220001,551100
2021-09-22,428.459991,445.089996,427.059998,442.269989,442.269989,631200
2021-09-23,446.649994,458.970001,446.000000,454.019989,454.019989,678700
2021-09-24,449.679993,456.959991,444.609985,444.609985,444.609985,533900
2021-09-27,440.899994,449.239990,434.890015,443.799988,443.799988,418300
2021-09-28,436.000000,438.339996,421.190002,425.339996,425.339996,598500
2021-09-29,430.179993,430.179993,395.140015,406.529999,406.529999,1441600
2021-09-30,409.890015,415.820007,405.690002,408.670013,408.670013,906400
2021-10-01,408.670013,409.989990,391.850006,404.950012,404.950012,671500
2021-10-04,404.260010,405.000000,392.019989,402.089996,402.089996,624000
2021-10-05,404.000000,411.880005,400.059998,403.000000,403.000000,416600
2021-10-06,395.630005,407.190002,393.130005,405.170013,405.170013,587600
2021-10-07,410.980011,422.500000,410.980011,417.579987,417.579987,464400
2021-10-08,417.450012,418.619995,404.179993,406.779999,406.779999,378900
2021-10-11,405.829987,417.989990,405.059998,409.570007,409.570007,386800
2021-10-12,415.100006,423.450012,414.589996,421.429993,421.429993,473500
2021-10-13,427.089996,430.809998,414.100006,418.910004,418.910004,601900
2021-10-14,426.649994,434.769989,420.149994,433.750000,433.750000,528300
2021-10-15,441.899994,457.989990,439.000000,451.940002,451.940002,896600
2021-10-18,446.179993,470.799988,442.779999,470.019989,470.019989,789400
2021-10-19,473.799988,476.309998,460.089996,462.839996,462.839996,514500
2021-10-20,464.850006,466.480011,454.269989,458.220001,458.220001,508000
2021-10-21,459.359985,472.040009,456.010010,471.709991,471.709991,419600
2021-10-22,472.790009,475.299988,463.209991,470.320007,470.320007,310700
2021-10-25,472.209991,475.559998,462.970001,470.119995,470.119995,628300
2021-10-26,475.390015,479.149994,466.459991,472.709991,472.709991,466700
2021-10-27,475.040009,497.869995,475.040009,488.880005,488.880005,789500
2021-10-28,488.910004,510.529999,488.010010,503.519989,503.519989,686600
2021-10-29,499.910004,503.500000,493.549988,498.559998,498.559998,651400
2021-11-01,500.000000,507.000000,491.179993,505.799988,505.799988,715600
2021-11-02,464.980011,524.309998,455.100006,483.579987,483.579987,1889600
2021-11-03,478.010010,480.899994,443.619995,453.399994,453.399994,1517800
2021-11-04,456.410004,462.010010,448.309998,452.029999,452.029999,840600
2021-11-05,452.000000,461.209991,441.540009,442.880005,442.880005,778300
2021-11-08,450.679993,451.559998,443.040009,448.549988,448.549988,566300
2021-11-09,448.670013,450.000000,435.570007,439.799988,439.799988,699600
2021-11-10,437.179993,449.480011,430.239990,440.390015,440.390015,700200
2021-11-11,443.079987,450.760010,441.010010,450.029999,450.029999,520700
2021-11-12,450.000000,454.119995,441.290009,446.869995,446.869995,373300
2021-11-15,443.940002,446.510010,431.450012,434.160004,434.160004,540100
2021-11-16,436.320007,442.279999,430.269989,438.679993,438.679993,530000
2021-11-17,439.130005,439.779999,426.149994,426.640015,426.640015,461100
2021-11-18,429.359985,430.320007,417.529999,422.089996,422.089996,487100
2021-11-19,425.420013,438.929993,420.679993,434.250000,434.250000,752700
2021-11-22,443.519989,463.459991,427.010010,439.989990,439.989990,1020300
2021-11-23,440.000000,447.269989,423.910004,432.829987,432.829987,585700
2021-11-24,429.140015,437.440002,421.929993,437.100006,437.100006,368000
