Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,209.289993,210.960007,206.740005,209.910004,208.572342,1074500
2021-04-06,208.399994,208.979996,207.470001,208.279999,206.952728,734200
2021-04-07,208.949997,210.960007,208.789993,209.679993,208.343826,977000
2021-04-08,209.940002,213.289993,209.940002,212.809998,211.453873,922200
2021-04-09,212.789993,213.529999,210.940002,213.300003,211.940750,745700
2021-04-12,213.279999,215.130005,212.479996,214.460007,213.093353,1008900
2021-04-13,213.050003,215.500000,212.570007,213.649994,212.288513,759600
2021-04-14,213.830002,216.149994,213.000000,213.389999,212.030167,1109000
2021-04-15,215.210007,219.139999,215.210007,217.639999,216.253067,1169300
2021-04-16,219.050003,220.250000,217.199997,217.800003,216.412079,973800
2021-04-19,217.460007,218.029999,214.710007,215.899994,214.524170,598900
2021-04-20,214.880005,215.339996,212.119995,213.029999,211.672470,843300
2021-04-21,213.809998,216.389999,213.449997,215.169998,213.798843,756200
2021-04-22,214.830002,217.880005,213.539993,216.179993,214.802383,894000
2021-04-23,215.919998,219.740005,215.100006,216.919998,215.537674,923800
2021-04-26,217.669998,220.809998,216.339996,218.360001,216.968506,933900
2021-04-27,218.210007,218.679993,215.830002,216.500000,215.120346,730000
2021-04-28,217.029999,219.990005,217.029999,217.869995,216.481613,583300
2021-04-29,219.229996,219.639999,216.539993,219.240005,217.842896,619200
2021-04-30,217.199997,217.740005,213.860001,214.630005,213.262283,1023100
2021-05-03,215.779999,216.750000,211.940002,212.470001,211.116043,1253600
2021-05-04,210.059998,210.119995,203.929993,205.500000,204.190460,1740800
2021-05-05,207.250000,207.250000,199.800003,200.250000,198.973907,1596500
2021-05-06,200.940002,201.160004,197.419998,200.880005,199.599915,1819000
2021-05-07,201.610001,202.839996,200.360001,201.410004,200.126511,1360600
2021-05-10,201.750000,201.979996,195.229996,195.309998,194.065384,1552500
2021-05-11,193.250000,196.580002,191.110001,195.059998,193.816986,1937700
2021-05-12,193.490005,196.669998,192.500000,194.929993,193.687790,2046700
2021-05-13,196.000000,198.339996,194.630005,196.679993,195.426651,1522700
2021-05-14,198.020004,200.250000,197.309998,198.929993,197.662308,1229400
2021-05-17,197.369995,198.130005,195.440002,196.809998,195.555832,960700
2021-05-18,197.429993,198.160004,195.339996,195.559998,194.313782,1388000
2021-05-19,192.089996,194.850006,190.949997,194.770004,193.528839,1747900
2021-05-20,195.630005,197.970001,194.830002,195.460007,194.214447,1606000
2021-05-21,196.289993,197.229996,193.470001,193.600006,192.366287,1894400
2021-05-24,195.130005,196.100006,194.460007,195.250000,194.005783,2180400
2021-05-25,195.240005,196.199997,193.770004,195.110001,193.866653,2013700
2021-05-26,194.580002,195.570007,192.190002,192.809998,191.581314,1747600
2021-05-27,194.000000,195.369995,192.789993,193.210007,191.978775,2154900
2021-05-28,194.000000,194.949997,192.679993,193.710007,192.475571,1638700
2021-06-01,195.380005,195.990005,193.250000,193.669998,192.435837,1220400
2021-06-02,194.669998,197.750000,194.080002,196.000000,194.750992,2119100
2021-06-03,193.919998,194.910004,192.240005,193.429993,192.197357,1447800
2021-06-04,194.729996,195.820007,193.630005,194.199997,192.962463,875800
2021-06-07,194.520004,195.119995,190.710007,191.199997,189.981583,1270500
2021-06-08,191.779999,193.199997,191.320007,191.500000,190.279663,1670800
2021-06-09,192.410004,193.949997,191.820007,191.949997,190.726791,1281900
2021-06-10,192.000000,192.889999,191.070007,191.669998,190.642258,1300300
2021-06-11,192.039993,194.289993,191.899994,193.500000,192.462448,1155200
2021-06-14,193.500000,193.630005,190.619995,192.210007,191.179367,2795100
2021-06-15,192.860001,195.139999,191.110001,194.350006,193.307892,1444600
2021-06-16,194.720001,195.500000,191.110001,191.949997,190.920746,1407400
2021-06-17,191.850006,196.399994,191.699997,193.270004,192.233673,1741400
2021-06-18,191.589996,194.059998,190.649994,190.830002,189.806763,2102600
2021-06-21,191.759995,194.820007,190.259995,193.679993,192.641464,1296700
2021-06-22,193.880005,194.410004,191.869995,193.559998,192.522110,1110300
2021-06-23,193.759995,193.759995,190.410004,190.789993,189.766968,1344000
2021-06-24,192.720001,193.130005,190.520004,191.509995,190.483109,1776700
2021-06-25,191.899994,192.750000,191.050003,192.229996,191.199249,2180700
2021-06-28,192.949997,193.639999,188.119995,189.630005,188.613205,1301300
2021-06-29,189.970001,190.779999,187.410004,187.520004,186.514526,1315400
2021-06-30,188.160004,188.720001,186.800003,187.539993,186.534393,1356700
2021-07-01,187.889999,192.570007,187.669998,192.210007,191.179367,1526400
2021-07-02,193.020004,193.789993,192.520004,193.360001,192.323196,1067100
2021-07-06,192.960007,193.990005,191.550003,192.850006,191.815933,1809400
2021-07-07,193.289993,193.789993,191.820007,192.000000,190.970490,1241200
2021-07-08,189.320007,189.869995,187.600006,188.119995,187.111282,1437100
2021-07-09,190.080002,193.820007,189.729996,190.369995,189.349228,1838400
2021-07-12,189.300003,189.940002,188.320007,189.600006,188.583374,1732300
2021-07-13,189.089996,192.589996,188.899994,191.100006,190.075333,1974100
2021-07-14,192.460007,193.770004,191.720001,193.020004,191.985016,2938500
2021-07-15,192.300003,196.630005,192.240005,195.160004,194.113556,2551900
2021-07-16,195.929993,196.880005,194.669998,194.729996,193.685852,1466800
2021-07-19,192.190002,192.240005,184.380005,186.050003,185.052399,2413000
2021-07-20,186.619995,190.429993,186.330002,188.750000,187.737915,1452400
2021-07-21,189.679993,191.990005,188.600006,191.809998,190.781509,1172100
2021-07-22,192.130005,192.929993,189.850006,191.070007,190.045486,1090100
2021-07-23,192.660004,194.300003,192.130005,193.029999,191.994965,963200
2021-07-26,192.330002,192.960007,190.399994,191.119995,190.095200,1272600
2021-07-27,190.179993,195.360001,190.179993,192.699997,191.666733,1761200
2021-07-28,193.000000,194.169998,190.910004,191.619995,190.592529,1679100
2021-07-29,193.059998,195.210007,192.910004,193.270004,192.233673,1490700
2021-07-30,192.279999,194.899994,191.660004,193.410004,192.372940,2135500
2021-08-02,194.059998,195.380005,170.619995,171.789993,170.868866,8546900
2021-08-03,174.479996,176.479996,164.789993,169.570007,168.660767,7111100
2021-08-04,168.119995,169.869995,164.039993,165.440002,164.552917,4024200
2021-08-05,166.039993,170.559998,165.949997,170.300003,169.386841,2596300
2021-08-06,172.000000,179.270004,170.880005,176.240005,175.294998,3401300
2021-08-09,176.279999,177.350006,172.750000,173.839996,172.907852,3212900
2021-08-10,173.669998,174.669998,169.259995,169.750000,168.839783,4329300
2021-08-11,170.869995,171.539993,168.330002,169.559998,168.650803,4280700
2021-08-12,170.000000,170.169998,166.440002,167.839996,166.940018,3321900
