Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,19.500000,19.910000,19.129999,19.879999,19.225229,4382900
2021-04-06,19.820000,20.070000,19.590000,19.940001,19.283255,6772200
2021-04-07,20.070000,20.170000,19.670000,19.920000,19.263914,2973000
2021-04-08,19.670000,19.969999,19.450001,19.930000,19.273584,2677100
2021-04-09,20.110001,20.400000,20.000000,20.360001,19.689423,2877400
2021-04-12,20.430000,20.600000,20.330000,20.549999,19.873163,2055700
2021-04-13,20.200001,20.330000,19.760000,20.049999,19.389629,3101000
2021-04-14,19.980000,20.309999,19.910000,20.080000,19.418642,2588000
2021-04-15,20.299999,20.309999,19.959999,20.040001,19.379961,3050300
2021-04-16,20.180000,20.400000,19.959999,20.260000,19.592714,4152200
2021-04-19,20.320000,20.340000,19.900000,20.090000,19.428314,3358300
2021-04-20,20.110001,20.160000,19.520000,19.760000,19.109182,3701600
2021-04-21,19.700001,20.709999,19.590000,20.590000,19.911846,4584100
2021-04-22,20.760000,21.010000,20.570000,20.639999,19.960197,5442700
2021-04-23,20.790001,21.049999,20.389999,20.930000,20.240648,4144100
2021-04-26,21.000000,21.330000,20.660000,20.860001,20.172955,2910400
2021-04-27,21.000000,21.490000,20.940001,21.160000,20.463072,3756800
2021-04-28,21.110001,21.330000,21.059999,21.100000,20.405046,2051700
2021-04-29,21.299999,21.480000,21.030001,21.120001,20.424391,5603500
2021-04-30,21.270000,21.450001,20.879999,21.059999,20.366365,7403300
2021-05-03,21.230000,21.510000,21.100000,21.290001,20.588791,3151800
2021-05-04,21.280001,21.540001,21.090000,21.500000,20.791874,3268100
2021-05-05,21.530001,22.010000,21.490000,21.900000,21.178698,3708200
2021-05-06,22.000000,22.049999,21.590000,21.900000,21.178698,5025000
2021-05-07,21.580000,22.400000,21.559999,22.370001,21.633221,3935300
2021-05-10,22.500000,22.820000,21.879999,21.900000,21.178698,5916000
2021-05-11,19.020000,19.709999,18.500000,19.280001,18.644993,20888900
2021-05-12,19.549999,19.780001,18.670000,18.760000,18.142118,13243400
2021-05-13,18.760000,19.320000,18.490000,18.750000,18.132448,5889700
2021-05-14,18.770000,19.440001,18.750000,19.180000,18.548286,6272100
