Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,15.730000,16.020000,15.580000,15.910000,15.424795,12192800
2021-04-06,15.860000,15.970000,15.790000,15.920000,15.434491,9396400
2021-04-07,15.900000,16.020000,15.780000,15.900000,15.415099,7076700
2021-04-08,15.900000,15.950000,15.640000,15.740000,15.259980,7950300
2021-04-09,15.750000,15.860000,15.670000,15.790000,15.308455,10800600
2021-04-12,15.800000,15.900000,15.720000,15.820000,15.337540,8039300
2021-04-13,15.800000,15.820000,15.550000,15.670000,15.192115,8504500
2021-04-14,15.620000,15.960000,15.620000,15.780000,15.298759,7802200
2021-04-15,15.910000,16.006001,15.795000,15.840000,15.356931,10702500
2021-04-16,15.930000,16.080000,15.900000,15.950000,15.463574,9283800
2021-04-19,15.950000,16.035000,15.865000,15.960000,15.473269,9789700
2021-04-20,16.010000,16.040001,15.660000,15.750000,15.269675,6549300
2021-04-21,15.750000,16.100000,15.670000,15.990000,15.502355,33335900
2021-04-22,16.000000,16.440001,15.900000,16.000000,15.512050,29016000
2021-04-23,16.040001,16.480000,15.950000,16.420000,15.919241,19607700
2021-04-26,16.389999,16.600000,16.184999,16.230000,15.735037,15533900
2021-04-27,16.280001,16.330000,16.090000,16.200001,15.705952,9498600
2021-04-28,16.209999,16.285000,16.080000,16.150000,15.657475,8810300
2021-04-29,16.340000,16.455000,16.200001,16.370001,15.870766,9696400
2021-04-30,16.340000,16.340000,15.895000,16.020000,15.531441,12526000
2021-05-03,16.040001,16.190001,15.860000,16.020000,15.531441,8367300
2021-05-04,16.000000,16.059999,15.755000,15.870000,15.386014,8524800
2021-05-05,15.910000,16.059999,15.720000,15.960000,15.473269,7480600
2021-05-06,16.020000,16.379999,15.905000,16.370001,15.870766,8715700
2021-05-07,16.340000,16.559999,16.191000,16.480000,15.977412,8737600
2021-05-10,16.500000,16.740000,16.379999,16.410000,15.909548,8074300
2021-05-11,16.020000,16.270000,15.920000,16.170000,15.676866,6875200
2021-05-12,16.280001,16.280001,15.635000,15.680000,15.201810,9243100
2021-05-13,15.690000,16.139999,15.620000,16.070000,15.579915,7398100
2021-05-14,16.190001,16.340000,16.010000,16.260000,15.764121,7242500
2021-05-17,16.340000,16.610001,16.260000,16.540001,16.035583,10354200
2021-05-18,16.500000,16.610001,16.309999,16.330000,15.831985,7610800
2021-05-19,16.120001,16.139999,15.810000,16.120001,15.628391,7144700
2021-05-20,16.110001,16.230000,15.890000,16.110001,15.618695,7911700
2021-05-21,16.200001,16.360001,16.150000,16.230000,15.735037,6660900
2021-05-24,16.350000,16.450001,16.240000,16.360001,15.861073,5594500
2021-05-25,16.309999,16.379999,16.020000,16.049999,15.560525,8726200
2021-05-26,16.090000,16.299999,16.040001,16.240000,15.744731,9778900
2021-05-27,16.350000,16.540001,16.200001,16.340000,15.841681,15351900
2021-05-28,16.389999,16.424999,15.920000,15.960000,15.473269,11684900
2021-06-01,16.139999,16.230000,15.890000,16.090000,15.599305,11694200
2021-06-02,15.870000,16.190001,15.775000,16.070000,15.579915,18204000
2021-06-03,15.990000,16.020000,15.830000,15.900000,15.415099,9960800
2021-06-04,15.920000,16.230000,15.860000,16.219999,15.725340,10221300
2021-06-07,16.230000,16.315001,15.830000,15.900000,15.415099,8055800
2021-06-08,15.900000,16.080000,15.750000,16.000000,15.512050,7095000
2021-06-09,15.980000,15.990000,15.605000,15.650000,15.172724,9019400
2021-06-10,15.740000,15.810000,15.563000,15.630000,15.153335,6340500
2021-06-11,15.660000,15.890000,15.650000,15.890000,15.405405,7602300
2021-06-14,15.950000,16.049999,15.650000,15.720000,15.240590,8249000
2021-06-15,15.640000,15.750000,15.540000,15.630000,15.269898,7527200
2021-06-16,15.620000,15.710000,15.490000,15.560000,15.201511,7864900
2021-06-17,15.570000,15.640000,14.620000,14.750000,14.410172,15591100
2021-06-18,14.530000,14.575000,14.310000,14.450000,14.117084,23705400
2021-06-21,14.540000,14.890000,14.500000,14.730000,14.390633,7972900
2021-06-22,14.680000,14.765000,14.495000,14.610000,14.273397,9002400
2021-06-23,14.640000,14.640000,14.415000,14.460000,14.126854,9421700
2021-06-24,14.620000,14.620000,14.485000,14.620000,14.283167,6649600
2021-06-25,14.590000,14.795000,14.580000,14.740000,14.400403,7595700
2021-06-28,14.720000,14.740000,14.470000,14.530000,14.195240,6312800
2021-06-29,14.620000,14.705000,14.460000,14.530000,14.195240,5964100
