Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,386.029999,387.920013,379.260010,384.540009,384.540009,1008100
2021-04-06,424.359985,426.440002,412.989990,414.839996,414.839996,3178300
2021-04-07,412.149994,414.619995,398.679993,400.549988,400.549988,1000300
2021-04-08,405.220001,409.190002,402.209991,403.739990,403.739990,749800
2021-04-09,406.260010,406.260010,394.500000,403.369995,403.369995,662000
2021-04-12,402.779999,405.000000,395.040009,398.989990,398.989990,646300
2021-04-13,400.130005,407.000000,399.679993,403.149994,403.149994,701900
2021-04-14,406.649994,408.579987,396.619995,398.070007,398.070007,655600
2021-04-15,403.760010,407.720001,399.619995,401.959991,401.959991,980000
2021-04-16,401.890015,402.390015,390.519989,399.000000,399.000000,1176800
2021-04-19,398.049988,405.250000,393.350006,404.179993,404.179993,906400
2021-04-20,401.829987,406.950012,395.489990,398.390015,398.390015,571000
2021-04-21,398.029999,404.070007,395.010010,403.329987,403.329987,554600
2021-04-22,402.019989,411.429993,402.019989,408.420013,408.420013,678900
2021-04-23,410.929993,416.709991,410.040009,414.970001,414.970001,798300
2021-04-26,417.750000,421.059998,412.839996,420.760010,420.760010,854400
2021-04-27,417.190002,422.640015,413.549988,413.549988,413.549988,903300
2021-04-28,414.619995,417.000000,393.000000,405.540009,405.540009,859700
2021-04-29,407.739990,411.029999,396.890015,399.929993,399.929993,733200
2021-04-30,397.230011,399.450012,390.480011,392.839996,392.839996,947200
2021-05-03,394.670013,396.660004,385.950012,386.399994,386.399994,962200
2021-05-04,384.149994,384.149994,375.079987,378.369995,378.369995,963700
2021-05-05,381.880005,384.089996,377.429993,378.350006,378.350006,678400
2021-05-06,375.929993,377.220001,369.079987,377.089996,377.089996,702600
2021-05-07,379.760010,389.450012,378.690002,383.940002,383.940002,703700
2021-05-10,382.920013,383.269989,379.059998,380.459991,380.459991,772900
2021-05-11,377.149994,385.609985,373.459991,381.510010,381.510010,651000
2021-05-12,374.700012,382.029999,371.000000,372.839996,372.839996,817800
2021-05-13,375.589996,379.109985,368.070007,373.450012,373.450012,688900
2021-05-14,375.459991,383.649994,372.989990,381.029999,381.029999,714200
2021-05-17,380.079987,381.940002,375.980011,379.480011,379.480011,754700
