Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,82.830002,83.410004,82.339996,83.250000,83.250000,914400
2021-04-06,83.000000,83.889999,82.550003,83.180000,83.180000,913600
2021-04-07,83.510002,83.510002,81.190002,81.379997,81.379997,1434300
2021-04-08,82.000000,82.610001,80.139999,80.830002,80.830002,1457800
2021-04-09,80.809998,81.269997,79.559998,79.959999,79.959999,1329300
2021-04-12,80.639999,80.750000,78.440002,79.870003,79.870003,1305100
2021-04-13,80.000000,81.889999,80.000000,80.650002,80.650002,1399100
2021-04-14,80.650002,83.220001,80.540001,82.209999,82.209999,1040600
2021-04-15,82.870003,84.169998,82.440002,83.199997,83.199997,714000
2021-04-16,83.620003,83.870003,81.519997,82.680000,82.680000,999000
2021-04-19,82.790001,83.720001,81.669998,82.669998,82.669998,1037200
2021-04-20,82.900002,84.639999,82.900002,84.570000,84.570000,735600
2021-04-21,84.459999,84.849998,83.820000,84.720001,84.720001,766100
2021-04-22,84.500000,84.500000,82.849998,84.180000,84.180000,1338200
2021-04-23,84.599998,85.699997,83.440002,85.580002,85.580002,1081300
2021-04-26,85.470001,86.220001,84.720001,85.610001,85.610001,759800
2021-04-27,86.029999,86.339996,84.389999,84.629997,84.629997,677200
2021-04-28,84.269997,85.260002,83.949997,84.889999,84.889999,707300
2021-04-29,84.949997,85.150002,84.019997,84.889999,84.889999,770100
2021-04-30,84.500000,85.820000,84.309998,85.379997,85.379997,1068500
2021-05-03,85.400002,86.029999,84.500000,85.519997,85.519997,861100
2021-05-04,83.489998,85.190002,80.730003,81.029999,81.029999,2450900
2021-05-05,81.760002,83.129997,81.190002,81.279999,81.279999,1666100
2021-05-06,81.209999,82.830002,80.269997,82.309998,82.309998,1523900
2021-05-07,82.489998,84.260002,82.120003,82.739998,82.739998,1113100
2021-05-10,83.000000,83.510002,81.389999,81.389999,81.389999,1865000
2021-05-11,80.320000,81.500000,79.419998,80.639999,80.639999,2845600
2021-05-12,79.820000,83.239998,79.629997,82.370003,82.370003,1262800
2021-05-13,82.480003,83.589996,81.860001,83.230003,83.230003,960400
2021-05-14,83.750000,83.750000,82.550003,82.620003,82.620003,889200
2021-05-17,82.470001,83.870003,81.910004,82.269997,82.269997,1184300
2021-05-18,82.150002,82.970001,81.309998,81.779999,81.779999,964400
2021-05-19,80.820000,81.779999,79.709999,81.709999,81.709999,1050800
2021-05-20,81.809998,84.510002,81.480003,83.510002,83.510002,834900
2021-05-21,83.989998,84.489998,82.629997,82.760002,82.760002,829000
2021-05-24,83.699997,83.989998,82.790001,82.910004,82.910004,827600
2021-05-25,82.959999,83.769997,82.129997,82.680000,82.680000,851600
2021-05-26,82.860001,83.589996,82.449997,83.160004,83.160004,775900
2021-05-27,83.080002,83.080002,81.610001,82.680000,82.680000,993300
2021-05-28,83.440002,84.230003,82.610001,83.779999,83.779999,956100
2021-06-01,84.129997,84.410004,82.389999,82.889999,82.889999,938800
2021-06-02,82.870003,83.370003,82.000000,82.260002,82.260002,969100
2021-06-03,82.440002,83.120003,81.459999,82.900002,82.900002,1004400
2021-06-04,83.169998,84.449997,82.860001,83.330002,83.330002,1017900
2021-06-07,83.480003,85.790001,83.040001,85.110001,85.110001,1205700
2021-06-08,85.879997,86.300003,83.970001,84.809998,84.809998,965800
2021-06-09,84.769997,86.339996,84.690002,86.199997,86.199997,958500
2021-06-10,86.379997,87.650002,85.639999,87.529999,87.529999,1030900
2021-06-11,84.669998,85.000000,81.059998,82.580002,82.580002,2683100
2021-06-14,82.940002,83.279999,81.040001,82.639999,82.639999,1437500
2021-06-15,82.550003,83.279999,82.260002,82.760002,82.760002,1512600
2021-06-16,82.910004,84.080002,82.269997,83.120003,83.120003,2064200
