Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,26.000000,26.250000,25.580000,25.930000,25.157581,4379400
2021-04-06,25.980000,26.230000,25.690001,25.830000,25.060558,3237500
2021-04-07,25.980000,26.080000,25.700001,25.950001,25.176983,2280700
2021-04-08,25.940001,25.980000,25.360001,25.879999,25.109068,2574800
2021-04-09,26.080000,26.379999,26.000000,26.320000,25.535961,2791400
2021-04-12,26.299999,26.850000,26.299999,26.709999,25.914345,4513300
2021-04-13,26.690001,26.690001,25.790001,25.910000,25.138174,3581800
2021-04-14,25.910000,26.549999,25.910000,26.120001,25.341921,4094900
2021-04-15,26.410000,26.879999,26.150000,26.830000,26.030769,4209500
2021-04-16,26.990000,27.080000,26.360001,26.570000,25.778513,2831600
2021-04-19,26.500000,26.590000,26.200001,26.480000,25.691195,2807700
2021-04-20,26.209999,26.440001,25.510000,25.790001,25.021749,2998300
2021-04-21,25.510000,26.370001,25.430000,26.350000,25.565067,2402700
2021-04-22,26.400000,26.450001,25.660000,25.690001,24.924728,4477000
2021-04-23,25.860001,26.590000,25.760000,26.510000,25.720304,4125900
2021-04-26,26.530001,26.900000,26.299999,26.530001,25.739706,3575200
2021-04-27,26.230000,26.950001,25.920000,26.459999,25.671791,4742200
2021-04-28,26.580000,27.330000,26.549999,27.230000,26.418852,3749100
2021-04-29,27.570000,27.680000,27.090000,27.629999,26.806938,3011500
2021-04-30,27.420000,27.469999,26.580000,27.000000,26.195704,4745000
2021-05-03,27.290001,27.680000,26.930000,27.420000,26.603195,3390600
2021-05-04,27.240000,27.540001,26.780001,27.540001,26.719620,3620100
2021-05-05,27.730000,27.969999,27.360001,27.700001,26.874853,2994400
2021-05-06,27.760000,28.280001,27.100000,28.250000,27.408470,3100800
2021-05-07,28.040001,28.540001,27.910000,28.379999,27.534597,3694900
2021-05-10,28.280001,28.950001,28.160000,28.219999,27.544355,3532300
2021-05-11,27.559999,27.969999,27.020000,27.260000,26.607342,3879600
2021-05-12,27.370001,27.540001,26.260000,26.370001,25.738651,4022400
2021-05-13,26.270000,27.299999,26.270000,27.129999,26.480453,3143500
2021-05-14,27.340000,28.090000,27.290001,27.959999,27.290581,2471600
2021-05-17,27.760000,28.000000,27.459999,27.760000,27.095371,4865100
2021-05-18,27.900000,28.240000,27.230000,27.250000,26.597580,6980600
2021-05-19,26.690001,26.870001,26.080000,26.799999,26.158354,5448700
2021-05-20,26.990000,27.059999,26.410000,26.639999,26.002186,3178600
2021-05-21,26.780001,27.200001,26.680000,26.879999,26.236439,2786700
2021-05-24,27.010000,27.190001,26.750000,27.000000,26.353569,2338900
2021-05-25,27.209999,27.530001,26.530001,26.549999,25.914341,2680000
2021-05-26,26.639999,27.250000,26.440001,27.040001,26.392611,3443200
2021-05-27,27.320000,28.500000,27.309999,28.459999,27.778608,7581100
2021-05-28,28.590000,28.750000,28.160000,28.530001,27.846937,4045200
2021-06-01,27.260000,28.270000,26.080000,27.190001,26.539019,15887400
2021-06-02,28.000000,28.620001,27.750000,28.480000,27.798132,8365300
2021-06-03,28.430000,29.490000,28.219999,29.330000,28.627781,5985600
2021-06-04,29.459999,29.459999,28.610001,29.270000,28.569220,4665000
2021-06-07,29.520000,29.709999,28.990000,28.990000,28.295921,3036300
2021-06-08,28.930000,29.320000,28.480000,29.139999,28.442329,3056100
2021-06-09,29.160000,29.160000,28.650000,28.700001,28.012865,2463800
2021-06-10,29.150000,29.480000,28.740000,28.809999,28.120230,3761000
2021-06-11,28.920000,29.469999,28.900000,29.299999,28.598501,2226600
2021-06-14,29.280001,29.350000,28.750000,28.770000,28.081192,3215600
2021-06-15,28.920000,29.260000,28.719999,29.000000,28.305681,3035500
2021-06-16,28.530001,28.889999,28.309999,28.709999,28.022627,2841600
2021-06-17,28.860001,28.860001,26.930000,27.209999,26.558540,3122500
2021-06-18,26.629999,26.860001,26.139999,26.250000,25.621525,4861300
2021-06-21,26.490000,26.969999,26.350000,26.900000,26.255959,2582100
2021-06-22,26.950001,26.950001,26.360001,26.559999,25.924101,3364400
2021-06-23,26.740000,26.910000,26.620001,26.680000,26.041231,3595800
2021-06-24,26.900000,27.290001,26.559999,27.200001,26.548780,2910900
2021-06-25,27.280001,27.700001,27.180000,27.420000,26.763512,5190100
2021-06-28,27.320000,27.410000,26.700001,27.129999,26.480453,3143900
2021-06-29,27.370001,27.559999,26.469999,26.520000,25.885061,3915000
2021-06-30,26.350000,26.780001,26.250000,26.730000,26.090031,4059600
2021-07-01,26.940001,27.080000,26.629999,26.950001,26.304764,3398600
2021-07-02,26.969999,26.980000,26.370001,26.430000,25.797215,3181200
2021-07-06,26.500000,26.500000,25.709999,26.020000,25.397030,4470400
2021-07-07,25.809999,26.219999,25.520000,26.120001,25.494637,2855800
2021-07-08,25.480000,25.660000,24.930000,25.170000,24.567381,4712900
2021-07-09,25.950001,26.330000,25.780001,26.330000,25.699608,2598100
2021-07-12,26.500000,27.010000,26.320000,26.709999,26.070509,6603500
2021-07-13,26.650000,26.969999,26.420000,26.430000,25.797215,3801300
2021-07-14,26.620001,27.030001,25.910000,26.020000,25.397030,2717500
2021-07-15,25.570000,26.100000,25.490000,25.830000,25.211578,3285300
2021-07-16,26.059999,26.090000,24.870001,25.020000,24.420973,2698800
2021-07-19,24.200001,24.459999,23.900000,24.280001,23.698690,4367300
2021-07-20,24.290001,25.260000,24.059999,25.129999,24.528337,3933700
2021-07-21,25.469999,25.889999,25.389999,25.660000,25.045649,3243400
2021-07-22,25.670000,25.680000,25.090000,25.129999,24.528337,3108800
2021-07-23,25.350000,25.469999,24.620001,24.820000,24.225760,3604700
2021-07-26,24.860001,25.260000,24.670000,25.070000,24.469774,5871600
2021-07-27,24.600000,24.830000,23.330000,24.260000,23.679169,6248300
2021-07-28,24.330000,24.400000,23.480000,24.139999,23.562038,6969500
2021-07-29,24.469999,24.650000,23.990000,24.350000,23.767012,3694500
2021-07-30,24.260000,24.799999,24.170000,24.379999,23.796293,7902500
2021-08-02,24.690001,25.260000,24.350000,24.420000,23.835339,4200400
2021-08-03,24.549999,24.580000,23.920000,24.500000,23.913420,4322100
2021-08-04,24.250000,24.670000,23.990000,24.020000,23.444916,5165900
2021-08-05,24.219999,24.540001,24.090000,24.350000,23.767012,3459300
2021-08-06,24.750000,24.940001,24.580000,24.820000,24.225760,2976300
2021-08-09,24.820000,25.180000,24.530001,24.840000,24.245283,2324600
2021-08-10,24.860001,25.200001,24.700001,24.900000,24.303846,3129100
2021-08-11,25.150000,25.820000,25.059999,25.670000,25.055408,3697200
2021-08-12,25.450001,25.530001,24.980000,25.110001,24.672211,2589500
2021-08-13,25.170000,25.230000,24.830000,24.850000,24.416742,2069200
2021-08-16,24.580000,25.270000,24.330000,25.200001,24.760641,4881400
2021-08-17,24.830000,24.959999,24.420000,24.650000,24.220228,4788400
2021-08-18,24.510000,24.790001,24.080000,24.110001,23.689644,2633400
2021-08-19,23.629999,23.920000,23.139999,23.420000,23.011673,3292100
2021-08-20,23.440001,24.110001,23.350000,23.990000,23.571735,3849000
2021-08-23,24.200001,24.660000,24.070000,24.500000,24.072844,2750900
2021-08-24,24.680000,25.150000,24.500000,24.990000,24.554300,3450200
2021-08-25,25.070000,25.559999,24.889999,25.340000,24.898199,2840100
2021-08-26,25.389999,25.430000,24.930000,24.959999,24.524822,2466600
2021-08-27,24.930000,25.750000,24.920000,25.690001,25.242096,2899200
2021-08-30,25.799999,25.799999,25.129999,25.129999,24.691860,2611500
2021-08-31,25.110001,25.490000,24.860001,25.320000,24.878546,5918200
2021-09-01,25.350000,25.459999,24.690001,25.160000,24.721336,5239500
2021-09-02,25.290001,25.719999,25.230000,25.320000,24.878546,3372800
2021-09-03,25.200001,25.280001,24.750000,24.879999,24.446218,3477200
2021-09-07,24.879999,25.000000,24.549999,24.740000,24.308661,6618300
2021-09-08,24.450001,24.680000,24.290001,24.540001,24.112148,3295400
2021-09-09,24.549999,25.230000,24.469999,24.780001,24.347963,3172600
2021-09-10,24.980000,24.980000,24.420000,24.600000,24.171103,2609100
2021-09-13,24.750000,25.230000,24.639999,24.969999,24.534649,3251100
2021-09-14,25.330000,25.559999,24.820000,24.950001,24.514999,4476700
2021-09-15,24.850000,25.580000,24.709999,25.549999,25.104536,3466700
2021-09-16,25.639999,25.770000,24.820000,24.889999,24.456045,5625200
2021-09-17,26.540001,27.030001,25.930000,26.250000,25.792332,20223100
2021-09-20,25.139999,25.200001,23.580000,23.969999,23.552084,8799200
2021-09-21,24.200001,24.260000,23.440001,23.719999,23.306444,3702000
2021-09-22,24.250000,24.510000,24.180000,24.290001,23.866505,6229300
2021-09-23,24.469999,25.190001,24.469999,24.850000,24.416742,2925700
2021-09-24,24.709999,24.990000,24.510000,24.940001,24.505173,2525700
2021-09-27,24.969999,25.709999,24.940001,25.559999,25.114363,3401300
2021-09-28,25.330000,25.700001,24.900000,24.920000,24.485521,4611800
2021-09-29,25.049999,25.170000,24.450001,24.600000,24.171103,2539500
2021-09-30,24.639999,24.780001,24.070000,24.110001,23.689644,4058500
2021-10-01,24.209999,24.809999,23.950001,24.590000,24.161276,2916300
2021-10-04,24.240000,24.700001,24.000000,24.100000,23.679817,4199400
2021-10-05,24.290001,25.660000,24.120001,25.370001,24.927677,5939500
2021-10-06,24.889999,25.370001,24.590000,25.330000,24.888372,5182900
2021-10-07,25.820000,25.860001,25.299999,25.370001,24.927677,5229600
2021-10-08,25.240000,25.610001,24.950001,25.030001,24.681160,2398600
2021-10-11,25.020000,25.410000,24.700001,24.799999,24.454363,2781500
2021-10-12,24.650000,24.719999,24.120001,24.230000,23.892309,2657800
2021-10-13,24.180000,24.580000,23.910000,24.459999,24.119102,3508900
2021-10-14,24.900000,25.299999,24.530001,25.170000,24.819208,2535300
2021-10-15,25.500000,25.660000,25.070000,25.080000,24.730463,3479200
2021-10-18,24.910000,24.990000,24.520000,24.730000,24.385342,3872800
2021-10-19,24.879999,25.059999,24.420000,25.000000,24.651577,3115600
2021-10-20,25.000000,25.469999,24.910000,25.420000,25.065725,2221700
2021-10-21,25.340000,25.480000,24.870001,25.000000,24.651577,2684800
2021-10-22,25.270000,25.400000,24.870001,25.120001,24.769907,3464400
2021-10-25,25.110001,25.180000,24.520000,24.750000,24.405064,7595400
2021-10-26,24.940001,25.959999,24.700001,25.570000,25.213634,5980900
2021-10-27,25.570000,25.590000,24.799999,24.940001,24.592415,5704700
2021-10-28,25.080000,25.709999,24.910000,25.490000,25.134748,3710700
2021-10-29,25.410000,25.870001,25.299999,25.410000,25.055864,5045800
2021-11-01,25.629999,26.559999,25.629999,26.530001,26.160254,4024900
2021-11-02,26.629999,26.820000,26.020000,26.290001,25.923601,4054900
2021-11-03,26.129999,26.650000,26.070000,26.469999,26.101089,2761300
2021-11-04,26.389999,26.440001,25.639999,25.930000,25.568617,2506400
2021-11-05,26.290001,26.590000,25.860001,25.980000,25.617920,3405300
2021-11-08,26.270000,26.450001,26.030001,26.260000,25.894018,3624500
2021-11-09,26.010000,26.360001,25.790001,26.010000,25.647501,1847500
2021-11-10,25.820000,25.950001,25.400000,25.530001,25.339811,2286800
2021-11-11,25.549999,25.900000,25.440001,25.809999,25.617725,1658200
2021-11-12,25.879999,26.260000,25.760000,26.160000,25.965118,2256500
2021-11-15,26.299999,26.469999,26.090000,26.110001,25.915491,2108500
2021-11-16,26.049999,26.160000,25.650000,25.690001,25.498619,2687400
2021-11-17,25.590000,25.620001,24.750000,24.940001,24.754208,3354500
2021-11-18,25.049999,25.129999,24.420000,24.540001,24.357187,2199000
2021-11-19,24.129999,24.299999,23.930000,24.150000,23.970091,3436200
2021-11-22,24.379999,24.690001,24.139999,24.320000,24.138824,4014100
2021-11-23,24.440001,24.580000,24.010000,24.459999,24.277781,2756300
2021-11-24,24.350000,24.610001,24.129999,24.410000,24.228155,3078100
2021-11-26,23.290001,23.299999,22.629999,23.129999,22.957689,2925900
2021-11-29,23.440001,23.580000,22.750000,23.240000,23.066870,3992200
2021-11-30,22.920000,22.990000,22.219999,22.330000,22.163651,9332000
