Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,154.179993,157.289993,154.050003,157.250000,155.472610,411400
2021-04-06,156.179993,157.369995,154.750000,155.320007,153.564423,346300
2021-04-07,155.839996,156.529999,153.949997,154.220001,152.476868,305200
2021-04-08,154.029999,156.500000,154.029999,155.550003,153.791840,248500
2021-04-09,156.259995,156.500000,154.809998,155.720001,153.959900,284800
2021-04-12,155.520004,156.110001,154.410004,155.759995,153.999435,363300
2021-04-13,155.309998,157.240005,155.309998,155.830002,154.068665,385900
2021-04-14,155.059998,155.330002,152.479996,153.809998,152.071487,507700
2021-04-15,154.210007,157.350006,154.080002,156.399994,154.632217,489700
2021-04-16,157.380005,160.110001,156.539993,158.839996,157.044632,766200
2021-04-19,159.080002,161.470001,158.679993,161.149994,159.328522,678800
2021-04-20,162.039993,165.240005,161.600006,163.850006,161.998032,719200
2021-04-21,164.250000,166.550003,163.949997,166.089996,164.212692,681000
2021-04-22,166.059998,168.520004,164.830002,167.210007,165.320053,714800
2021-04-23,167.880005,170.360001,167.520004,169.589996,167.673126,522100
2021-04-26,169.009995,169.690002,167.779999,168.190002,166.288971,442000
2021-04-27,168.800003,169.580002,163.169998,163.509995,161.661835,531400
2021-04-28,165.059998,165.119995,163.429993,163.570007,161.721191,335000
2021-04-29,165.000000,165.979996,163.610001,164.139999,162.284729,500700
2021-04-30,163.910004,164.600006,161.470001,162.830002,160.989548,527700
2021-05-03,162.949997,164.880005,162.570007,163.929993,162.077087,531800
2021-05-04,162.020004,163.160004,156.259995,158.570007,156.777710,1335500
2021-05-05,160.949997,160.949997,156.550003,157.820007,156.036163,740900
2021-05-06,158.509995,158.789993,155.880005,158.470001,156.678818,593700
2021-05-07,158.320007,159.669998,155.380005,156.130005,154.365280,470400
2021-05-10,157.339996,159.539993,155.860001,158.860001,157.064423,697000
2021-05-11,157.669998,159.139999,155.910004,156.309998,154.543228,446800
2021-05-12,155.669998,157.559998,153.899994,155.110001,153.356812,514400
2021-05-13,155.539993,158.639999,154.309998,157.979996,156.194351,566600
2021-05-14,158.119995,159.369995,156.830002,157.320007,155.541840,324000
2021-05-17,157.410004,159.470001,155.309998,156.490005,154.721207,279500
2021-05-18,156.529999,156.820007,155.039993,155.610001,153.851151,348200
2021-05-19,155.000000,155.600006,151.869995,153.580002,151.844101,351800
2021-05-20,154.289993,156.320007,153.600006,155.380005,153.623749,269300
2021-05-21,155.279999,157.250000,155.029999,155.509995,153.752258,1260000
2021-05-24,156.639999,157.240005,155.520004,156.809998,155.037582,354500
2021-05-25,157.220001,157.220001,155.820007,156.410004,154.642105,259800
2021-05-26,156.339996,156.889999,155.589996,156.500000,154.731094,392200
