Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,20.570000,20.730000,20.129999,20.290001,19.628090,6661300
2021-04-06,20.219999,20.389999,20.020000,20.320000,19.657110,6868300
2021-04-07,20.410000,20.549999,20.240000,20.540001,19.869934,7573200
2021-04-08,20.240000,20.389999,19.910000,20.330000,19.666786,9500600
2021-04-09,20.600000,20.830000,20.459999,20.610001,19.937653,9630900
2021-04-12,20.730000,20.870001,20.650000,20.840000,20.160149,5648700
2021-04-13,20.730000,20.770000,20.230000,20.480000,19.811890,7421800
2021-04-14,20.360001,20.990000,20.360001,20.799999,20.121454,7120100
2021-04-15,20.850000,20.850000,20.219999,20.600000,19.927977,9358900
2021-04-16,20.860001,20.990000,20.620001,20.680000,20.005367,7957600
2021-04-19,20.780001,20.959999,20.360001,20.420000,19.753849,9297600
2021-04-20,20.200001,20.379999,19.750000,19.840000,19.192770,12741800
2021-04-21,19.730000,20.480000,19.580000,20.440001,19.773199,7804200
2021-04-22,20.480000,20.500000,20.000000,20.010000,19.357224,8462600
2021-04-23,20.049999,20.879999,19.879999,20.770000,20.092432,11988200
2021-04-26,21.040001,21.469999,21.020000,21.270000,20.576122,12438100
2021-04-27,21.340000,21.480000,21.190001,21.450001,20.750248,8168200
2021-04-28,21.510000,21.650000,21.350000,21.549999,20.846985,6183900
2021-04-29,21.870001,22.110001,21.760000,22.059999,21.340347,7068500
2021-04-30,21.940001,22.129999,21.750000,21.760000,21.050137,7420200
2021-05-03,22.000000,22.160000,21.719999,22.000000,21.282307,5854500
2021-05-04,21.910000,22.400000,21.719999,22.400000,21.669256,11013200
2021-05-05,22.440001,22.799999,22.129999,22.719999,21.978817,9537800
2021-05-06,22.820000,22.900000,22.400000,22.889999,22.143270,5294100
2021-05-07,22.420000,23.080000,22.370001,23.070000,22.317400,7003700
2021-05-10,23.260000,23.440001,22.959999,22.959999,22.210987,6686600
2021-05-11,22.770000,23.299999,22.580000,22.750000,22.007839,8471600
2021-05-12,23.120001,23.250000,22.209999,22.280001,21.553171,7340100
2021-05-13,22.139999,23.129999,22.100000,22.990000,22.240009,8582800
2021-05-14,23.070000,23.450001,22.969999,23.389999,22.626959,7187900
2021-05-17,23.270000,23.549999,23.150000,23.520000,22.752720,5164800
2021-05-18,23.510000,23.650000,23.049999,23.059999,22.307726,5807900
2021-05-19,22.850000,22.930000,22.469999,22.900000,22.152946,6922400
2021-05-20,22.879999,23.000000,22.549999,22.830000,22.085232,4949200
2021-05-21,22.969999,23.330000,22.930000,23.120001,22.365770,5861800
2021-05-24,23.219999,23.240000,22.920000,23.040001,22.288378,6449300
2021-05-25,23.090000,23.450001,22.629999,22.670000,21.930449,5525300
2021-05-26,22.719999,22.969999,22.590000,22.910000,22.162617,4989600
