Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,649.700012,666.000000,639.559998,660.799988,654.323669,2345400
2021-04-06,660.000000,666.640015,644.000000,652.479980,646.085266,2323600
2021-04-07,652.479980,667.419983,650.479980,658.780029,652.323547,1468900
2021-04-08,667.020020,669.000000,654.010010,668.000000,661.453186,1204500
2021-04-09,665.159973,668.900024,656.719971,662.000000,655.511963,1273400
2021-04-12,658.659973,659.599976,645.000000,650.270020,643.896912,1581100
2021-04-13,655.559998,657.229980,637.799988,644.989990,638.668640,1350100
2021-04-14,640.929993,651.900024,634.000000,640.429993,634.153320,894500
2021-04-15,648.020020,651.780029,637.840027,649.500000,643.134521,1090000
2021-04-16,650.820007,652.299988,640.830017,643.710022,637.401245,1113600
2021-04-19,643.719971,648.340027,609.299988,621.729980,615.636597,2421900
2021-04-20,616.739990,625.090027,608.200012,613.030029,607.021973,1372400
2021-04-21,619.580017,641.250000,617.440002,641.250000,634.965393,2074000
2021-04-22,643.900024,649.940002,611.000000,614.539978,608.517090,2436700
2021-04-23,620.770020,630.000000,613.570007,627.489990,621.340149,1488800
2021-04-26,626.929993,643.349976,623.729980,643.169983,636.866577,1298700
2021-04-27,647.359985,649.000000,639.799988,644.880005,638.559753,991900
2021-04-28,644.000000,644.000000,633.530029,638.049988,631.796631,738000
2021-04-29,641.969971,643.000000,629.520020,640.969971,634.688049,893800
2021-04-30,630.419983,637.489990,619.820007,620.450012,614.369263,1366700
2021-05-03,629.270020,630.000000,613.780029,617.239990,611.190674,1158200
2021-05-04,608.380005,609.549988,590.200012,606.289978,600.347961,1587800
2021-05-05,617.309998,620.989990,603.359985,611.000000,605.011780,983500
2021-05-06,609.159973,619.150024,601.409973,617.440002,611.388733,1191100
2021-05-07,625.989990,634.799988,618.200012,630.539978,624.360229,1033500
2021-05-10,621.409973,624.070007,586.159973,586.450012,580.702393,1765900
2021-05-11,568.559998,595.150024,562.929993,592.429993,586.623779,1946900
2021-05-12,575.000000,577.719971,555.799988,557.669983,552.204407,2429300
2021-05-13,572.960022,594.390015,570.179993,584.729980,578.999329,2940200
2021-05-14,596.000000,609.429993,578.000000,602.989990,597.080261,1548500
