Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,81.620003,82.239998,80.455002,81.910004,80.914742,4198200
2021-04-06,81.220001,82.139999,80.040001,80.370003,79.393456,2843600
2021-04-07,80.599998,80.974998,79.430000,79.855003,78.884712,2248800
2021-04-08,80.654999,80.949997,79.364998,80.894997,79.912079,2926000
2021-04-09,80.364998,81.254997,79.964996,80.864998,79.882431,2659200
2021-04-12,80.175003,80.364998,78.519997,79.385002,78.420433,2724600
2021-04-13,79.849998,80.279999,77.144997,78.680000,77.723991,3042000
2021-04-14,78.254997,79.739998,77.699997,78.160004,77.210312,2167400
2021-04-15,79.394997,80.410004,78.580002,80.209999,79.235405,2732800
2021-04-16,80.040001,80.294998,79.055000,79.144997,78.183334,2504600
2021-04-19,78.849998,79.029999,76.349998,77.014999,76.079224,2946000
2021-04-20,76.375000,76.745003,74.345001,74.864998,73.955345,3369000
2021-04-21,74.690002,77.470001,73.949997,77.324997,76.385445,3761600
2021-04-22,77.150002,77.574997,75.235001,75.684998,74.765381,3307800
2021-04-23,76.485001,78.610001,76.379997,78.190002,77.239944,4632400
2021-04-26,78.089996,79.980003,77.860001,79.580002,78.613060,3840600
2021-04-27,79.699997,80.709999,78.650002,78.745003,77.788208,3685200
2021-04-28,78.339996,78.379997,77.010002,77.309998,76.370628,2967800
2021-04-29,78.040001,78.430000,76.785004,77.955002,77.007797,2016800
2021-04-30,76.730003,77.440002,74.779999,75.144997,74.231934,4010400
2021-05-03,76.224998,76.410004,73.660004,74.065002,73.165070,3224200
2021-05-04,73.294998,73.370003,71.605003,72.440002,71.559807,5768600
2021-05-05,73.550003,74.635002,72.105003,72.820000,71.935188,4161200
2021-05-06,72.690002,73.375000,71.660004,73.254997,72.364906,5083400
2021-05-07,76.209999,76.209999,74.040001,74.875000,73.965218,4884800
2021-05-10,74.379997,74.559998,71.599998,71.654999,70.784355,4435600
2021-05-11,70.105003,72.925003,69.309998,72.754997,71.870979,4379600
2021-05-12,70.974998,71.540001,69.269997,69.570000,68.724686,5059400
2021-05-13,70.559998,71.964996,69.855003,71.059998,70.196571,3801200
2021-05-14,72.099998,73.529999,71.195000,72.735001,71.851219,3763600
2021-05-17,71.849998,72.260002,70.400002,71.760002,70.888077,2226000
2021-05-18,71.269997,72.870003,71.139999,71.214996,70.349693,2751600
2021-05-19,69.925003,73.779999,69.680000,73.495003,72.601990,4007400
2021-05-20,73.775002,75.974998,73.775002,75.574997,74.867065,3906200
2021-05-21,75.105003,75.940002,74.294998,74.904999,74.203346,3385000
2021-05-24,75.574997,77.434998,75.574997,77.050003,76.328255,2816200
2021-05-25,77.745003,78.065002,76.205002,77.375000,76.650208,2686800
2021-05-26,77.379997,78.125000,76.690002,77.769997,77.041512,3782600
2021-05-27,77.625000,78.654999,77.220001,77.875000,77.145531,3353600
2021-05-28,78.114998,78.824997,77.660004,78.474998,77.739906,2322800
2021-06-01,79.000000,79.839996,77.605003,77.660004,76.932549,2634000
2021-06-02,77.269997,78.184998,76.839996,77.745003,77.016747,2805000
2021-06-03,76.504997,76.860001,75.379997,75.855003,75.144447,3726000
2021-06-04,76.684998,77.805000,76.339996,77.690002,76.962265,2868400
2021-06-07,77.250000,77.695000,76.514999,76.785004,76.065735,2170600
2021-06-08,77.955002,78.025002,75.605003,76.305000,75.590233,1763600
2021-06-09,76.639999,76.985001,75.735001,75.904999,75.193977,2041600
2021-06-10,76.214996,77.269997,75.709999,76.720001,76.001343,2365000
2021-06-11,77.084999,77.105003,76.324997,77.044998,76.323296,1428200
2021-06-14,77.260002,77.945000,76.129997,77.879997,77.150482,2909000
2021-06-15,77.739998,78.235001,76.730003,76.974998,76.253960,2268000
2021-06-16,77.320000,77.870003,75.375000,76.195000,75.481262,3248200
2021-06-17,75.690002,76.425003,74.230003,75.114998,74.411377,4524600
2021-06-18,74.474998,74.660004,72.035004,72.809998,72.127968,7738400
2021-06-21,73.305000,74.135002,72.720001,73.875000,73.182999,3377800
2021-06-22,73.849998,73.860001,72.860001,72.940002,72.256752,4633200
2021-06-23,72.839996,73.820000,72.735001,73.230003,72.544044,1891000
2021-06-24,73.925003,74.959999,73.675003,74.559998,73.861572,3971000
2021-06-25,74.915001,75.625000,73.995003,74.385002,73.688217,4496600
2021-06-28,75.040001,76.675003,74.889999,76.160004,75.446602,3760000
2021-06-29,76.010002,76.599998,75.355003,76.410004,75.694252,2174600
2021-06-30,76.294998,76.370003,74.495003,74.870003,74.168678,4135600
2021-07-01,74.925003,75.440002,73.735001,73.849998,73.158234,2979200
2021-07-02,74.430000,74.525002,73.370003,74.125000,73.430656,3002400
2021-07-06,73.665001,74.014999,71.800003,73.065002,72.380577,4011600
2021-07-07,73.690002,73.735001,70.949997,71.754997,71.082855,3721800
2021-07-08,70.504997,71.114998,69.154999,70.510002,69.849518,3486400
2021-07-09,70.839996,72.250000,70.150002,72.010002,71.335464,3285200
2021-07-12,71.839996,73.135002,71.684998,73.095001,72.410301,2808200
2021-07-13,72.574997,72.900002,71.889999,71.964996,71.290878,2878400
2021-07-14,72.555000,73.389999,71.625000,71.769997,71.097710,4049000
2021-07-15,70.669998,70.855003,67.989998,68.724998,68.081238,5767200
2021-07-16,69.050003,69.599998,66.735001,66.879997,66.253510,3636000
2021-07-19,65.845001,66.000000,64.529999,65.989998,65.371857,8572400
2021-07-20,66.169998,69.154999,65.915001,68.514999,67.873199,6437800
2021-07-21,68.855003,70.349998,68.504997,70.330002,69.671204,3572800
2021-07-22,69.269997,69.449997,68.644997,69.190002,68.541878,4917600
2021-07-23,69.919998,70.070000,68.690002,69.610001,68.957947,2074000
2021-07-26,69.195000,69.974998,69.019997,69.695000,69.042152,2309800
2021-07-27,69.275002,69.480003,66.375000,67.974998,67.338264,4063400
2021-07-28,68.425003,69.385002,68.055000,68.940002,68.294220,3511000
2021-07-29,70.000000,70.629997,69.334999,70.514999,69.854469,2499800
2021-07-30,69.879997,71.605003,69.855003,71.559998,70.889671,3442000
2021-08-02,73.610001,75.815002,72.394997,72.495003,71.815926,7295200
2021-08-03,72.860001,73.760002,71.485001,73.410004,72.722359,4502000
2021-08-04,73.955002,75.669998,73.654999,73.754997,73.064117,6037800
2021-08-05,74.000000,74.894997,73.269997,74.889999,74.188484,3313400
2021-08-06,74.445000,75.074997,74.144997,74.864998,74.163719,3035600
2021-08-09,75.254997,75.254997,73.945000,74.750000,74.049805,2915000
2021-08-10,74.910004,75.510002,73.764999,75.250000,74.545113,3420800
2021-08-11,75.750000,75.750000,73.855003,75.235001,74.530251,2056200
2021-08-12,74.900002,75.949997,73.510002,75.574997,74.867065,6965200
2021-08-13,75.349998,76.025002,74.985001,75.785004,75.075111,2324200
2021-08-16,75.750000,76.275002,74.955002,75.205002,74.500534,2997000
2021-08-17,74.175003,74.254997,72.144997,72.845001,72.162643,4056200
2021-08-18,72.364998,73.355003,71.724998,71.834999,71.162109,2989400
2021-08-19,71.160004,72.394997,70.489998,72.125000,71.667381,3787600
2021-08-20,72.195000,73.059998,71.470001,72.419998,71.960503,5313600
2021-08-23,73.004997,74.180000,72.824997,73.940002,73.470863,4887200
2021-08-24,74.260002,75.050003,73.894997,74.025002,73.555321,2292200
2021-08-25,75.445000,76.250000,74.675003,75.724998,75.244530,5766600
2021-08-26,75.500000,78.160004,75.235001,77.970001,77.475288,5169200
2021-08-27,78.125000,80.180000,77.889999,79.690002,79.184380,4060600
2021-08-30,79.870003,80.089996,79.000000,79.504997,79.000549,2886400
2021-08-31,79.535004,79.535004,77.500000,78.680000,78.180786,4377800
