Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,306.179993,311.440002,306.119995,310.890015,308.605591,571600
2021-04-06,310.369995,311.899994,308.640015,309.500000,307.225800,511000
2021-04-07,308.829987,311.359985,306.660004,307.910004,305.647522,508500
2021-04-08,310.670013,314.470001,309.829987,313.100006,310.799347,793100
2021-04-09,313.359985,314.630005,312.519989,314.290009,311.980621,551700
2021-04-12,312.730011,315.369995,312.000000,314.480011,312.169220,654800
2021-04-13,312.899994,317.079987,312.899994,315.170013,312.854156,680400
2021-04-14,316.540009,318.690002,314.279999,315.170013,312.854156,481000
2021-04-15,317.029999,319.619995,316.700012,318.510010,316.169617,694900
2021-04-16,320.410004,322.440002,318.019989,322.000000,319.633911,1931100
2021-04-19,320.700012,324.239990,319.950012,320.720001,318.363373,989500
2021-04-20,320.440002,325.230011,319.410004,323.760010,321.380981,875100
2021-04-21,324.489990,327.239990,323.679993,325.029999,322.641663,669600
2021-04-22,324.790009,329.040009,323.290009,325.049988,322.661530,772100
2021-04-23,325.609985,328.989990,322.459991,327.730011,325.321869,751600
2021-04-26,327.720001,328.040009,324.869995,325.279999,322.889862,752500
2021-04-27,325.250000,327.010010,323.290009,326.399994,324.001587,1204300
2021-04-28,340.160004,340.160004,318.369995,320.040009,317.688385,996700
2021-04-29,321.299988,330.750000,319.510010,329.950012,327.525513,788400
2021-04-30,329.359985,330.529999,324.040009,326.709991,324.309326,874400
2021-05-03,327.529999,330.630005,325.500000,329.320007,326.900146,579000
2021-05-04,328.230011,331.839996,327.970001,330.209991,327.783630,874800
2021-05-05,332.220001,332.220001,324.529999,328.670013,326.254944,629500
2021-05-06,329.320007,330.519989,325.709991,329.600006,327.178101,636700
2021-05-07,330.109985,334.679993,328.529999,334.500000,332.042114,678100
2021-05-10,334.850006,338.589996,333.480011,333.619995,331.168579,552000
2021-05-11,329.179993,330.170013,327.000000,328.750000,326.334320,706700
2021-05-12,327.070007,328.760010,319.260010,319.730011,317.380615,991200
2021-05-13,321.260010,329.880005,321.079987,328.839996,326.423676,709100
2021-05-14,330.000000,334.640015,329.109985,334.040009,331.585480,697100
2021-05-17,332.149994,332.739990,329.200012,329.690002,327.267456,867500
2021-05-18,328.239990,328.820007,323.529999,323.809998,321.430664,781800
2021-05-19,319.820007,323.989990,318.929993,323.899994,322.136780,539000
2021-05-20,325.079987,329.950012,325.019989,326.989990,325.209930,543400
2021-05-21,327.709991,331.260010,327.399994,328.880005,327.089661,926500
