Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,200.130005,201.509995,197.759995,201.190002,201.190002,438900
2021-04-06,200.770004,202.940002,198.350006,200.679993,200.679993,607200
2021-04-07,199.000000,201.000000,197.059998,197.740005,197.740005,399600
2021-04-08,196.820007,198.649994,194.130005,198.449997,198.449997,476200
2021-04-09,199.360001,202.970001,197.339996,202.929993,202.929993,472000
2021-04-12,205.000000,206.199997,201.289993,204.110001,204.110001,429800
2021-04-13,203.070007,203.839996,198.419998,202.589996,202.589996,556500
2021-04-14,201.899994,205.020004,201.509995,201.740005,201.740005,387100
2021-04-15,203.070007,203.289993,200.270004,201.669998,201.669998,360600
2021-04-16,203.089996,205.009995,202.080002,204.809998,204.809998,321900
2021-04-19,204.130005,204.130005,199.600006,199.910004,199.910004,467100
2021-04-20,199.990005,200.779999,194.240005,196.050003,196.050003,487400
2021-04-21,196.509995,201.199997,195.050003,201.110001,201.110001,291900
2021-04-22,200.919998,202.729996,197.479996,199.169998,199.169998,447200
2021-04-23,200.690002,203.710007,199.410004,203.339996,203.339996,647300
2021-04-26,204.169998,207.460007,203.270004,206.710007,206.710007,421600
2021-04-27,206.029999,209.800003,205.580002,208.360001,208.360001,391300
2021-04-28,208.000000,209.410004,206.399994,207.699997,207.699997,489900
2021-04-29,209.330002,213.610001,208.000000,212.979996,212.979996,500500
2021-04-30,208.360001,214.490005,203.669998,205.500000,205.500000,737700
2021-05-03,212.210007,227.449997,211.320007,221.000000,221.000000,1992400
2021-05-04,221.000000,221.529999,214.399994,219.839996,219.839996,752700
2021-05-05,221.820007,225.779999,218.559998,224.300003,224.300003,475800
2021-05-06,225.350006,226.080002,220.970001,224.880005,224.880005,288900
2021-05-07,223.119995,230.750000,221.169998,229.740005,229.740005,390200
2021-05-10,230.529999,231.800003,226.039993,226.479996,226.479996,445700
2021-05-11,222.440002,223.419998,215.110001,219.470001,219.470001,470400
2021-05-12,219.070007,219.259995,208.649994,209.490005,209.490005,405900
2021-05-13,209.830002,220.690002,209.550003,218.970001,218.970001,510200
2021-05-14,220.350006,221.679993,217.729996,219.100006,219.100006,258700
2021-05-17,218.990005,219.679993,214.789993,218.250000,218.250000,381600
2021-05-18,218.690002,218.970001,214.589996,214.690002,214.690002,476200
2021-05-19,211.059998,212.750000,205.500000,207.860001,207.860001,573200
2021-05-20,208.419998,209.190002,204.710007,207.960007,207.960007,509900
2021-05-21,209.399994,212.710007,206.360001,207.210007,207.210007,529800
2021-05-24,209.100006,209.500000,206.529999,208.279999,208.279999,241200
2021-05-25,208.779999,210.979996,206.690002,207.360001,207.360001,450400
2021-05-26,207.639999,209.490005,204.580002,208.809998,208.809998,610000
2021-05-27,211.399994,213.490005,210.149994,212.979996,212.979996,820700
2021-05-28,214.320007,214.330002,208.490005,210.679993,210.679993,463500
2021-06-01,206.380005,206.380005,195.449997,204.649994,204.649994,1975200
