Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,89.169998,90.260002,88.589996,89.080002,87.681358,1226300
2021-04-06,88.809998,89.940002,88.709999,89.730003,88.321159,1231400
2021-04-07,90.050003,90.050003,88.699997,89.160004,87.760117,1211600
2021-04-08,89.010002,89.930000,89.010002,89.639999,88.232567,2671700
2021-04-09,89.180000,89.809998,87.720001,88.110001,87.056793,959500
2021-04-12,88.070000,88.500000,87.610001,88.230003,87.175369,1277400
2021-04-13,88.029999,88.760002,87.860001,88.019997,86.967865,1496000
2021-04-14,88.089996,88.239998,86.980003,87.910004,86.859184,877300
2021-04-15,88.220001,88.570000,87.949997,88.480003,87.422379,769400
2021-04-16,88.739998,88.889999,88.029999,88.790001,87.728668,935000
2021-04-19,88.599998,89.080002,87.870003,88.849998,87.787949,1315500
2021-04-20,88.760002,90.680000,88.580002,90.620003,89.536797,1822000
2021-04-21,91.169998,92.120003,91.000000,91.919998,90.821251,1770000
2021-04-22,91.919998,92.110001,91.199997,91.419998,90.327225,1042900
2021-04-23,91.400002,91.820000,90.769997,91.470001,90.376633,1369000
2021-04-26,91.500000,91.500000,90.099998,90.349998,89.270020,1651600
2021-04-27,90.300003,90.500000,89.410004,89.870003,88.795761,956900
2021-04-28,90.080002,90.589996,89.120003,89.320000,88.252327,712200
2021-04-29,89.430000,90.820000,89.430000,90.599998,89.517036,669400
2021-04-30,90.620003,90.809998,89.790001,90.360001,89.279900,1719400
2021-05-03,90.260002,91.540001,90.260002,90.900002,89.813438,725600
2021-05-04,91.160004,91.449997,89.849998,90.370003,89.289780,1104200
2021-05-05,90.150002,90.620003,89.730003,90.459999,89.378708,918100
2021-05-06,90.980003,91.830002,89.709999,90.230003,89.151459,1206300
2021-05-07,90.129997,90.500000,88.809998,89.330002,88.262215,843200
2021-05-10,89.550003,91.620003,89.410004,90.680000,89.596077,1765000
2021-05-11,91.110001,91.320000,89.250000,89.720001,88.647545,1029600
2021-05-12,89.800003,90.070000,88.750000,88.940002,87.876869,951300
2021-05-13,88.589996,90.669998,88.500000,90.260002,89.181091,1384900
2021-05-14,90.199997,90.570000,89.559998,89.559998,88.489464,876700
2021-05-17,89.830002,90.480003,89.110001,89.139999,88.074486,948800
2021-05-18,88.849998,90.180000,88.559998,89.190002,88.123886,1048400
2021-05-19,89.110001,89.849998,88.680000,89.809998,88.736473,1174600
2021-05-20,89.610001,91.370003,89.320000,90.870003,89.783813,1123400
2021-05-21,91.129997,91.669998,90.230003,90.599998,89.517036,1354500
2021-05-24,90.800003,91.349998,90.449997,90.599998,89.517036,959400
2021-05-25,90.620003,90.620003,89.430000,90.300003,89.220619,1089100
2021-05-26,90.449997,90.660004,88.110001,89.660004,88.588272,1418600
2021-05-27,89.809998,90.050003,88.570000,88.699997,87.639732,3122700
2021-05-28,88.989998,89.900002,88.879997,89.059998,87.995438,1794500
2021-06-01,89.419998,89.779999,88.459999,88.930000,87.866989,1274700
2021-06-02,89.209999,89.769997,88.889999,89.680000,88.608032,882800
2021-06-03,89.510002,89.730003,88.879997,89.669998,88.598145,927800
2021-06-04,89.830002,90.000000,89.250000,89.809998,88.736473,698200
2021-06-07,89.800003,89.849998,88.620003,89.489998,88.420288,1064500
2021-06-08,89.730003,89.970001,88.000000,88.500000,87.442139,1177600
2021-06-09,88.070000,88.910004,87.750000,88.129997,87.076553,1620900
2021-06-10,88.400002,88.849998,88.040001,88.739998,87.679260,1190900
2021-06-11,88.790001,89.000000,88.099998,88.849998,87.787949,1565200
2021-06-14,88.699997,89.209999,88.379997,89.199997,88.133759,861500
2021-06-15,89.410004,89.540001,88.650002,88.769997,87.708908,1005800
2021-06-16,88.849998,89.000000,87.430000,87.570000,86.523247,952300
2021-06-17,87.480003,87.820000,86.680000,87.540001,86.493607,1111400
2021-06-18,87.279999,87.730003,86.050003,86.129997,85.100464,2690400
2021-06-21,86.169998,87.269997,86.169998,87.169998,86.128029,1301100
2021-06-22,87.169998,87.889999,87.000000,87.260002,86.216949,1081600
2021-06-23,87.220001,87.220001,86.080002,86.110001,85.080704,1621600
2021-06-24,86.209999,86.400002,85.580002,86.279999,85.248672,910900
2021-06-25,86.320000,87.459999,86.029999,87.279999,86.236710,4280900
2021-06-28,87.629997,88.709999,87.550003,88.150002,87.096313,1252600
2021-06-29,88.150002,88.699997,87.330002,87.620003,86.572655,1280500
2021-06-30,87.980003,88.480003,87.449997,88.320000,87.264282,1817500
2021-07-01,87.489998,88.959999,86.690002,87.970001,86.918465,2431600
2021-07-02,88.620003,89.230003,88.190002,88.589996,87.531052,1127800
2021-07-06,88.500000,88.620003,87.400002,88.050003,86.997513,1045200
2021-07-07,87.900002,88.779999,87.690002,88.180000,87.125954,989400
2021-07-08,87.870003,88.650002,86.889999,87.080002,86.039116,1285100
2021-07-09,87.160004,87.269997,86.370003,87.099998,86.396202,1060500
2021-07-12,86.949997,86.949997,85.849998,86.690002,85.989517,1208300
2021-07-13,86.550003,86.889999,85.519997,85.699997,85.007507,867900
2021-07-14,85.629997,86.440002,85.290001,86.180000,85.483627,953000
2021-07-15,86.150002,87.089996,85.839996,87.070000,86.366440,611200
