Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,154.869995,155.309998,152.600006,153.210007,148.747620,888500
2021-04-06,153.029999,153.429993,150.490005,153.020004,148.563156,872200
2021-04-07,154.240005,154.809998,152.679993,154.190002,149.699081,577100
2021-04-08,152.759995,153.990005,150.850006,152.860001,148.407822,1174200
2021-04-09,154.429993,155.639999,152.669998,153.630005,149.155380,1088900
2021-04-12,154.240005,156.839996,153.649994,156.220001,151.669952,1022700
2021-04-13,154.789993,155.360001,152.880005,154.520004,150.019470,1081800
2021-04-14,154.080002,157.220001,153.949997,155.570007,151.038910,829200
2021-04-15,155.070007,155.589996,151.029999,153.889999,149.407806,1316400
2021-04-16,156.449997,157.009995,152.960007,153.860001,149.378677,1136900
2021-04-19,153.860001,156.080002,152.350006,154.979996,150.466064,1541200
2021-04-20,153.210007,154.399994,149.610001,149.669998,145.310715,1261200
2021-04-21,149.110001,153.130005,147.809998,152.990005,148.534042,845300
2021-04-22,152.970001,152.970001,149.000000,149.089996,144.747604,1001400
2021-04-23,148.919998,153.889999,148.130005,153.119995,148.660217,1076100
2021-04-26,154.690002,155.979996,153.850006,155.649994,151.116547,717700
2021-04-27,155.660004,156.830002,154.289993,156.779999,152.213638,838600
2021-04-28,157.839996,158.970001,155.710007,156.410004,151.854416,735500
2021-04-29,158.630005,160.869995,158.429993,160.220001,155.553452,703600
2021-04-30,158.679993,160.169998,157.100006,157.690002,153.097137,774200
2021-05-03,159.300003,159.410004,156.389999,157.500000,152.912659,542900
2021-05-04,156.460007,159.910004,154.949997,159.899994,155.242767,787200
2021-05-05,160.000000,161.679993,157.949997,160.740005,156.058304,851400
2021-05-06,161.449997,162.559998,158.889999,162.539993,157.805847,647100
2021-05-07,159.559998,163.479996,158.669998,163.149994,158.398117,796500
2021-05-10,164.600006,166.410004,162.839996,162.869995,158.126266,934100
2021-05-11,161.839996,165.669998,161.080002,162.000000,157.281601,1013900
2021-05-12,164.309998,165.190002,157.740005,158.119995,153.514603,802600
2021-05-13,157.289993,165.250000,157.289993,164.679993,159.883530,1120100
2021-05-14,164.809998,167.250000,164.360001,166.820007,161.961243,787900
2021-05-17,166.000000,167.570007,165.050003,167.270004,162.398117,656100
2021-05-18,166.520004,168.270004,164.199997,164.240005,159.456360,635000
2021-05-19,162.690002,162.690002,159.110001,162.199997,157.475769,1016300
2021-05-20,162.270004,163.039993,159.699997,160.729996,156.048599,677300
