Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,126.510002,128.479996,125.730003,127.089996,123.423508,676100
2021-04-06,127.129997,128.419998,126.449997,127.739998,124.054756,852400
2021-04-07,128.300003,128.649994,127.029999,127.849998,124.161583,724400
2021-04-08,127.260002,128.380005,127.050003,128.130005,124.433517,1014900
2021-04-09,128.179993,128.970001,126.500000,128.210007,124.511208,859000
2021-04-12,128.880005,130.050003,128.460007,129.529999,125.793121,1238700
2021-04-13,129.630005,131.089996,129.250000,129.809998,126.065048,1176600
2021-04-14,129.880005,129.880005,128.020004,129.070007,125.346397,835600
2021-04-15,129.000000,131.080002,129.000000,130.789993,127.016762,576200
2021-04-16,131.410004,132.179993,130.509995,131.720001,127.919945,820300
2021-04-19,132.130005,132.679993,130.179993,132.149994,128.337524,670600
2021-04-20,132.029999,134.119995,132.000000,132.509995,128.687134,1365300
2021-04-21,132.940002,133.800003,131.800003,133.660004,129.803970,1178200
2021-04-22,133.259995,133.399994,131.880005,132.110001,128.298691,732000
2021-04-23,131.889999,132.110001,129.199997,129.770004,126.026192,778500
2021-04-26,129.729996,130.490005,128.279999,129.770004,126.026192,1028700
2021-04-27,129.779999,131.110001,129.669998,131.039993,127.259552,939100
2021-04-28,131.990005,132.500000,130.080002,130.490005,126.725433,901800
2021-04-29,130.449997,133.039993,130.449997,131.940002,128.133606,767500
2021-04-30,131.880005,131.940002,129.809998,130.990005,127.211006,965500
2021-05-03,131.020004,133.210007,130.860001,132.080002,128.269562,584600
2021-05-04,132.500000,133.300003,131.100006,132.470001,128.648300,617800
2021-05-05,132.100006,135.100006,131.389999,134.839996,130.949936,1179000
2021-05-06,136.139999,138.869995,136.110001,137.410004,133.445801,2020900
2021-05-07,136.130005,137.149994,135.130005,136.600006,132.659149,823800
2021-05-10,137.130005,139.570007,136.720001,138.490005,134.494629,779900
2021-05-11,139.089996,139.139999,135.570007,136.820007,132.872803,849800
2021-05-12,136.880005,137.270004,134.529999,134.800003,130.911087,1098300
2021-05-13,133.070007,136.740005,132.119995,136.190002,133.149963,937900
2021-05-14,136.419998,137.869995,135.289993,135.330002,132.309158,837400
2021-05-17,135.500000,136.080002,132.860001,133.509995,130.529785,1241400
2021-05-18,133.320007,134.589996,133.130005,133.720001,130.735092,629100
2021-05-19,133.880005,134.440002,132.479996,134.300003,131.302155,574600
2021-05-20,135.300003,136.080002,134.600006,134.809998,131.800766,568200
2021-05-21,134.610001,136.259995,134.610001,135.509995,132.485138,817200
2021-05-24,135.639999,136.880005,135.199997,135.610001,132.582901,577400
2021-05-25,135.470001,135.869995,133.899994,135.289993,132.270050,661000
2021-05-26,134.940002,135.289993,134.160004,134.500000,131.497696,713300
2021-05-27,134.440002,135.190002,132.070007,132.520004,129.561890,1677000
2021-05-28,132.820007,135.570007,132.660004,133.289993,130.314697,1059900
2021-06-01,133.460007,134.710007,132.830002,133.509995,130.529785,1048000
2021-06-02,133.509995,136.380005,133.149994,135.929993,132.895767,1138300
2021-06-03,136.690002,139.449997,136.179993,137.880005,134.802246,1535200
2021-06-04,138.669998,140.649994,137.740005,139.820007,136.698944,988000
2021-06-07,139.800003,140.160004,136.559998,138.130005,135.046661,899100
2021-06-08,138.130005,138.429993,136.050003,136.869995,133.814774,984500
2021-06-09,135.740005,136.820007,134.729996,135.970001,132.934875,1070400
2021-06-10,136.330002,136.669998,135.309998,135.679993,132.651337,622600
2021-06-11,136.080002,136.350006,135.059998,136.240005,133.198853,526100
2021-06-14,136.240005,136.240005,133.970001,136.100006,133.061981,505200
