Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,52.349998,53.250000,52.080002,52.750000,51.578640,1803400
2021-04-06,52.500000,53.369999,52.119999,52.410000,51.246193,1977200
2021-04-07,52.709999,53.000000,51.570000,51.720001,50.571510,1886500
2021-04-08,51.150002,51.939999,50.720001,51.580002,50.434624,2915100
2021-04-09,51.779999,51.810001,49.919998,50.000000,48.889702,2166900
2021-04-12,50.279999,50.830002,50.209999,50.619999,49.495937,1532300
2021-04-13,49.900002,52.180000,49.830002,51.740002,50.591072,3599500
2021-04-14,51.869999,52.060001,50.770000,51.150002,50.014168,2066900
2021-04-15,51.220001,52.990002,51.220001,52.939999,51.764416,2123100
2021-04-16,53.200001,53.590000,52.849998,53.470001,52.282654,1601000
2021-04-19,53.500000,54.150002,52.919998,54.009998,52.810654,1660600
2021-04-20,53.930000,54.450001,52.240002,52.430000,51.265743,1970000
2021-04-21,52.740002,53.590000,52.459999,53.169998,51.989315,2161400
2021-04-22,53.080002,53.220001,52.230000,52.279999,51.119072,1587900
2021-04-23,52.250000,52.790001,52.020000,52.270000,51.109295,1486100
2021-04-26,52.240002,52.990002,51.910000,52.939999,51.764416,1440100
2021-04-27,52.779999,53.009998,51.959999,52.060001,50.903965,1448600
2021-04-28,52.529999,52.889999,51.619999,51.869999,50.718178,2266600
2021-04-29,53.049999,55.709999,52.349998,55.500000,54.267574,4584900
2021-04-30,55.389999,55.509998,54.400002,54.950001,53.729786,2946000
2021-05-03,55.240002,57.360001,55.020000,57.139999,55.871155,2755900
2021-05-04,57.090000,57.410000,55.930000,56.419998,55.167145,2597400
2021-05-05,56.279999,57.029999,56.000000,56.950001,55.685375,1449300
2021-05-06,57.549999,60.060001,57.459999,59.450001,58.129856,3294300
2021-05-07,58.680000,59.639999,58.450001,59.509998,58.188526,2080800
2021-05-10,60.200001,61.110001,59.400002,59.560001,58.237419,1706200
2021-05-11,58.950001,59.279999,57.230000,57.799999,56.516499,2626700
2021-05-12,58.299999,58.419998,57.360001,57.380001,56.105827,1400500
2021-05-13,57.419998,58.470001,57.060001,58.240002,56.946732,1090300
2021-05-14,58.369999,59.060001,57.930000,58.180000,56.888062,1063700
2021-05-17,58.470001,58.900002,57.910000,57.930000,56.643612,1362000
2021-05-18,57.919998,58.040001,55.419998,55.480000,54.248016,2931100
2021-05-19,55.090000,55.689999,53.700001,55.570000,54.336021,2760000
2021-05-20,56.279999,57.139999,55.689999,56.490002,55.235592,2046000
2021-05-21,56.590000,57.250000,56.279999,57.150002,55.880936,2008300
2021-05-24,57.150002,58.330002,56.799999,57.750000,56.467613,2115700
2021-05-25,58.599998,58.689999,57.830002,58.060001,56.770729,1940400
2021-05-26,57.639999,57.970001,57.060001,57.369999,56.096046,2435900
2021-05-27,57.750000,58.189999,57.200001,57.380001,56.105827,2916700
2021-05-28,57.419998,58.930000,57.360001,58.320000,57.024956,1911800
2021-06-01,58.790001,58.930000,58.040001,58.200001,56.907616,1459900
2021-06-02,58.500000,60.400002,58.029999,60.099998,58.765427,2776000
2021-06-03,59.549999,59.910000,59.160000,59.799999,58.472088,1513400
2021-06-04,59.810001,60.250000,59.369999,60.110001,58.775204,1530100
2021-06-07,60.439999,60.669998,60.020000,60.660000,59.312992,1266000
2021-06-08,60.549999,61.189999,60.380001,60.730000,59.381435,1799500
2021-06-09,60.500000,61.110001,60.279999,60.740002,59.391216,1027700
2021-06-10,60.990002,61.480000,60.680000,60.720001,59.371662,1047800
2021-06-11,60.750000,60.750000,59.330002,59.959999,58.628532,1322800
2021-06-14,59.900002,60.150002,59.250000,59.759998,58.432976,1442400
2021-06-15,59.950001,59.980000,57.910000,58.139999,56.848949,3379000
2021-06-16,57.990002,58.720001,57.380001,57.790001,56.506721,1931100
2021-06-17,57.630001,57.779999,55.709999,56.139999,54.893360,1609700
2021-06-18,55.990002,56.130001,54.209999,54.230000,53.025776,3154800
2021-06-21,54.610001,55.869999,54.610001,55.709999,54.472908,1925000
2021-06-22,55.439999,55.560001,54.790001,54.919998,53.700451,2909600
2021-06-23,54.939999,55.150002,54.209999,54.720001,53.504894,1512200
2021-06-24,54.720001,55.180000,54.389999,54.959999,53.739563,1206800
2021-06-25,54.799999,55.220001,54.580002,55.080002,53.856903,1491500
2021-06-28,55.169998,55.200001,53.950001,54.830002,53.612453,1082100
2021-06-29,55.029999,55.209999,54.330002,54.430000,53.221333,1143300
2021-06-30,54.540001,54.880001,53.310001,53.689999,52.497765,2161200
2021-07-01,53.910000,54.290001,53.770000,53.980000,52.781326,1378900
2021-07-02,54.000000,54.230000,53.349998,53.810001,52.615101,1143200
2021-07-06,53.540001,53.639999,51.529999,52.020000,50.864849,2440000
2021-07-07,52.029999,53.119999,51.419998,52.889999,51.715530,1995100
2021-07-08,52.009998,53.340000,51.930000,52.730000,51.559082,1617800
2021-07-09,53.189999,53.740002,52.930000,53.180000,51.999092,1271700
2021-07-12,52.660000,52.880001,52.259998,52.849998,51.676414,1187600
2021-07-13,52.939999,53.169998,51.560001,51.689999,50.542175,1605600
2021-07-14,51.869999,52.180000,51.450001,51.540001,50.395512,1336300
2021-07-15,51.500000,51.759998,50.650002,51.040001,49.906612,1322900
2021-07-16,51.340000,52.279999,50.360001,50.490002,49.368828,1760900
2021-07-19,50.000000,50.590000,49.450001,50.360001,49.241711,2703800
2021-07-20,50.360001,51.459999,49.939999,50.930000,49.799053,1704100
2021-07-21,51.310001,51.619999,50.490002,50.590000,49.466602,1420900
2021-07-22,50.500000,50.540001,49.549999,50.450001,49.329712,1784700
2021-07-23,50.389999,50.430000,49.200001,49.700001,48.596367,3023600
2021-07-26,49.730000,50.590000,49.509998,50.490002,49.368828,1832400
2021-07-27,50.299999,50.560001,49.790001,50.009998,48.899483,1413700
2021-07-28,49.689999,49.889999,49.119999,49.529999,48.430141,2032900
2021-07-29,50.000000,50.490002,48.419998,49.410000,48.312809,3191800
2021-07-30,49.700001,50.150002,48.799999,48.889999,47.804356,1704500
2021-08-02,48.889999,50.570000,48.889999,49.250000,48.156361,1934500
2021-08-03,49.450001,49.450001,48.400002,49.130001,48.039024,2020500
2021-08-04,48.740002,49.200001,48.000000,48.020000,46.953674,1531100
2021-08-05,48.290001,48.599998,48.130001,48.299999,47.227455,1220100
2021-08-06,48.650002,49.580002,48.450001,49.099998,48.009689,1351800
2021-08-09,49.000000,49.650002,48.889999,49.340000,48.244362,1045700
2021-08-10,49.419998,51.360001,49.410000,51.200001,50.063057,2366000
2021-08-11,51.430000,52.150002,51.150002,52.049999,50.894184,2334800
2021-08-12,52.160000,52.160000,50.349998,50.369999,49.251488,1300100
2021-08-13,50.549999,51.189999,50.340000,50.540001,49.417713,1110500
2021-08-16,50.560001,51.020000,49.869999,50.380001,49.261269,945500
2021-08-17,50.070000,50.549999,49.389999,49.660000,48.557259,1065300
2021-08-18,49.689999,49.810001,48.849998,48.880001,47.794579,1097700
2021-08-19,48.840000,49.080002,47.869999,48.049999,46.983006,1309700
2021-08-20,47.910000,48.130001,47.610001,47.790001,46.728779,1531600
2021-08-23,48.000000,48.590000,47.630001,48.029999,46.963451,1252500
2021-08-24,48.180000,48.650002,48.040001,48.450001,47.374123,1019000
2021-08-25,48.369999,48.369999,47.730000,47.910000,46.846115,1078400
2021-08-26,47.560001,47.810001,46.860001,47.169998,46.122547,1757500
2021-08-27,46.980000,47.810001,46.770000,47.509998,46.792274,940800
2021-08-30,47.500000,47.689999,46.700001,46.740002,46.033913,1230100
2021-08-31,46.759998,47.810001,46.549999,47.529999,46.811974,2218400
2021-09-01,47.730000,47.830002,47.020000,47.270000,46.555904,981700
2021-09-02,47.340000,47.660000,46.820000,47.090000,46.378620,781500
2021-09-03,47.130001,47.230000,46.680000,46.980000,46.270283,842600
2021-09-07,46.759998,46.849998,45.770000,45.820000,45.127808,1730700
